samhita-adhyaya,"Slokas (Verses)",dummy1,dummy2
000-00,"<h1>Introduction Śivapurāṇa-māhātmya</h1>",,
000-01,"<h1>Chapter 1 - Greatness of Śivapurāṇa</h1>",,
000-01,"<h2><em>Śaunaka </em><em>said</em>:—</h2>",,
000-01,"<p>(""Śaunaka was the chief of the sages at the great sacrifice in Naimiṣa forest to whom the Mahābhārata and the Purāṇas were recited by the Sūta in the reign of Adhisīmakṛṣṇa, the great-grandson of Janamejaya and the sixth in generation from Arjuna in the Paurava line.&mdash;Vāyu-purāṇa)</p>",,
000-01,"<p>1. O Sūta of great intellect, O my lord, the knower of all Philosophical principles, please narrate to me the essence of the Purāṇas in detail.</p>",,
000-01,"<p>2. How do good conduct, good devotion and power of discrimination flourish? How are base feelings dispelled by good men?</p>",,
000-01,"<p>3. In this terrible Kali age all living beings have almost become demoniac in character. What is the effective mode of remedying the same?</p>",,
000-01,"<p>4. Now tell me about the greatest means to achieve the most perfect weal, the holiest of the holy modes.</p>",,
000-01,"<p>5. What is that, the practice of which particularly purifies the soul? What is that which enables a man of unsullied mind to attain Śiva?</p>",,
000-01,"<h2><em>Sūta</em><em> said</em>:&mdash;</h2>",,
000-01,"<p>(""The Sūtas (Vāyu-purāṇa I. 32-3; Padma I. I. 27-28) preserved the genealogies of Gods, sages, and glorious monarchs as well as the traditions of great men."")</p>",,
000-01,"<p>6. O foremost among sages, you are blessed indeed as you are desirous of hearing. Hence I shall ponder over the greatest of the Sacred lore intelligently and tell you.</p>",,
000-01,"<p>7. O dear, listen to that divine panacea evolved out of all religious tenets, heightening true devotion and conducive to the pleasure of Siva.</p>",,
000-01,"<p>8. It is destructive of the great fear of the Python of Kāla (Death). O sage, it is the noble Śiva Purāṇa<sup>[3]</sup> formerly narrated by Śiva Himself.</p>",,
000-01,"<p>9. For the benefit of the people in the age of Kali, the sage Vyāsa<sup>[4]</sup> has abridged it out of great respect for the sage Sanatkumāra<sup>[5]</sup> on being instructed by him.</p>",,
000-01,"<p>10. O sage, there is nothing other than Śiva Purāṇa for the purification of the mind especially of the people of the Kali age.<sup>[6]</sup></p>",,
000-01,"<p>11. It is only the intelligent and the highly fortunate man who has accumulated great merits in his previous birth who will be drawn towards it.</p>",,
000-01,"<p>12. This Śivapurāṇa is the greatest and the noblest of the sacred lore. It is the form of Śiva and as such is to be served and realised in this world.</p>",,
000-01,"<p>13. By reading this and listening to it the good man becomes very pious. By all means he instantly attains Śiva&rsquo;s region.</p>",,
000-01,"<p>14. Hence every endeavour of men to read this is desirable. Loving care to listen to it yields all desired results.</p>",,
000-01,"<p>15. By listening to this Purāṇa of Śiva a man becomes sinless. After enjoying all extensive worldly pleasures he will attain the region of Śiva.</p>",,
000-01,"<p>16. Merely by listening to the story of Śiva a man secures that merit which results from the performance of Rājasūya<sup>[7]</sup> and a hundred Agniṣṭomas.<sup>[8]</sup></p>",,
000-01,"<p>I 7. O sage, those who listen to Śivapurāṇa the noblest of Sacred lore, cease to be mere human beings. They must be undoubtedly considered as manifestations of Rudra, a form of Śiva.</p>",,
000-01,"<p>18. Sages consider the dust in the feet of those who habitually listen to that Purāṇa and recite it, on a par with holy centres.</p>",,
000-01,"<p>19. May those who wish to attain the seat of salvation, listen always to the holy Śivapurāṇa with great devotion.</p>",,
000-01,"<p>20. O noblest among sages, if he is unable to listen to it always, let him hear it for a short while every day with his mind fully controlled.</p>",,
000-01,"<p>21. If any one is unable to listen to it every day, O sage, let him listen to Śivapurāṇa in the holy months.</p>",,
000-01,"<p>22. Those who listen to that Purāṇa even for a Muhūrta (48 minutes), half that period, one fourth of that period or even for a moment will not suffer from mishaps.</p>",,
000-01,"<p>23. O lord of sages, the man who listens to that Purāṇa crosses the ocean of worldly existence after burning the great forest of Karma (binding actions).</p>",,
000-01,"<p>24. O sage, the merit that accrues from all gifts and all Sacrifices becomes stabilised after listening to Śivapurāṇa.</p>",,
000-01,"<p>25. Particularly in the age of Kali there is no greater virtue conducive to the achievement of liberation by men, O sage, than listening to Śivapurāṇa.</p>",,
000-01,"<p>26. There is no doubt in this that, listening to the Purāṇa and reciting the names of Śiva is as efficacious as the Kalpa tree<sup>[9]</sup> in yielding one&rsquo;s desires.</p>",,
000-01,"<p>27. For the benefit of the evil-minded persons of the Kali age, bereft of virtuous conduct, Lord Śiva has produced the nectar in the form of Śivapurāṇa.</p>",,
000-01,"<p>28. A single man, the man who drinks nectar, becomes immortal and unageing. But the nectar of the divine story of Śiva, if drunk, makes the whole family immortal and unageing.</p>",,
000-01,"<p>29. The sanctifying story of Śivapurāṇa must always be resorted to, definitely so.</p>",,
000-01,"<p>30. Merely by listening to Śivapurāṇa (if such good results) what am I to say about the result when Śiva abides in the heart?</p>",,
000-01,"<p>31. This work consists of twenty-four thousand verses divided into seven saṃhitās (compendiums). The three kinds of Devotion [(1) by meditation, (2) recital of prayer and (3) acts of worship and service] are fully explained in it. It must be listened to with great respect.</p>",,
000-01,"<p>32. The first compendium is called Vidyeśvara saṃhitā, the second is Rudrasaṃhitā, the third is Śata-Rudrā and the fourth is Koṭi-Rudrā</p>",,
000-01,"<p>33. The fifth compendium is called Umāsaṃhitā, the sixth is Kailāsasaṃhitā and the seventh is Vāyavīyā. Thus, there are seven saṃhitās in this Purāṇa.</p>",,
