Slokam,Slokam_en,"Slokam Meaning"
,"<center><h2>Shri Vishnu Sahasranamam Poorva Peethika</h2></center>",
"<p>शुक्लाम्बरधरं विष्णुं शशिवर्णं चतुर्भुजम् ।<br>प्रसन्नवदनं ध्यायेत् सर्वविघ्नोपशान्तये ॥१॥</p>
<p><br></p>","<p>śuklāṁbaradharaṁ viṣṇuṁ śaśivarṇaṁ caturbhujam,<br>prasannavadanaṁ dhyāyet sarvavighnōpaśāṁtaye. (1)</p>
<p><br></p>","<p>One should meditate on Vishnu, dressed in white robes, moon-coloured, four-armed, with a cheerful face, for the removal of all obstacles.</p>"
<p>यस्यद्विरदवक्त्राद्याःपारिषद्याःपरःशतम्।<br>विघ्नंनिघ्नन्तिसततंविष्वक्सेनंतमाश्रये॥२॥</p>,"<p>yasya dviradavaktrādyāḥ pāriṣadyāḥ paraḥ śatam,<br>vighnaṁ nighnanti satataṁ viṣvakasenaṁ tamāśraye. (2)</p>","<p>The elephant faced one, along with his innumerable attendants, would always remove obstacles, as we depend on Vishvaksena.</p>"
<p>व्यासंवसिष्ठनप्तारंशक्तेःपौत्रमकल्मषम्।<br>पराशरात्मजंवन्देशुकतातंतपोनिधिम्॥३॥</p>,"<p>vyāsaṁ vasiṣṭhanaptāraṁ śakteḥ pautramakalmaṣam,<br>parāśarātmajaṁ vaṁde śukatātaṁ tapōnidhim. (3)</p>","<p>I salute Vyasa, the son of Vasishta, the grandson of Shakti, the immaculate son of Parasara, the father of Shukata, the treasure of austerities.</p>"
<p>व्यासायविष्णुरूपायव्यासरूपायविष्णवे।<br>नमोवैब्रह्मनिधयेवासिष्ठायनमोनमः॥४॥</p>,"<p>vyāsāya viṣṇurūpāya vyāsarūpāya viṣṇave,<br>namō vai brahmanidhaye vāsiṣṭhāya namō namaḥ. (4)</p>","<p>O Vyasa in the form of Vishnu, O Vishnu in the form of Vyasa, O Vasishta, the treasure of the Brahman, I offer my obeisances unto Thee again and again.</p>"
"<p>अविकाराय शुद्धाय नित्याय परमात्मने ।<br>सदैकरूपरूपाय विष्णवे सर्वजिष्णवे ॥ ५॥</p>","<p>avikārāya śuddhāya nityāya paramātmane,<br>sadaikarūparūpāya viṣṇave sarvajiṣṇave. (5)</p>","<p>Bow I before Vishnu, Who is pure, Who is not affected, Who is permanent, Who is the ultimate truth, and He who wins over all the mortals in this world.</p>"
<p>यस्यस्मरणमात्रेणजन्मसंसारबन्धनात्।<br>विमुच्यतेनमस्तस्मैविष्णवेप्रभविष्णवे॥६॥</p>," <p>yasya smaraṇamātreṇa janmasaṁsārabaṁdhanāt,<br>vimucyate namastasmai viṣṇave prabhaviṣṇave. (6)</p>","<p>Obeisance to that Vishnu, the all-powerful Vishnu, whose remembrance alone frees one from the bondage of birth and death.</p>"
"<p>ॐनमोविष्णवेप्रभविष्णवे।<br>श्रीवैशम्पायनउवाच &mdash;<br>श्रुत्वाधर्मानशेषेणपावनानिचसर्वशः।<br>युधिष्ठिरःशान्तनवंपुनरेवाभ्यभाषत॥ ७॥</p>"," <p>oṃ namo viṣṇave prabhaviṣṇave.<br>śrī vaiśaṁpāyana uvāca:<br>śrutvā dharmānaśeṣeṇa pāvanāni ca sarvaśaḥ,<br>yudhiṣṭhiraḥ śāṁtanavaṁ punarevābhyabhyāṣata. (7)</p>"," <p>Sri Vaisampayana said:<br>Having heard the Dharma in its entirety and the holy ones in all respects, Yudhisthira again addressed Shantanu. (Son of Shantanu, Bhishma)</p>"
<p>युधिष्ठिरउवाच&mdash;<br>किमेकंदैवतंलोकेकिंवाप्येकंपरायणम्।<br>स्तुवन्तःकंकमर्चन्तःप्राप्नुयुर्मानवाःशुभम्॥८॥</p>,"<p>śrī yudhiṣṭhira uvāca:<br>kimekaṁ daivataṁ lōke kiṁ vāpyekaṁ parāyaṇaṁ,<br>stuvaṁtaḥ kaṁ kamarcaṁtaḥ prāpnuyurmānavāḥ śubham. (8)</p>","<p>Yudhishthira asked:<br>Is there one god in this world, or is there one devotee? Whom do men attain to good by praising and worshiping?</p>"
"<p>को धर्मः सर्वधर्माणां भवतः परमो मतः ।<br>किं जपन्मुच्यते जन्तुर्जन्मसंसारबन्धनात् ॥ ९॥</p>","<p>kō dharmaḥ sarvadharmāṇāṁ bhavataḥ paramō mataḥ,<br>kiṁ japanmucyate jaṁturjanmasaṁsārabaṁdhanāt. (9)</p>","<p>Which Dharma do you consider to be the supreme of all Dharma? By chanting what is a creature freed from the bondage of birth and death?</p>"
