Verse
 सूत उवाच। <br>तत आहूय पुत्रं स्वं जरत्कारुर्भुजंगमा। <br>वासुकेर्नागराजस्य वचनादिदमब्रवीत्   ॥01-049-001॥
अहं तव पितुः पुत्र भ्रात्रा दत्ता निमित्ततः। <br>कालः स चायं संप्राप्तस्तत्कुरुष्व यथातथम्   ॥01-049-002॥
 आस्तीक उवाच। <br>किंनिमित्तं मम पितुर्दत्ता त्वं मातुलेन मे। <br>तन्ममाचक्ष्व तत्त्वेन श्रुत्वा कर्तास्मि तत्तथा   ॥01-049-003॥
 सूत उवाच। <br>तत आचष्ट सा तस्मै बान्धवानां हितैषिणी। <br>भगिनी नागराजस्य जरत्कारुरविक्लवा   ॥01-049-004॥
भुजगानामशेषाणां माता कद्रूरिति श्रुतिः। <br>तया शप्ता रुषितया सुता यस्मान्निबोध तत्   ॥01-049-005॥
उच्चैःश्रवाः सोऽश्वराजो यन्मिथ्या न कृतो मम। <br>विनतानिमित्तं पणिते दासभावाय पुत्रकाः   ॥01-049-006॥
जनमेजयस्य वो यज्ञे धक्ष्यत्यनिलसारथिः। <br>तत्र पञ्चत्वमापन्नाः प्रेतलोकं गमिष्यथ   ॥01-049-007॥
तां च शप्तवतीमेवं साक्षाल्लोकपितामहः। <br>एवमस्त्विति तद्वाक्यं प्रोवाचानुमुमोद च   ॥01-049-008॥
वासुकिश्चापि तच्छ्रुत्वा पितामहवचस्तदा। <br>अमृते मथिते तात देवाञ्शरणमीयिवान्   ॥01-049-009॥
सिद्धार्थाश्च सुराः सर्वे प्राप्यामृतमनुत्तमम्। <br>भ्रातरं मे पुरस्कृत्य प्रजापतिमुपागमन्   ॥01-049-010॥
ते तं प्रसादयामासुर्देवाः सर्वे पितामहम्। <br>राज्ञा वासुकिना सार्धं स शापो न भवेदिति   ॥01-049-011॥
वासुकिर्नागराजोऽयं दुःखितो ज्ञातिकारणात्। <br>अभिशापः स मात्रास्य भगवन्न भवेदिति   ॥01-049-012॥
 ब्रह्मोवाच। <br>जरत्कारुर्जरत्कारुं यां भार्यां समवाप्स्यति। <br>तत्र जातो द्विजः शापाद्भुजगान्मोक्षयिष्यति   ॥01-049-013॥
 जरत्कारुरुवाच। <br>एतच्छ्रुत्वा तु वचनं वासुकिः पन्नगेश्वरः। <br>प्रादान्माममरप्रख्य तव पित्रे महात्मने। <br>प्रागेवानागते काले तत्र त्वं मय्यजायथाः   ॥01-049-014॥
अयं स कालः संप्राप्तो भयान्नस्त्रातुमर्हसि। <br>भ्रातरं चैव मे तस्मात्त्रातुमर्हसि पावकात्   ॥01-049-015॥
अमोघं नः कृतं तत्स्याद्यदहं तव धीमते। <br>पित्रे दत्ता विमोक्षार्थं कथं वा पुत्र मन्यसे   ॥01-049-016॥
 सूत उवाच। <br>एवमुक्तस्तथेत्युक्त्वा सोऽस्तीको मातरं तदा। <br>अब्रवीद्दुःखसंतप्तं वासुकिं जीवयन्निव   ॥01-049-017॥
अहं त्वां मोक्षयिष्यामि वासुके पन्नगोत्तम। <br>तस्माच्छापान्महासत्त्व सत्यमेतद्ब्रवीमि ते   ॥01-049-018॥
भव स्वस्थमना नाग न हि ते विद्यते भयम्। <br>प्रयतिष्ये तथा सौम्य यथा श्रेयो भविष्यति। <br>न मे वागनृतं प्राह स्वैरेष्वपि कुतोऽन्यथा   ॥01-049-019॥
तं वै नृपवरं गत्वा दीक्षितं जनमेजयम्। <br>वाग्भिर्मङ्गलयुक्ताभिस्तोषयिष्येऽद्य मातुल। <br>यथा स यज्ञो नृपतेर्निर्वर्तिष्यति सत्तम   ॥01-049-020॥
स संभावय नागेन्द्र मयि सर्वं महामते। <br>न ते मयि मनो जातु मिथ्या भवितुमर्हति   ॥01-049-021॥
 वासुकिरुवाच। <br>आस्तीक परिघूर्णामि हृदयं मे विदीर्यते। <br>दिशश्च न प्रजानामि ब्रह्मदण्डनिपीडितः   ॥01-049-022॥
 आस्तीक उवाच। <br>न संतापस्त्वया कार्यः कथंचित्पन्नगोत्तम। <br>दीप्तादग्नेः समुत्पन्नं नाशयिष्यामि ते भयम्   ॥01-049-023॥
ब्रह्मदण्डं महाघोरं कालाग्निसमतेजसम्। <br>नाशयिष्यामि मात्र त्वं भयं कार्षीः कथंचन   ॥01-049-024॥
 सूत उवाच। <br>ततः स वासुकेर्घोरमपनीय मनोज्वरम्। <br>आधाय चात्मनोऽङ्गेषु जगाम त्वरितो भृशम्   ॥01-049-025॥
जनमेजयस्य तं यज्ञं सर्वैः समुदितं गुणैः। <br>मोक्षाय भुजगेन्द्राणामास्तीको द्विजसत्तमः   ॥01-049-026॥
स गत्वापश्यदास्तीको यज्ञायतनमुत्तमम्। <br>वृतं सदस्यैर्बहुभिः सूर्यवह्निसमप्रभैः   ॥01-049-027॥
स तत्र वारितो द्वाःस्थैः प्रविशन्द्विजसत्तमः। <br>अभितुष्टाव तं यज्ञं प्रवेशार्थी द्विजोत्तमः   ॥01-049-028॥
