Verse
 वैशंपायन उवाच। <br>ब्रह्मणो मानसाः पुत्रा विदिताः षण्महर्षयः। <br>एकादश सुताः स्थाणोः ख्याताः परममानसाः   ॥01-060-001॥
मृगव्याधश्च शर्वश्च निरृतिश्च महायशाः। <br>अजैकपादहिर्बुध्न्यः पिनाकी च परंतपः   ॥01-060-002॥
दहनोऽथेश्वरश्चैव कपाली च महाद्युतिः। <br>स्थाणुर्भवश्च भगवान्रुद्रा एकादश स्मृताः   ॥01-060-003॥
मरीचिरङ्गिरा अत्रिः पुलस्त्यः पुलहः क्रतुः। <br>षडेते ब्रह्मणः पुत्रा वीर्यवन्तो महर्षयः   ॥01-060-004॥
त्रयस्त्वङ्गिरसः पुत्रा लोके सर्वत्र विश्रुताः। <br>बृहस्पतिरुतथ्यश्च संवर्तश्च धृतव्रताः   ॥01-060-005॥
अत्रेस्तु बहवः पुत्राः श्रूयन्ते मनुजाधिप। <br>सर्वे वेदविदः सिद्धाः शान्तात्मानो महर्षयः   ॥01-060-006॥
राक्षसास्तु पुलस्त्यस्य वानराः किंनरास्तथा। <br>पुलहस्य मृगाः सिंहा व्याघ्राः किंपुरुषास्तथा   ॥01-060-007॥
क्रतोः क्रतुसमाः पुत्राः पतंगसहचारिणः। <br>विश्रुतास्त्रिषु लोकेषु सत्यव्रतपरायणाः   ॥01-060-008॥
दक्षस्त्वजायताङ्गुष्ठाद्दक्षिणाद्भगवानृषिः। <br>ब्रह्मणः पृथिवीपाल पुत्रः पुत्रवतां वरः   ॥01-060-009॥
वामादजायताङ्गुष्ठाद्भार्या तस्य महात्मनः। <br>तस्यां पञ्चाशतं कन्याः स एवाजनयन्मुनिः   ॥01-060-010॥
ताः सर्वास्त्वनवद्याङ्ग्यः कन्याः कमललोचनाः। <br>पुत्रिकाः स्थापयामास नष्टपुत्रः प्रजापतिः   ॥01-060-011॥
ददौ स दश धर्माय सप्तविंशतिमिन्दवे। <br>दिव्येन विधिना राजन्कश्यपाय त्रयोदश   ॥01-060-012॥
नामतो धर्मपत्न्यस्ताः कीर्त्यमाना निबोध मे। <br>कीर्तिर्लक्ष्मीर्धृतिर्मेधा पुष्टिः श्रद्धा क्रिया तथा   ॥01-060-013॥
