Verse
 अष्टक उवाच। <br>कतरस्त्वेतयोः पूर्वं देवानामेति सात्म्यताम्। <br>उभयोर्धावतो राजन्सूर्याचन्द्रमसोरिव   ॥01-087-001॥
 ययातिरुवाच। <br>अनिकेतो गृहस्थेषु कामवृत्तेषु संयतः। <br>ग्राम एव वसन्भिक्षुस्तयोः पूर्वतरं गतः   ॥01-087-002॥
अप्राप्य दीर्घमायुस्तु यः प्राप्तो विकृतिं चरेत्। <br>तप्येत यदि तत्कृत्वा चरेत्सोऽन्यत्ततस्तपः   ॥01-087-003॥
यद्वै नृशंसं तदपथ्यमाहु;र्यः सेवते धर्ममनर्थबुद्धिः। <br>अस्वोऽप्यनीशश्च तथैव राजं;स्तदार्जवं स समाधिस्तदार्यम्   ॥01-087-004॥
 अष्टक उवाच। <br>केनासि दूतः प्रहितोऽद्य राज;न्युवा स्रग्वी दर्शनीयः सुवर्चाः। <br>कुत आगतः कतरस्यां दिशि त्व;मुताहोस्वित्पार्थिवं स्थानमस्ति   ॥01-087-005॥
 ययातिरुवाच। <br>इमं भौमं नरकं क्षीणपुण्यः; प्रवेष्टुमुर्वीं गगनाद्विप्रकीर्णः। <br>उक्त्वाहं वः प्रपतिष्याम्यनन्तरं; त्वरन्ति मां ब्राह्मणा लोकपालाः   ॥01-087-006॥
सतां सकाशे तु वृतः प्रपात;स्ते संगता गुणवन्तश्च सर्वे। <br>शक्राच्च लब्धो हि वरो मयैष; पतिष्यता भूमितले नरेन्द्र   ॥01-087-007॥
 अष्टक उवाच। <br>पृच्छामि त्वां मा प्रपत प्रपातं; यदि लोकाः पार्थिव सन्ति मेऽत्र। <br>यद्यन्तरिक्षे यदि वा दिवि श्रिताः; क्षेत्रज्ञं त्वां तस्य धर्मस्य मन्ये   ॥01-087-008॥
 ययातिरुवाच। <br>यावत्पृथिव्यां विहितं गवाश्वं; सहारण्यैः पशुभिः पर्वतैश्च। <br>तावल्लोका दिवि ते संस्थिता वै; तथा विजानीहि नरेन्द्रसिंह   ॥01-087-009॥
 अष्टक उवाच। <br>तांस्ते ददामि मा प्रपत प्रपातं; ये मे लोका दिवि राजेन्द्र सन्ति। <br>यद्यन्तरिक्षे यदि वा दिवि श्रिता;स्तानाक्रम क्षिप्रममित्रसाह   ॥01-087-010॥
 ययातिरुवाच। <br>नास्मद्विधोऽब्राह्मणो ब्रह्मविच्च; प्रतिग्रहे वर्तते राजमुख्य। <br>यथा प्रदेयं सततं द्विजेभ्य;स्तथाददं पूर्वमहं नरेन्द्र   ॥01-087-011॥
नाब्राह्मणः कृपणो जातु जीवे;द्या चापि स्याद्ब्राह्मणी वीरपत्नी। <br>सोऽहं यदैवाकृतपूर्वं चरेयं; विवित्समानः किमु तत्र साधु   ॥01-087-012॥
 प्रतर्दन उवाच। <br>पृच्छामि त्वां स्पृहणीयरूप; प्रतर्दनोऽहं यदि मे सन्ति लोकाः। <br>यद्यन्तरिक्षे यदि वा दिवि श्रिताः; क्षेत्रज्ञं त्वां तस्य धर्मस्य मन्ये   ॥01-087-013॥
 ययातिरुवाच। <br>सन्ति लोका बहवस्ते नरेन्द्र; अप्येकैकः सप्त सप्ताप्यहानि। <br>मधुच्युतो घृतपृक्ता विशोका;स्ते नान्तवन्तः प्रतिपालयन्ति   ॥01-087-014॥
 प्रतर्दन उवाच। <br>तांस्ते ददामि मा प्रपत प्रपातं; ये मे लोकास्तव ते वै भवन्तु। <br>यद्यन्तरिक्षे यदि वा दिवि श्रिता;स्तानाक्रम क्षिप्रमपेतमोहः   ॥01-087-015॥
 ययातिरुवाच। <br>न तुल्यतेजाः सुकृतं कामयेत; योगक्षेमं पार्थिव पार्थिवः सन्। <br>दैवादेशादापदं प्राप्य विद्वां;श्चरेन्नृशंसं न हि जातु राजा   ॥01-087-016॥
धर्म्यं मार्गं चेतयानो यशस्यं; कुर्यान्नृपो धर्ममवेक्षमाणः। <br>न मद्विधो धर्मबुद्धिः प्रजान;न्कुर्यादेवं कृपणं मां यथात्थ   ॥01-087-017॥
कुर्यामपूर्वं न कृतं यदन्यै;र्विवित्समानः किमु तत्र साधु। <br>ब्रुवाणमेवं नृपतिं ययातिं; नृपोत्तमो वसुमनाब्रवीत्तम्   ॥01-087-018॥
