Verse
 वैशंपायन उवाच। <br>इक्ष्वाकुवंशप्रभवो राजासीत्पृथिवीपतिः। <br>महाभिष इति ख्यातः सत्यवाक्सत्यविक्रमः   ॥01-091-001॥
सोऽश्वमेधसहस्रेण वाजपेयशतेन च। <br>तोषयामास देवेन्द्रं स्वर्गं लेभे ततः प्रभुः   ॥01-091-002॥
ततः कदाचिद्ब्रह्माणमुपासां चक्रिरे सुराः। <br>तत्र राजर्षयो आसन्स च राजा महाभिषः   ॥01-091-003॥
अथ गङ्गा सरिच्छ्रेष्ठा समुपायात्पितामहम्। <br>तस्या वासः समुद्धूतं मारुतेन शशिप्रभम्   ॥01-091-004॥
ततोऽभवन्सुरगणाः सहसावाङ्मुखास्तदा। <br>महाभिषस्तु राजर्षिरशङ्को दृष्टवान्नदीम्   ॥01-091-005॥
अपध्यातो भगवता ब्रह्मणा स महाभिषः। <br>उक्तश्च जातो मर्त्येषु पुनर्लोकानवाप्स्यसि   ॥01-091-006॥
स चिन्तयित्वा नृपतिर्नृपान्सर्वांस्तपोधनान्। <br>प्रतीपं रोचयामास पितरं भूरिवर्चसम्   ॥01-091-007॥
महाभिषं तु तं दृष्ट्वा नदी धैर्याच्च्युतं नृपम्। <br>तमेव मनसाध्यायमुपावर्तत्सरिद्वरा   ॥01-091-008॥
सा तु विध्वस्तवपुषः कश्मलाभिहतौजसः। <br>ददर्श पथि गच्छन्ती वसून्देवान्दिवौकसः   ॥01-091-009॥
तथारूपांश्च तान्दृष्ट्वा पप्रच्छ सरितां वरा। <br>किमिदं नष्टरूपाः स्थ कच्चित्क्षेमं दिवौकसाम्   ॥01-091-010॥
तामूचुर्वसवो देवाः शप्ताः स्मो वै महानदि। <br>अल्पेऽपराधे संरम्भाद्वसिष्ठेन महात्मना   ॥01-091-011॥
विमूढा हि वयं सर्वे प्रच्छन्नमृषिसत्तमम्। <br>संध्यां वसिष्ठमासीनं तमत्यभिसृताः पुरा   ॥01-091-012॥
तेन कोपाद्वयं शप्ता योनौ संभवतेति ह। <br>न शक्यमन्यथा कर्तुं यदुक्तं ब्रह्मवादिना   ॥01-091-013॥
त्वं तस्मान्मानुषी भूत्वा सूष्व पुत्रान्वसून्भुवि। <br>न मानुषीणां जठरं प्रविशेमाशुभं वयम्   ॥01-091-014॥
इत्युक्ता तान्वसून्गङ्गा तथेत्युक्त्वाब्रवीदिदम्। <br>मर्त्येषु पुरुषश्रेष्ठः को वः कर्ता भविष्यति   ॥01-091-015॥
 वसव ऊचुः। <br>प्रतीपस्य सुतो राजा शंतनुर्नाम धार्मिकः। <br>भविता मानुषे लोके स नः कर्ता भविष्यति   ॥01-091-016॥
 गङ्गोवाच। <br>ममाप्येवं मतं देवा यथावदत मानघाः। <br>प्रियं तस्य करिष्यामि युष्माकं चैतदीप्सितम्   ॥01-091-017॥
 वसव ऊचुः। <br>जातान्कुमारान्स्वानप्सु प्रक्षेप्तुं वै त्वमर्हसि। <br>यथा नचिरकालं नो निष्कृतिः स्यात्त्रिलोकगे   ॥01-091-018॥
 गङ्गोवाच। <br>एवमेतत्करिष्यामि पुत्रस्तस्य विधीयताम्। <br>नास्य मोघः संगमः स्यात्पुत्रहेतोर्मया सह   ॥01-091-019॥
 वसव ऊचुः। <br>तुरीयार्धं प्रदास्यामो वीर्यस्यैकैकशो वयम्। <br>तेन वीर्येण पुत्रस्ते भविता तस्य चेप्सितः   ॥01-091-020॥
न संपत्स्यति मर्त्येषु पुनस्तस्य तु संततिः। <br>तस्मादपुत्रः पुत्रस्ते भविष्यति स वीर्यवान्   ॥01-091-021॥
 वैशंपायन उवाच। <br>एवं ते समयं कृत्वा गङ्गया वसवः सह। <br>जग्मुः प्रहृष्टमनसो यथासंकल्पमञ्जसा   ॥01-091-022॥
