Verse
 जनमेजय उवाच। <br>कथितो धार्तराष्ट्राणामार्षः संभव उत्तमः। <br>अमानुषो मानुषाणां भवता ब्रह्मवित्तम   ॥01-109-001॥
नामधेयानि चाप्येषां कथ्यमानानि भागशः। <br>त्वत्तः श्रुतानि मे ब्रह्मन्पाण्डवानां तु कीर्तय   ॥01-109-002॥
ते हि सर्वे महात्मानो देवराजपराक्रमाः। <br>त्वयैवांशावतरणे देवभागाः प्रकीर्तिताः   ॥01-109-003॥
तस्मादिच्छाम्यहं श्रोतुमतिमानुषकर्मणाम्। <br>तेषामाजननं सर्वं वैशंपायन कीर्तय   ॥01-109-004॥
 वैशंपायन उवाच। <br>राजा पाण्डुर्महारण्ये मृगव्यालनिषेविते। <br>वने मैथुनकालस्थं ददर्श मृगयूथपम्   ॥01-109-005॥
ततस्तां च मृगीं तं च रुक्मपुङ्खैः सुपत्रिभिः। <br>निर्बिभेद शरैस्तीक्ष्णैः पाण्डुः पञ्चभिराशुगैः   ॥01-109-006॥
स च राजन्महातेजा ऋषिपुत्रस्तपोधनः। <br>भार्यया सह तेजस्वी मृगरूपेण संगतः   ॥01-109-007॥
संसक्तस्तु तया मृग्या मानुषीमीरयन्गिरम्। <br>क्षणेन पतितो भूमौ विललापाकुलेन्द्रियः   ॥01-109-008॥
 मृग उवाच। <br>काममन्युपरीतापि बुद्ध्यङ्गरहितापि च। <br>वर्जयन्ति नृशंसानि पापेष्वभिरता नराः   ॥01-109-009॥
न विधिं ग्रसते प्रज्ञा प्रज्ञां तु ग्रसते विधिः। <br>विधिपर्यागतानर्थान्प्रज्ञा न प्रतिपद्यते   ॥01-109-010॥
शश्वद्धर्मात्मनां मुख्ये कुले जातस्य भारत। <br>कामलोभाभिभूतस्य कथं ते चलिता मतिः   ॥01-109-011॥
 पाण्डुरुवाच। <br>शत्रूणां या वधे वृत्तिः सा मृगाणां वधे स्मृता। <br>राज्ञां मृग न मां मोहात्त्वं गर्हयितुमर्हसि   ॥01-109-012॥
अच्छद्मनामायया च मृगाणां वध इष्यते। <br>स एव धर्मो राज्ञां तु तद्विद्वान्किं नु गर्हसे   ॥01-109-013॥
अगस्त्यः सत्रमासीनश्चचार मृगयामृषिः। <br>आरण्यान्सर्वदैवत्यान्मृगान्प्रोक्ष्य महावने   ॥01-109-014॥
प्रमाणदृष्टधर्मेण कथमस्मान्विगर्हसे। <br>अगस्त्यस्याभिचारेण युष्माकं वै वपा हुता   ॥01-109-015॥
 मृग उवाच। <br>न रिपून्वै समुद्दिश्य विमुञ्चन्ति पुरा शरान्। <br>रन्ध्र एषां विशेषेण वधकालः प्रशस्यते   ॥01-109-016॥
 पाण्डुरुवाच। <br>प्रमत्तमप्रमत्तं वा विवृतं घ्नन्ति चौजसा। <br>उपायैरिषुभिस्तीक्ष्णैः कस्मान्मृग विगर्हसे   ॥01-109-017॥
 मृग उवाच। <br>नाहं घ्नन्तं मृगान्राजन्विगर्हे आत्मकारणात्। <br>मैथुनं तु प्रतीक्ष्यं मे स्यात्त्वयेहानृशंसतः   ॥01-109-018॥
सर्वभूतहिते काले सर्वभूतेप्सिते तथा। <br>को हि विद्वान्मृगं हन्याच्चरन्तं मैथुनं वने। <br>पुरुषार्थफलं कान्तं यत्त्वया वितथं कृतम्   ॥01-109-019॥
पौरवाणामृषीणां च तेषामक्लिष्टकर्मणाम्। <br>वंशे जातस्य कौरव्य नानुरूपमिदं तव   ॥01-109-020॥
नृशंसं कर्म सुमहत्सर्वलोकविगर्हितम्। <br>अस्वर्ग्यमयशस्यं च अधर्मिष्ठं च भारत   ॥01-109-021॥
स्त्रीभोगानां विशेषज्ञः शास्त्रधर्मार्थतत्त्ववित्। <br>नार्हस्त्वं सुरसंकाश कर्तुमस्वर्ग्यमीदृशम्   ॥01-109-022॥
त्वया नृशंसकर्तारः पापाचाराश्च मानवाः। <br>निग्राह्याः पार्थिवश्रेष्ठ त्रिवर्गपरिवर्जिताः   ॥01-109-023॥
किं कृतं ते नरश्रेष्ठ निघ्नतो मामनागसम्। <br>मुनिं मूलफलाहारं मृगवेषधरं नृप। <br>वसमानमरण्येषु नित्यं शमपरायणम्   ॥01-109-024॥
त्वयाहं हिंसितो यस्मात्तस्मात्त्वामप्यसंशयम्। <br>द्वयोर्नृशंसकर्तारमवशं काममोहितम्। <br>जीवितान्तकरो भाव एवमेवागमिष्यति   ॥01-109-025॥
अहं हि किंदमो नाम तपसाप्रतिमो मुनिः। <br>व्यपत्रपन्मनुष्याणां मृग्यां मैथुनमाचरम्   ॥01-109-026॥
मृगो भूत्वा मृगैः सार्धं चरामि गहने वने। <br>न तु ते ब्रह्महत्येयं भविष्यत्यविजानतः। <br>मृगरूपधरं हत्वा मामेवं काममोहितम्   ॥01-109-027॥
