Verse
 वैशंपायन उवाच। <br>अथ रात्र्यां व्यतीतायामशेषो नागरो जनः। <br>तत्राजगाम त्वरितो दिदृक्षुः पाण्डुनन्दनान्   ॥01-137-001॥
निर्वापयन्तो ज्वलनं ते जना ददृशुस्ततः। <br>जातुषं तद्गृहं दग्धममात्यं च पुरोचनम्   ॥01-137-002॥
नूनं दुर्योधनेनेदं विहितं पापकर्मणा। <br>पाण्डवानां विनाशाय इत्येवं चुक्रुषुर्जनाः   ॥01-137-003॥
विदिते धृतराष्ट्रस्य धार्तराष्ट्रो न संशयः। <br>दग्धवान्पाण्डुदायादान्न ह्येनं प्रतिषिद्धवान्   ॥01-137-004॥
नूनं शांतनवो भीष्मो न धर्ममनुवर्तते। <br>द्रोणश्च विदुरश्चैव कृपश्चान्ये च कौरवाः   ॥01-137-005॥
ते वयं धृतराष्ट्रस्य प्रेषयामो दुरात्मनः। <br>संवृत्तस्ते परः कामः पाण्डवान्दग्धवानसि   ॥01-137-006॥
ततो व्यपोहमानास्ते पाण्डवार्थे हुताशनम्। <br>निषादीं ददृशुर्दग्धां पञ्चपुत्रामनागसम्   ॥01-137-007॥
खनकेन तु तेनैव वेश्म शोधयता बिलम्। <br>पांसुभिः प्रत्यपिहितं पुरुषैस्तैरलक्षितम्   ॥01-137-008॥
ततस्ते प्रेषयामासुर्धृतराष्ट्रस्य नागराः। <br>पाण्डवानग्निना दग्धानमात्यं च पुरोचनम्   ॥01-137-009॥
श्रुत्वा तु धृतराष्ट्रस्तद्राजा सुमहदप्रियम्। <br>विनाशं पाण्डुपुत्राणां विललाप सुदुःखितः   ॥01-137-010॥
अद्य पाण्डुर्मृतो राजा भ्राता मम सुदुर्लभः। <br>तेषु वीरेषु दग्धेषु मात्रा सह विशेषतः   ॥01-137-011॥
गच्छन्तु पुरुषाः शीघ्रं नगरं वारणावतम्। <br>सत्कारयन्तु तान्वीरान्कुन्तिराजसुतां च ताम्   ॥01-137-012॥
कारयन्तु च कुल्यानि शुभ्राणि च महान्ति च। <br>ये च तत्र मृतास्तेषां सुहृदोऽर्चन्तु तानपि   ॥01-137-013॥
एवंगते मया शक्यं यद्यत्कारयितुं हितम्। <br>पाण्डवानां च कुन्त्याश्च तत्सर्वं क्रियतां धनैः   ॥01-137-014॥
एवमुक्त्वा ततश्चक्रे ज्ञातिभिः परिवारितः। <br>उदकं पाण्डुपुत्राणां धृतराष्ट्रोऽम्बिकासुतः   ॥01-137-015॥
चुक्रुशुः कौरवाः सर्वे भृशं शोकपरायणाः। <br>विदुरस्त्वल्पशश्चक्रे शोकं वेद परं हि सः   ॥01-137-016॥
पाण्डवाश्चापि निर्गत्य नगराद्वारणावतात्। <br>जवेन प्रययू राजन्दक्षिणां दिशमाश्रिताः   ॥01-137-017॥
विज्ञाय निशि पन्थानं नक्षत्रैर्दक्षिणामुखाः। <br>यतमाना वनं राजन्गहनं प्रतिपेदिरे   ॥01-137-018॥
ततः श्रान्ताः पिपासार्ता निद्रान्धाः पाण्डुनन्दनाः। <br>पुनरूचुर्महावीर्यं भीमसेनमिदं वचः   ॥01-137-019॥
इतः कष्टतरं किं नु यद्वयं गहने वने। <br>दिशश्च न प्रजानीमो गन्तुं चैव न शक्नुमः   ॥01-137-020॥
तं च पापं न जानीमो यदि दग्धः पुरोचनः। <br>कथं नु विप्रमुच्येम भयादस्मादलक्षिताः   ॥01-137-021॥
पुनरस्मानुपादाय तथैव व्रज भारत। <br>त्वं हि नो बलवानेको यथा सततगस्तथा   ॥01-137-022॥
इत्युक्तो धर्मराजेन भीमसेनो महाबलः। <br>आदाय कुन्तीं भ्रातॄंश्च जगामाशु महाबलः   ॥01-137-023॥
