Verse
 वैशंपायन उवाच। <br>तां विदित्वा चिरगतां हिडिम्बो राक्षसेश्वरः। <br>अवतीर्य द्रुमात्तस्मादाजगामाथ पाण्डवान्   ॥01-140-001॥
लोहिताक्षो महाबाहुरूर्ध्वकेशो महाबलः। <br>मेघसंघातवर्ष्मा च तीक्ष्णदंष्ट्रोज्ज्वलाननः   ॥01-140-002॥
तमापतन्तं दृष्ट्वैव तथा विकृतदर्शनम्। <br>हिडिम्बोवाच वित्रस्ता भीमसेनमिदं वचः   ॥01-140-003॥
आपतत्येष दुष्टात्मा संक्रुद्धः पुरुषादकः। <br>त्वामहं भ्रातृभिः सार्धं यद्ब्रवीमि तथा कुरु   ॥01-140-004॥
अहं कामगमा वीर रक्षोबलसमन्विता। <br>आरुहेमां मम श्रोणीं नेष्यामि त्वां विहायसा   ॥01-140-005॥
प्रबोधयैनान्संसुप्तान्मातरं च परंतप। <br>सर्वानेव गमिष्यामि गृहीत्वा वो विहायसा   ॥01-140-006॥
 भीम उवाच। <br>मा भैस्त्वं विपुलश्रोणि नैष कश्चिन्मयि स्थिते। <br>अहमेनं हनिष्यामि प्रेक्षन्त्यास्ते सुमध्यमे   ॥01-140-007॥
नायं प्रतिबलो भीरु राक्षसापसदो मम। <br>सोढुं युधि परिस्पन्दमथ वा सर्वराक्षसाः   ॥01-140-008॥
पश्य बाहू सुवृत्तौ मे हस्तिहस्तनिभाविमौ। <br>ऊरू परिघसंकाशौ संहतं चाप्युरो मम   ॥01-140-009॥
विक्रमं मे यथेन्द्रस्य साद्य द्रक्ष्यसि शोभने। <br>मावमंस्थाः पृथुश्रोणि मत्वा मामिह मानुषम्   ॥01-140-010॥
 हिडिम्बोवाच। <br>नावमन्ये नरव्याघ्र त्वामहं देवरूपिणम्। <br>दृष्टापदानस्तु मया मानुषेष्वेव राक्षसः   ॥01-140-011॥
 वैशंपायन उवाच। <br>तथा संजल्पतस्तस्य भीमसेनस्य भारत। <br>वाचः शुश्राव ताः क्रुद्धो राक्षसः पुरुषादकः   ॥01-140-012॥
अवेक्षमाणस्तस्याश्च हिडिम्बो मानुषं वपुः। <br>स्रग्दामपूरितशिखं समग्रेन्दुनिभाननम्   ॥01-140-013॥
सुभ्रूनासाक्षिकेशान्तं सुकुमारनखत्वचम्। <br>सर्वाभरणसंयुक्तं सुसूक्ष्माम्बरवाससम्   ॥01-140-014॥
तां तथा मानुषं रूपं बिभ्रतीं सुमनोहरम्। <br>पुंस्कामां शङ्कमानश्च चुक्रोध पुरुषादकः   ॥01-140-015॥
संक्रुद्धो राक्षसस्तस्या भगिन्याः कुरुसत्तम। <br>उत्फाल्य विपुले नेत्रे ततस्तामिदमब्रवीत्   ॥01-140-016॥
को हि मे भोक्तुकामस्य विघ्नं चरति दुर्मतिः। <br>न बिभेषि हिडिम्बे किं मत्कोपाद्विप्रमोहिता   ॥01-140-017॥
धिक्त्वामसति पुंस्कामे मम विप्रियकारिणि। <br>पूर्वेषां राक्षसेन्द्राणां सर्वेषामयशस्करि   ॥01-140-018॥
यानिमानाश्रिताकार्षीरप्रियं सुमहन्मम। <br>एष तानद्य वै सर्वान्हनिष्यामि त्वया सह   ॥01-140-019॥
एवमुक्त्वा हिडिम्बां स हिडिम्बो लोहितेक्षणः। <br>वधायाभिपपातैनां दन्तैर्दन्तानुपस्पृशन्   ॥01-140-020॥
तमापतन्तं संप्रेक्ष्य भीमः प्रहरतां वरः। <br>भर्त्सयामास तेजस्वी तिष्ठ तिष्ठेति चाब्रवीत्   ॥01-140-021॥
