Verse
 वैशंपायन उवाच। <br>ते वनेन वनं वीरा घ्नन्तो मृगगणान्बहून्। <br>अपक्रम्य ययू राजंस्त्वरमाणा महारथाः   ॥01-144-001॥
मत्स्यांस्त्रिगर्तान्पाञ्चालान्कीचकानन्तरेण च। <br>रमणीयान्वनोद्देशान्प्रेक्षमाणाः सरांसि च   ॥01-144-002॥
जटाः कृत्वात्मनः सर्वे वल्कलाजिनवाससः। <br>सह कुन्त्या महात्मानो बिभ्रतस्तापसं वपुः   ॥01-144-003॥
क्वचिद्वहन्तो जननीं त्वरमाणा महारथाः। <br>क्वचिच्छन्देन गच्छन्तस्ते जग्मुः प्रसभं पुनः   ॥01-144-004॥
ब्राह्मं वेदमधीयाना वेदाङ्गानि च सर्वशः। <br>नीतिशास्त्रं च धर्मज्ञा ददृशुस्ते पितामहम्   ॥01-144-005॥
तेऽभिवाद्य महात्मानं कृष्णद्वैपायनं तदा। <br>तस्थुः प्राञ्जलयः सर्वे सह मात्रा परंतपाः   ॥01-144-006॥
 व्यास उवाच। <br>मयेदं मनसा पूर्वं विदितं भरतर्षभाः। <br>यथा स्थितैरधर्मेण धार्तराष्ट्रैर्विवासिताः   ॥01-144-007॥
तद्विदित्वास्मि संप्राप्तश्चिकीर्षुः परमं हितम्। <br>न विषादोऽत्र कर्तव्यः सर्वमेतत्सुखाय वः   ॥01-144-008॥
समास्ते चैव मे सर्वे यूयं चैव न संशयः। <br>दीनतो बालतश्चैव स्नेहं कुर्वन्ति बान्धवाः   ॥01-144-009॥
तस्मादभ्यधिकः स्नेहो युष्मासु मम सांप्रतम्। <br>स्नेहपूर्वं चिकीर्षामि हितं वस्तन्निबोधत   ॥01-144-010॥
इदं नगरमभ्याशे रमणीयं निरामयम्। <br>वसतेह प्रतिच्छन्ना ममागमनकाङ्क्षिणः   ॥01-144-011॥
 वैशंपायन उवाच। <br>एवं स तान्समाश्वास्य व्यासः पार्थानरिंदमान्। <br>एकचक्रामभिगतः कुन्तीमाश्वासयत्प्रभुः   ॥01-144-012॥
जीवपुत्रि सुतस्तेऽयं धर्मपुत्रो युधिष्ठिरः। <br>पृथिव्यां पार्थिवान्सर्वान्प्रशासिष्यति धर्मराट्   ॥01-144-013॥
धर्मेण जित्वा पृथिवीमखिलां धर्मविद्वशी। <br>भीमसेनार्जुनबलाद्भोक्ष्यत्ययमसंशयः   ॥01-144-014॥
पुत्रास्तव च माद्र्याश्च सर्व एव महारथाः। <br>स्वराष्ट्रे विहरिष्यन्ति सुखं सुमनसस्तदा   ॥01-144-015॥
यक्ष्यन्ति च नरव्याघ्रा विजित्य पृथिवीमिमाम्। <br>राजसूयाश्वमेधाद्यैः क्रतुभिर्भूरिदक्षिणैः   ॥01-144-016॥
अनुगृह्य सुहृद्वर्गं धनेन च सुखेन च। <br>पितृपैतामहं राज्यमिह भोक्ष्यन्ति ते सुताः   ॥01-144-017॥
एवमुक्त्वा निवेश्यैनान्ब्राह्मणस्य निवेशने। <br>अब्रवीत्पार्थिवश्रेष्ठमृषिर्द्वैपायनस्तदा   ॥01-144-018॥
इह मां संप्रतीक्षध्वमागमिष्याम्यहं पुनः। <br>देशकालौ विदित्वैव वेत्स्यध्वं परमां मुदम्   ॥01-144-019॥
स तैः प्राञ्जलिभिः सर्वैस्तथेत्युक्तो नराधिप। <br>जगाम भगवान्व्यासो यथाकाममृषिः प्रभुः   ॥01-144-020॥
