Verse
 कुन्त्युवाच। <br>कुतोमूलमिदं दुःखं ज्ञातुमिच्छामि तत्त्वतः। <br>विदित्वा अपकर्षेयं शक्यं चेदपकर्षितुम्   ॥01-148-001॥
 ब्राह्मण उवाच। <br>उपपन्नं सतामेतद्यद्ब्रवीषि तपोधने। <br>न तु दुःखमिदं शक्यं मानुषेण व्यपोहितुम्   ॥01-148-002॥
समीपे नगरस्यास्य बको वसति राक्षसः। <br>ईशो जनपदस्यास्य पुरस्य च महाबलः   ॥01-148-003॥
पुष्टो मानुषमांसेन दुर्बुद्धिः पुरुषादकः। <br>रक्षत्यसुरराण्नित्यमिमं जनपदं बली   ॥01-148-004॥
नगरं चैव देशं च रक्षोबलसमन्वितः। <br>तत्कृते परचक्राच्च भूतेभ्यश्च न नो भयम्   ॥01-148-005॥
वेतनं तस्य विहितं शालिवाहस्य भोजनम्। <br>महिषौ पुरुषश्चैको यस्तदादाय गच्छति   ॥01-148-006॥
एकैकश्चैव पुरुषस्तत्प्रयच्छति भोजनम्। <br>स वारो बहुभिर्वर्षैर्भवत्यसुतरो नरैः   ॥01-148-007॥
तद्विमोक्षाय ये चापि यतन्ते पुरुषाः क्वचित्। <br>सपुत्रदारांस्तान्हत्वा तद्रक्षो भक्षयत्युत   ॥01-148-008॥
वेत्रकीयगृहे राजा नायं नयमिहास्थितः। <br>अनामयं जनस्यास्य येन स्यादद्य शाश्वतम्   ॥01-148-009॥
एतदर्हा वयं नूनं वसामो दुर्बलस्य ये। <br>विषये नित्यमुद्विग्नाः कुराजानमुपाश्रिताः   ॥01-148-010॥
ब्राह्मणाः कस्य वक्तव्याः कस्य वा छन्दचारिणः। <br>गुणैरेते हि वास्यन्ते कामगाः पक्षिणो यथा   ॥01-148-011॥
राजानं प्रथमं विन्देत्ततो भार्यां ततो धनम्। <br>त्रयस्य संचये चास्य ज्ञातीन्पुत्रांश्च धारयेत्   ॥01-148-012॥
विपरीतं मया चेदं त्रयं सर्वमुपार्जितम्। <br>त इमामापदं प्राप्य भृशं तप्स्यामहे वयम्   ॥01-148-013॥
सोऽयमस्माननुप्राप्तो वारः कुलविनाशनः। <br>भोजनं पुरुषश्चैकः प्रदेयं वेतनं मया   ॥01-148-014॥
न च मे विद्यते वित्तं संक्रेतुं पुरुषं क्वचित्। <br>सुहृज्जनं प्रदातुं च न शक्ष्यामि कथंचन। <br>गतिं चापि न पश्यामि तस्मान्मोक्षाय रक्षसः   ॥01-148-015॥
सोऽहं दुःखार्णवे मग्नो महत्यसुतरे भृशम्। <br>सहैवैतैर्गमिष्यामि बान्धवैरद्य राक्षसम्। <br>ततो नः सहितन्क्षुद्रः सर्वानेवोपभोक्ष्यति   ॥01-148-016॥
