Verse
 गन्धर्व उवाच। <br>अथ तस्यामदृश्यायां नृपतिः काममोहितः। <br>पातनः शत्रुसंघानां पपात धरणीतले   ॥01-161-001॥
तस्मिन्निपतिते भूमावथ सा चारुहासिनी। <br>पुनः पीनायतश्रोणी दर्शयामास तं नृपम्   ॥01-161-002॥
अथाबभाषे कल्याणी वाचा मधुरया नृपम्। <br>तं कुरूणां कुलकरं कामाभिहतचेतसम्   ॥01-161-003॥
उत्तिष्ठोत्तिष्ठ भद्रं ते न त्वमर्हस्यरिंदम। <br>मोहं नृपतिशार्दूल गन्तुमाविष्कृतः क्षितौ   ॥01-161-004॥
एवमुक्तोऽथ नृपतिर्वाचा मधुरया तदा। <br>ददर्श विपुलश्रोणीं तामेवाभिमुखे स्थिताम्   ॥01-161-005॥
अथ तामसितापाङ्गीमाबभाषे नराधिपः। <br>मन्मथाग्निपरीतात्मा संदिग्धाक्षरया गिरा   ॥01-161-006॥
साधु मामसितापाङ्गे कामार्तं मत्तकाशिनि। <br>भजस्व भजमानं मां प्राणा हि प्रजहन्ति माम्   ॥01-161-007॥
त्वदर्थं हि विशालाक्षि मामयं निशितैः शरैः। <br>कामः कमलगर्भाभे प्रतिविध्यन्न शाम्यति   ॥01-161-008॥
ग्रस्तमेवमनाक्रन्दे भद्रे काममहाहिना। <br>सा त्वं पीनायतश्रोणि पर्याप्नुहि शुभानने   ॥01-161-009॥
त्वय्यधीना हि मे प्राणाः किंनरोद्गीतभाषिणि। <br>चारुसर्वानवद्याङ्गि पद्मेन्दुसदृशानने   ॥01-161-010॥
न ह्यहं त्वदृते भीरु शक्ष्ये जीवितुमात्मना। <br>तस्मात्कुरु विशालाक्षि मय्यनुक्रोशमङ्गने   ॥01-161-011॥
भक्तं मामसितापाङ्गे न परित्यक्तुमर्हसि। <br>त्वं हि मां प्रीतियोगेन त्रातुमर्हसि भामिनि   ॥01-161-012॥
गान्धर्वेण च मां भीरु विवाहेनैहि सुन्दरि। <br>विवाहानां हि रम्भोरु गान्धर्वः श्रेष्ठ उच्यते   ॥01-161-013॥
 तपत्युवाच। <br>नाहमीशात्मनो राजन्कन्या पितृमती ह्यहम्। <br>मयि चेदस्ति ते प्रीतिर्याचस्व पितरं मम   ॥01-161-014॥
यथा हि ते मया प्राणाः संगृहीता नरेश्वर। <br>दर्शनादेव भूयस्त्वं तथा प्राणान्ममाहरः   ॥01-161-015॥
न चाहमीशा देहस्य तस्मान्नृपतिसत्तम। <br>समीपं नोपगच्छामि न स्वतन्त्रा हि योषितः   ॥01-161-016॥
का हि सर्वेषु लोकेषु विश्रुताभिजनं नृपम्। <br>कन्या नाभिलषेन्नाथं भर्तारं भक्तवत्सलम्   ॥01-161-017॥
तस्मादेवंगते काले याचस्व पितरं मम। <br>आदित्यं प्रणिपातेन तपसा नियमेन च   ॥01-161-018॥
स चेत्कामयते दातुं तव मामरिमर्दन। <br>भविष्याम्यथ ते राजन्सततं वशवर्तिनी   ॥01-161-019॥
अहं हि तपती नाम सावित्र्यवरजा सुता। <br>अस्य लोकप्रदीपस्य सवितुः क्षत्रियर्षभ   ॥01-161-020॥
