Verse
 वैशंपायन उवाच। <br>ततस्ते नरशार्दूला भ्रातरः पञ्च पाण्डवाः। <br>प्रययुर्द्रौपदीं द्रष्टुं तं च देवमहोत्सवम्   ॥01-175-001॥
ते प्रयाता नरव्याघ्रा मात्रा सह परंतपाः। <br>ब्राह्मणान्ददृशुर्मार्गे गच्छतः सगणान्बहून्   ॥01-175-002॥
तानूचुर्ब्राह्मणा राजन्पाण्डवान्ब्रह्मचारिणः। <br>क्व भवन्तो गमिष्यन्ति कुतो वागच्छतेति ह   ॥01-175-003॥
 युधिष्ठिर उवाच। <br>आगतानेकचक्रायाः सोदर्यान्देवदर्शिनः। <br>भवन्तो हि विजानन्तु सहितान्मातृचारिणः   ॥01-175-004॥
 ब्राह्मणा ऊचुः। <br>गच्छताद्यैव पाञ्चालान्द्रुपदस्य निवेशनम्। <br>स्वयंवरो महांस्तत्र भविता सुमहाधनः   ॥01-175-005॥
एकसार्थं प्रयाताः स्मो वयमप्यत्र गामिनः। <br>तत्र ह्यद्भुतसंकाशो भविता सुमहोत्सवः   ॥01-175-006॥
यज्ञसेनस्य दुहिता द्रुपदस्य महात्मनः। <br>वेदीमध्यात्समुत्पन्ना पद्मपत्रनिभेक्षणा   ॥01-175-007॥
दर्शनीयानवद्याङ्गी सुकुमारी मनस्विनी। <br>धृष्टद्युम्नस्य भगिनी द्रोणशत्रोः प्रतापिनः   ॥01-175-008॥
यो जातः कवची खड्गी सशरः सशरासनः। <br>सुसमिद्धे महाबाहुः पावके पावकप्रभः   ॥01-175-009॥
स्वसा तस्यानवद्याङ्गी द्रौपदी तनुमध्यमा। <br>नीलोत्पलसमो गन्धो यस्याः क्रोशात्प्रवायति   ॥01-175-010॥
तां यज्ञसेनस्य सुतां स्वयंवरकृतक्षणाम्। <br>गच्छामहे वयं द्रष्टुं तं च देवमहोत्सवम्   ॥01-175-011॥
राजानो राजपुत्राश्च यज्वानो भूरिदक्षिणाः। <br>स्वाध्यायवन्तः शुचयो महात्मानो यतव्रताः   ॥01-175-012॥
तरुणा दर्शनीयाश्च नानादेशसमागताः। <br>महारथाः कृतास्त्राश्च समुपैष्यन्ति भूमिपाः   ॥01-175-013॥
ते तत्र विविधान्दायान्विजयार्थं नरेश्वराः। <br>प्रदास्यन्ति धनं गाश्च भक्ष्यं भोज्यं च सर्वशः   ॥01-175-014॥
प्रतिगृह्य च तत्सर्वं दृष्ट्वा चैव स्वयंवरम्। <br>अनुभूयोत्सवं चैव गमिष्यामो यथेप्सितम्   ॥01-175-015॥
नटा वैतालिकाश्चैव नर्तकाः सूतमागधाः। <br>नियोधकाश्च देशेभ्यः समेष्यन्ति महाबलाः   ॥01-175-016॥
एवं कौतूहलं कृत्वा दृष्ट्वा च प्रतिगृह्य च। <br>सहास्माभिर्महात्मानः पुनः प्रतिनिवर्त्स्यथ   ॥01-175-017॥
दर्शनीयांश्च वः सर्वान्देवरूपानवस्थितान्। <br>समीक्ष्य कृष्णा वरयेत्संगत्यान्यतमं वरम्   ॥01-175-018॥
अयं भ्राता तव श्रीमान्दर्शनीयो महाभुजः। <br>नियुध्यमानो विजयेत्संगत्या द्रविणं बहु   ॥01-175-019॥
 युधिष्ठिर उवाच। <br>परमं भो गमिष्यामो द्रष्टुं देवमहोत्सवम्। <br>भवद्भिः सहिताः सर्वे कन्यायास्तं स्वयंवरम्   ॥01-175-020॥
