Verse
 वैशंपायन उवाच। <br>पाण्डवैः सह संयोगं गतस्य द्रुपदस्य तु। <br>न बभूव भयं किंचिद्देवेभ्योऽपि कथंचन   ॥01-191-001॥
कुन्तीमासाद्य ता नार्यो द्रुपदस्य महात्मनः। <br>नाम संकीर्तयन्त्यस्ताः पादौ जग्मुः स्वमूर्धभिः   ॥01-191-002॥
कृष्णा च क्षौमसंवीता कृतकौतुकमङ्गला। <br>कृताभिवादना श्वश्र्वास्तस्थौ प्रह्वा कृताञ्जलिः   ॥01-191-003॥
रूपलक्षणसंपन्नां शीलाचारसमन्विताम्। <br>द्रौपदीमवदत्प्रेम्णा पृथाशीर्वचनं स्नुषाम्   ॥01-191-004॥
यथेन्द्राणी हरिहये स्वाहा चैव विभावसौ। <br>रोहिणी च यथा सोमे दमयन्ती यथा नले   ॥01-191-005॥
यथा वैश्रवणे भद्रा वसिष्ठे चाप्यरुन्धती। <br>यथा नारायणे लक्ष्मीस्तथा त्वं भव भर्तृषु   ॥01-191-006॥
जीवसूर्वीरसूर्भद्रे बहुसौख्यसमन्विता। <br>सुभगा भोगसंपन्ना यज्ञपत्नी स्वनुव्रता   ॥01-191-007॥
अतिथीनागतान्साधून्बालान्वृद्धान्गुरूंस्तथा। <br>पूजयन्त्या यथान्यायं शश्वद्गच्छन्तु ते समाः   ॥01-191-008॥
कुरुजाङ्गलमुख्येषु राष्ट्रेषु नगरेषु च। <br>अनु त्वमभिषिच्यस्व नृपतिं धर्मवत्सलम्   ॥01-191-009॥
पतिभिर्निर्जितामुर्वीं विक्रमेण महाबलैः। <br>कुरु ब्राह्मणसात्सर्वामश्वमेधे महाक्रतौ   ॥01-191-010॥
पृथिव्यां यानि रत्नानि गुणवन्ति गुनान्विते। <br>तान्याप्नुहि त्वं कल्याणि सुखिनी शरदां शतम्   ॥01-191-011॥
यथा च त्वाभिनन्दामि वध्वद्य क्षौमसंवृताम्। <br>तथा भूयोऽभिनन्दिष्ये सूतपुत्रां गुणान्विताम्   ॥01-191-012॥
ततस्तु कृतदारेभ्यः पाण्डुभ्यः प्राहिणोद्धरिः। <br>मुक्तावैडूर्यचित्राणि हैमान्याभरणानि च   ॥01-191-013॥
वासांसि च महार्हाणि नानादेश्यानि माधवः। <br>कम्बलाजिनरत्नानि स्पर्शवन्ति शुभानि च   ॥01-191-014॥
शयनासनयानानि विविधानि महान्ति च। <br>वैडूर्यवज्रचित्राणि शतशो भाजनानि च   ॥01-191-015॥
रूपयौवनदाक्षिण्यैरुपेताश्च स्वलंकृताः। <br>प्रेष्याः संप्रददौ कृष्णो नानादेश्याः सहस्रशः   ॥01-191-016॥
गजान्विनीतान्भद्रांश्च सदश्वांश्च स्वलंकृतान्। <br>रथांश्च दान्तान्सौवर्णैः शुभैः पट्टैरलंकृतान्   ॥01-191-017॥
कोटिशश्च सुवर्णं स तेषामकृतकं तथा। <br>वीतीकृतममेयात्मा प्राहिणोन्मधुसूदनः   ॥01-191-018॥
तत्सर्वं प्रतिजग्राह धर्मराजो युधिष्ठिरः। <br>मुदा परमया युक्तो गोविन्दप्रियकाम्यया   ॥01-191-019॥
