Verse
 जनमेजय उवाच। <br>एवं संप्राप्य राज्यं तदिन्द्रप्रस्थे तपोधन। <br>अत ऊर्ध्वं महात्मानः किमकुर्वन्त पाण्डवाः   ॥01-200-001॥
सर्व एव महात्मानः पूर्वे मम पितामहाः। <br>द्रौपदी धर्मपत्नी च कथं तानन्ववर्तत   ॥01-200-002॥
कथं वा पञ्च कृष्णायामेकस्यां ते नराधिपाः। <br>वर्तमाना महाभागा नाभिद्यन्त परस्परम्   ॥01-200-003॥
श्रोतुमिच्छाम्यहं सर्वं विस्तरेण तपोधन। <br>तेषां चेष्टितमन्योन्यं युक्तानां कृष्णया तया   ॥01-200-004॥
 वैशंपायन उवाच। <br>धृतराष्ट्राभ्यनुज्ञाताः कृष्णया सह पाण्डवाः। <br>रेमिरे पुरुषव्याघ्राः प्राप्तराज्याः परंतपाः   ॥01-200-005॥
प्राप्य राज्यं महातेजाः सत्यसंधो युधिष्ठिरः। <br>पालयामास धर्मेण पृथिवीं भ्रातृभिः सह   ॥01-200-006॥
जितारयो महाप्राज्ञाः सत्यधर्मपरायणाः। <br>मुदं परमिकां प्राप्तास्तत्रोषुः पाण्डुनन्दनाः   ॥01-200-007॥
कुर्वाणाः पौरकार्याणि सर्वाणि पुरुषर्षभाः। <br>आसां चक्रुर्महार्हेषु पार्थिवेष्वासनेषु च   ॥01-200-008॥
अथ तेषूपविष्टेषु सर्वेष्वेव महात्मसु। <br>नारदस्त्वथ देवर्षिराजगाम यदृच्छया। <br>आसनं रुचिरं तस्मै प्रददौ स्वं युधिष्ठिरः   ॥01-200-009॥
देवर्षेरुपविष्टस्य स्वयमर्घ्यं यथाविधि। <br>प्रादाद्युधिष्ठिरो धीमान्राज्यं चास्मै न्यवेदयत्   ॥01-200-010॥
प्रतिगृह्य तु तां पूजामृषिः प्रीतमनाभवत्। <br>आशीर्भिर्वर्धयित्वा तु तमुवाचास्यतामिति   ॥01-200-011॥
निषसादाभ्यनुज्ञातस्ततो राजा युधिष्ठिरः। <br>प्रेषयामास कृष्णायै भगवन्तमुपस्थितम्   ॥01-200-012॥
श्रुत्वैव द्रौपदी चापि शुचिर्भूत्वा समाहिता। <br>जगाम तत्र यत्रास्ते नारदः पाण्डवैः सह   ॥01-200-013॥
तस्याभिवाद्य चरणौ देवर्षेर्धर्मचारिणी। <br>कृताञ्जलिः सुसंवीता स्थिताथ द्रुपदात्मजा   ॥01-200-014॥
तस्याश्चापि स धर्मात्मा सत्यवागृषिसत्तमः। <br>आशिषो विविधाः प्रोच्य राजपुत्र्यास्तु नारदः। <br>गम्यतामिति होवाच भगवांस्तामनिन्दिताम्   ॥01-200-015॥
गतायामथ कृष्णायां युधिष्ठिरपुरोगमान्। <br>विविक्ते पाण्डवान्सर्वानुवाच भगवानृषिः   ॥01-200-016॥
पाञ्चाली भवतामेका धर्मपत्नी यशस्विनी। <br>यथा वो नात्र भेदः स्यात्तथा नीतिर्विधीयताम्   ॥01-200-017॥
सुन्दोपसुन्दावसुरौ भ्रातरौ सहितावुभौ। <br>आस्तामवध्यावन्येषां त्रिषु लोकेषु विश्रुतौ   ॥01-200-018॥
एकराज्यावेकगृहावेकशय्यासनाशनौ। <br>तिलोत्तमायास्तौ हेतोरन्योन्यमभिजघ्नतुः   ॥01-200-019॥
रक्ष्यतां सौहृदं तस्मादन्योन्यप्रतिभाविकम्। <br>यथा वो नात्र भेदः स्यात्तत्कुरुष्व युधिष्ठिर   ॥01-200-020॥
 युधिष्ठिर उवाच। <br>सुन्दोपसुन्दावसुरौ कस्य पुत्रौ महामुने। <br>उत्पन्नश्च कथं भेदः कथं चान्योन्यमघ्नताम्   ॥01-200-021॥
अप्सरा देवकन्या वा कस्य चैषा तिलोत्तमा। <br>यस्याः कामेन संमत्तौ जघ्नतुस्तौ परस्परम्   ॥01-200-022॥
एतत्सर्वं यथावृत्तं विस्तरेण तपोधन। <br>श्रोतुमिच्छामहे विप्र परं कौतूहलं हि नः   ॥01-200-023॥
