Verse
 वैशंपायन उवाच। <br>तथा शैलनिपातेन भीषिताः खाण्डवालयाः। <br>दानवा राक्षसा नागास्तरक्ष्वृक्षवनौकसः। <br>द्विपाः प्रभिन्नाः शार्दूलाः सिंहाः केसरिणस्तथा   ॥01-219-001॥
मृगाश्च महिषाश्चैव शतशः पक्षिणस्तथा। <br>समुद्विग्ना विससृपुस्तथान्या भूतजातयः   ॥01-219-002॥
तं दावं समुदीक्षन्तः कृष्णौ चाभ्युद्यतायुधौ। <br>उत्पातनादशब्देन संत्रासित इवाभवन्   ॥01-219-003॥
स्वतेजोभास्वरं चक्रमुत्ससर्ज जनार्दनः। <br>तेन ता जातयः क्षुद्राः सदानवनिशाचराः। <br>निकृत्ताः शतशः सर्वा निपेतुरनलं क्षणात्   ॥01-219-004॥
अदृश्यन्राक्षसास्तत्र कृष्णचक्रविदारिताः। <br>वसारुधिरसंपृक्ताः संध्यायामिव तोयदाः   ॥01-219-005॥
पिशाचान्पक्षिणो नागान्पशूंश्चापि सहस्रशः। <br>निघ्नंश्चरति वार्ष्णेयः कालवत्तत्र भारत   ॥01-219-006॥
क्षिप्तं क्षिप्तं हि तच्चक्रं कृष्णस्यामित्रघातिनः। <br>हत्वानेकानि सत्त्वानि पाणिमेति पुनः पुनः   ॥01-219-007॥
तथा तु निघ्नतस्तस्य सर्वसत्त्वानि भारत। <br>बभूव रूपमत्युग्रं सर्वभूतात्मनस्तदा   ॥01-219-008॥
समेतानां च देवानां दानवानां च सर्वशः। <br>विजेता नाभवत्कश्चित्कृष्णपाण्डवयोर्मृधे   ॥01-219-009॥
तयोर्बलात्परित्रातुं तं दावं तु यदा सुराः। <br>नाशक्नुवञ्शमयितुं तदाभूवन्पराङ्मुखाः   ॥01-219-010॥
शतक्रतुश्च संप्रेक्ष्य विमुखान्देवतागणान्। <br>बभूवावस्थितः प्रीतः प्रशंसन्कृष्णपाण्डवौ   ॥01-219-011॥
निवृत्तेषु तु देवेषु वागुवाचाशरीरिणी। <br>शतक्रतुमभिप्रेक्ष्य महागम्भीरनिःस्वना   ॥01-219-012॥
न ते सखा संनिहितस्तक्षकः पन्नगोत्तमः। <br>दाहकाले खाण्डवस्य कुरुक्षेत्रं गतो ह्यसौ   ॥01-219-013॥
न च शक्यौ त्वया जेतुं युद्धेऽस्मिन्समवस्थितौ। <br>वासुदेवार्जुनौ शक्र निबोधेदं वचो मम   ॥01-219-014॥
नरनारायणौ देवौ तावेतौ विश्रुतौ दिवि। <br>भवानप्यभिजानाति यद्वीर्यौ यत्पराक्रमौ   ॥01-219-015॥
नैतौ शक्यौ दुराधर्षौ विजेतुमजितौ युधि। <br>अपि सर्वेषु लोकेषु पुराणावृषिसत्तमौ   ॥01-219-016॥
पूजनीयतमावेतावपि सर्वैः सुरासुरैः। <br>सयक्षरक्षोगन्धर्वनरकिंनरपन्नगैः   ॥01-219-017॥
तस्मादितः सुरैः सार्धं गन्तुमर्हसि वासव। <br>दिष्टं चाप्यनुपश्यैतत्खाण्डवस्य विनाशनम्   ॥01-219-018॥
इति वाचमभिश्रुत्य तथ्यमित्यमरेश्वरः। <br>कोपामर्षौ समुत्सृज्य संप्रतस्थे दिवं तदा   ॥01-219-019॥
तं प्रस्थितं महात्मानं समवेक्ष्य दिवौकसः। <br>त्वरिताः सहिता राजन्ननुजग्मुः शतक्रतुम्   ॥01-219-020॥
देवराजं तदा यान्तं सह देवैरुदीक्ष्य तु। <br>वासुदेवार्जुनौ वीरौ सिंहनादं विनेदतुः   ॥01-219-021॥
देवराजे गते राजन्प्रहृष्टौ कृष्णपाण्डवौ। <br>निर्विशङ्कं पुनर्दावं दाहयामासतुस्तदा   ॥01-219-022॥
स मारुत इवाभ्राणि नाशयित्वार्जुनः सुरान्। <br>व्यधमच्छरसंपातैः प्राणिनः खाण्डवालयान्   ॥01-219-023॥
न च स्म किंचिच्छक्नोति भूतं निश्चरितुं ततः। <br>संछिद्यमानमिषुभिरस्यता सव्यसाचिना   ॥01-219-024॥
नाशकंस्तत्र भूतानि महान्त्यपि रणेऽर्जुनम्। <br>निरीक्षितुममोघेषुं करिष्यन्ति कुतो रणम्   ॥01-219-025॥
शतेनैकं च विव्याध शतं चैकेन पत्रिणा। <br>व्यसवस्तेऽपतन्नग्नौ साक्षात्कालहता इव   ॥01-219-026॥
न चालभन्त ते शर्म रोधःसु विषमेषु च। <br>पितृदेवनिवासेषु संतापश्चाप्यजायत   ॥01-219-027॥
भूतसंघसहस्राश्च दीनाश्चक्रुर्महास्वनम्। <br>रुरुवुर्वारणाश्चैव तथैव मृगपक्षिणः। <br>तेन शब्देन वित्रेसुर्गङ्गोदधिचरा झषाः   ॥01-219-028॥
न ह्यर्जुनं महाबाहुं नापि कृष्णं महाबलम्। <br>निरीक्षितुं वै शक्नोति कश्चिद्योद्धुं कुतः पुनः   ॥01-219-029॥
एकायनगता येऽपि निष्पतन्त्यत्र केचन। <br>राक्षसान्दानवान्नागाञ्जघ्ने चक्रेण तान्हरिः   ॥01-219-030॥
ते विभिन्नशिरोदेहाश्चक्रवेगाद्गतासवः। <br>पेतुरास्ये महाकाया दीप्तस्य वसुरेतसः   ॥01-219-031॥
स मांसरुधिरौघैश्च मेदौघैश्च समीरितः। <br>उपर्याकाशगो वह्निर्विधूमः समदृश्यत   ॥01-219-032॥
दीप्ताक्षो दीप्तजिह्वश्च दीप्तव्यात्तमहाननः। <br>दीप्तोर्ध्वकेशः पिङ्गाक्षः पिबन्प्राणभृतां वसाम्   ॥01-219-033॥
तां स कृष्णार्जुनकृतां सुधां प्राप्य हुताशनः। <br>बभूव मुदितस्तृप्तः परां निर्वृतिमागतः   ॥01-219-034॥
अथासुरं मयं नाम तक्षकस्य निवेशनात्। <br>विप्रद्रवन्तं सहसा ददर्श मधुसूदनः   ॥01-219-035॥
तमग्निः प्रार्थयामास दिधक्षुर्वातसारथिः। <br>देहवान्वै जटी भूत्वा नदंश्च जलदो यथा। <br>जिघांसुर्वासुदेवश्च चक्रमुद्यम्य विष्ठितः   ॥01-219-036॥
स चक्रमुद्यतं दृष्ट्वा दिधक्षुं च हुताशनम्। <br>अभिधावार्जुनेत्येवं मयश्चुक्रोश भारत   ॥01-219-037॥
तस्य भीतस्वनं श्रुत्वा मा भैरिति धनंजयः। <br>प्रत्युवाच मयं पार्थो जीवयन्निव भारत   ॥01-219-038॥
तं पार्थेनाभये दत्ते नमुचेर्भ्रातरं मयम्। <br>न हन्तुमैच्छद्दाशार्हः पावको न ददाह च   ॥01-219-039॥
तस्मिन्वने दह्यमाने षडग्निर्न ददाह च। <br>अश्वसेनं मयं चापि चतुरः शार्ङ्गकानिति   ॥01-219-040॥
