Verse
 कृप उवाच। <br>दिष्ट्या ते प्रतिकर्तव्ये मतिर्जातेयमच्युत। <br>न त्वा वारयितुं शक्तो वज्रपाणिरपि स्वयम्   ॥10-004-001॥
अनुयास्यावहे त्वां तु प्रभाते सहितावुभौ। <br>अद्य रात्रौ विश्रमस्व विमुक्तकवचध्वजः   ॥10-004-002॥
अहं त्वामनुयास्यामि कृतवर्मा च सात्वतः। <br>परानभिमुखं यान्तं रथावास्थाय दंशितौ   ॥10-004-003॥
आवाभ्यां सहितः शत्रूञ्श्वोऽसि हन्ता समागमे। <br>विक्रम्य रथिनां श्रेष्ठ पाञ्चालान्सपदानुगान्   ॥10-004-004॥
शक्तस्त्वमसि विक्रान्तुं विश्रमस्व निशामिमाम्। <br>चिरं ते जाग्रतस्तात स्वप तावन्निशामिमाम्   ॥10-004-005॥
विश्रान्तश्च विनिद्रश्च स्वस्थचित्तश्च मानद। <br>समेत्य समरे शत्रून्वधिष्यसि न संशयः   ॥10-004-006॥
न हि त्वा रथिनां श्रेष्ठ प्रगृहीतवरायुधम्। <br>जेतुमुत्सहते कश्चिदपि देवेषु पावकिः   ॥10-004-007॥
कृपेण सहितं यान्तं युक्तं च कृतवर्मणा। <br>को द्रौणिं युधि संरब्धं योधयेदपि देवराट्   ॥10-004-008॥
ते वयं परिविश्रान्ता विनिद्रा विगतज्वराः। <br>प्रभातायां रजन्यां वै निहनिष्याम शात्रवान्   ॥10-004-009॥
तव ह्यस्त्राणि दिव्यानि मम चैव न संशयः। <br>सात्वतोऽपि महेष्वासो नित्यं युद्धेषु कोविदः   ॥10-004-010॥
ते वयं सहितास्तात सर्वाञ्शत्रून्समागतान्। <br>प्रसह्य समरे हत्वा प्रीतिं प्राप्स्याम पुष्कलाम्। <br>विश्रमस्व त्वमव्यग्रः स्वप चेमां निशां सुखम्   ॥10-004-011॥
अहं च कृतवर्मा च प्रयान्तं त्वां नरोत्तम। <br>अनुयास्याव सहितौ धन्विनौ परतापिनौ। <br>रथिनं त्वरया यान्तं रथावास्थाय दंशितौ   ॥10-004-012॥
स गत्वा शिबिरं तेषां नाम विश्राव्य चाहवे। <br>ततः कर्तासि शत्रूणां युध्यतां कदनं महत्   ॥10-004-013॥
कृत्वा च कदनं तेषां प्रभाते विमलेऽहनि। <br>विहरस्व यथा शक्रः सूदयित्वा महासुरान्   ॥10-004-014॥
त्वं हि शक्तो रणे जेतुं पाञ्चालानां वरूथिनीम्। <br>दैत्यसेनामिव क्रुद्धः सर्वदानवसूदनः   ॥10-004-015॥
मया त्वां सहितं संख्ये गुप्तं च कृतवर्मणा। <br>न सहेत विभुः साक्षाद्वज्रपाणिरपि स्वयम्   ॥10-004-016॥
न चाहं समरे तात कृतवर्मा तथैव च। <br>अनिर्जित्य रणे पाण्डून्व्यपयास्याव कर्हिचित्   ॥10-004-017॥
हत्वा च समरे क्षुद्रान्पाञ्चालान्पाण्डुभिः सह। <br>निवर्तिष्यामहे सर्वे हता वा स्वर्गगा वयम्   ॥10-004-018॥
सर्वोपायैः सहायास्ते प्रभाते वयमेव हि। <br>सत्यमेतन्महाबाहो प्रब्रवीमि तवानघ   ॥10-004-019॥
एवमुक्तस्ततो द्रौणिर्मातुलेन हितं वचः। <br>अब्रवीन्मातुलं राजन्क्रोधादुद्वृत्य लोचने   ॥10-004-020॥
आतुरस्य कुतो निद्रा नरस्यामर्षितस्य च। <br>अर्थांश्चिन्तयतश्चापि कामयानस्य वा पुनः   ॥10-004-021॥
तदिदं समनुप्राप्तं पश्य मेऽद्य चतुष्टयम्। <br>यस्य भागश्चतुर्थो मे स्वप्नमह्नाय नाशयेत्   ॥10-004-022॥
किं नाम दुःखं लोकेऽस्मिन्पितुर्वधमनुस्मरन्। <br>हृदयं निर्दहन्मेऽद्य रात्र्यहानि न शाम्यति   ॥10-004-023॥
यथा च निहतः पापैः पिता मम विशेषतः। <br>प्रत्यक्षमपि ते सर्वं तन्मे मर्माणि कृन्तति   ॥10-004-024॥
कथं हि मादृशो लोके मुहूर्तमपि जीवति। <br>द्रोणो हतेति यद्वाचः पाञ्चालानां शृणोम्यहम्   ॥10-004-025॥
दृष्टद्युम्नमहत्वाजौ नाहं जीवितुमुत्सहे। <br>स मे पितृवधाद्वध्यः पाञ्चाला ये च संगताः   ॥10-004-026॥
