Verse
 वैशंपायन उवाच। <br>एवमुक्त्वा युधां श्रेष्ठः सर्वयादवनन्दनः। <br>सर्वायुधवरोपेतमारुरोह महारथम्। <br>युक्तं परमकाम्बोजैस्तुरगैर्हेममालिभिः   ॥10-013-001॥
आदित्योदयवर्णस्य धुरं रथवरस्य तु। <br>दक्षिणामवहत्सैन्यः सुग्रीवः सव्यतोऽवहत्। <br>पार्ष्णिवाहौ तु तस्यास्तां मेघपुष्पबलाहकौ   ॥10-013-002॥
विश्वकर्मकृता दिव्या नानारत्नविभूषिता। <br>उच्छ्रितेव रथे माया ध्वजयष्टिरदृश्यत   ॥10-013-003॥
वैनतेयः स्थितस्तस्यां प्रभामण्डलरश्मिवान्। <br>तस्य सत्यवतः केतुर्भुजगारिरदृश्यत   ॥10-013-004॥
अन्वारोहद्धृषीकेशः केतुः सर्वधनुष्मताम्। <br>अर्जुनः सत्यकर्मा च कुरुराजो युधिष्ठिरः   ॥10-013-005॥
अशोभेतां महात्मानौ दाशार्हमभितः स्थितौ। <br>रथस्थं शार्ङ्गधन्वानमश्विनाविव वासवम्   ॥10-013-006॥
तावुपारोप्य दाशार्हः स्यन्दनं लोकपूजितम्। <br>प्रतोदेन जवोपेतान्परमाश्वानचोदयत्   ॥10-013-007॥
ते हयाः सहसोत्पेतुर्गृहीत्वा स्यन्दनोत्तमम्। <br>आस्थितं पाण्डवेयाभ्यां यदूनामृषभेण च   ॥10-013-008॥
वहतां शार्ङ्गधन्वानमश्वानां शीघ्रगामिनाम्। <br>प्रादुरासीन्महाञ्शब्दः पक्षिणां पततामिव   ॥10-013-009॥
ते समार्छन्नरव्याघ्राः क्षणेन भरतर्षभ। <br>भीमसेनं महेष्वासं समनुद्रुत्य वेगिताः   ॥10-013-010॥
क्रोधदीप्तं तु कौन्तेयं द्विषदर्थे समुद्यतम्। <br>नाशक्नुवन्वारयितुं समेत्यापि महारथाः   ॥10-013-011॥
स तेषां प्रेक्षतामेव श्रीमतां दृढधन्विनाम्। <br>ययौ भागिरथीकच्छं हरिभिर्भृशवेगितैः। <br>यत्र स्म श्रूयते द्रौणिः पुत्रहन्ता महात्मनाम्   ॥10-013-012॥
स ददर्श महात्मानमुदकान्ते यशस्विनम्। <br>कृष्णद्वैपायनं व्यासमासीनमृषिभिः सह   ॥10-013-013॥
तं चैव क्रूरकर्माणं घृताक्तं कुशचीरिणम्। <br>रजसा ध्वस्तकेशान्तं ददर्श द्रौणिमन्तिके   ॥10-013-014॥
तमभ्यधावत्कौन्तेयः प्रगृह्य सशरं धनुः। <br>भीमसेनो महाबाहुस्तिष्ठ तिष्ठेति चाब्रवीत्   ॥10-013-015॥
स दृष्ट्वा भीमधन्वानं प्रगृहीतशरासनम्। <br>भ्रातरौ पृष्ठतश्चास्य जनार्दनरथे स्थितौ। <br>व्यथितात्माभवद्द्रौणिः प्राप्तं चेदममन्यत   ॥10-013-016॥
स तद्दिव्यमदीनात्मा परमास्त्रमचिन्तयत्। <br>जग्राह च स चैषीकां द्रौणिः सव्येन पाणिना। <br>स तामापदमासाद्य दिव्यमस्त्रमुदीरयत्   ॥10-013-017॥
अमृष्यमाणस्ताञ्शूरान्दिव्यायुधधरान्स्थितान्। <br>अपाण्डवायेति रुषा व्यसृजद्दारुणं वचः   ॥10-013-018॥
इत्युक्त्वा राजशार्दूल द्रोणपुत्रः प्रतापवान्। <br>सर्वलोकप्रमोहार्थं तदस्त्रं प्रमुमोच ह   ॥10-013-019॥
ततस्तस्यामिषीकायां पावकः समजायत। <br>प्रधक्ष्यन्निव लोकांस्त्रीन्कालान्तकयमोपमः   ॥10-013-020॥
