Verse
 वैशंपायन उवाच। <br>ततोऽमृतसमैर्वाक्यैर्ह्लादयन्पुरुषर्षभम्। <br>वैचित्रवीर्यं विदुरो यदुवाच निबोध तत्   ॥11-002-001॥
 विदुर उवाच। <br>उत्तिष्ठ राजन्किं शेषे धारयात्मानमात्मना। <br>स्थिरजङ्गममर्त्यानां सर्वेषामेष निर्णयः   ॥11-002-002॥
सर्वे क्षयान्ता निचयाः पतनान्ताः समुच्छ्रयाः। <br>संयोगा विप्रयोगान्ता मरणान्तं हि जीवितम्   ॥11-002-003॥
यदा शूरं च भीरुं च यमः कर्षति भारत। <br>तत्किं न योत्स्यन्ति हि ते क्षत्रियाः क्षत्रियर्षभ   ॥11-002-004॥
अयुध्यमानो म्रियते युध्यमानश्च जीवति। <br>कालं प्राप्य महाराज न कश्चिदतिवर्तते   ॥11-002-005॥
न चाप्येतान्हतान्युद्धे राजञ्शोचितुमर्हसि। <br>प्रमाणं यदि शास्त्राणि गतास्ते परमां गतिम्   ॥11-002-006॥
सर्वे स्वाध्यायवन्तो हि सर्वे च चरितव्रताः। <br>सर्वे चाभिमुखाः क्षीणास्तत्र का परिदेवना   ॥11-002-007॥
अदर्शनादापतिताः पुनश्चादर्शनं गताः। <br>न ते तव न तेषां त्वं तत्र का परिदेवना   ॥11-002-008॥
हतोऽपि लभते स्वर्गं हत्वा च लभते यशः। <br>उभयं नो बहुगुणं नास्ति निष्फलता रणे   ॥11-002-009॥
तेषां कामदुघाँल्लोकानिन्द्रः संकल्पयिष्यति। <br>इन्द्रस्यातिथयो ह्येते भवन्ति पुरुषर्षभ   ॥11-002-010॥
न यज्ञैर्दक्षिणावद्भिर्न तपोभिर्न विद्यया। <br>स्वर्गं यान्ति तथा मर्त्या यथा शूरा रणे हताः   ॥11-002-011॥
मातापितृसहस्राणि पुत्रदारशतानि च। <br>संसारेष्वनुभूतानि कस्य ते कस्य वा वयम्   ॥11-002-012॥
शोकस्थानसहस्राणि भयस्थानशतानि च। <br>दिवसे दिवसे मूढमाविशन्ति न पण्डितम्   ॥11-002-013॥
न कालस्य प्रियः कश्चिन्न द्वेष्यः कुरुसत्तम। <br>न मध्यस्थः क्वचित्कालः सर्वं कालः प्रकर्षति   ॥11-002-014॥
अनित्यं जीवितं रूपं यौवनं द्रव्यसंचयः। <br>आरोग्यं प्रियसंवासो गृध्येदेषु न पण्डितः   ॥11-002-015॥
न जानपदिकं दुःखमेकः शोचितुमर्हसि। <br>अप्यभावेन युज्येत तच्चास्य न निवर्तते   ॥11-002-016॥
अशोचन्प्रतिकुर्वीत यदि पश्येत्पराक्रमम्। <br>भैषज्यमेतद्दुःखस्य यदेतन्नानुचिन्तयेत्। <br>चिन्त्यमानं हि न व्येति भूयश्चापि विवर्धते   ॥11-002-017॥
अनिष्टसंप्रयोगाच्च विप्रयोगात्प्रियस्य च। <br>मनुष्या मानसैर्दुःखैर्युज्यन्ते येऽल्पबुद्धयः   ॥11-002-018॥
नार्थो न धर्मो न सुखं यदेतदनुशोचसि। <br>न च नापैति कार्यार्थात्त्रिवर्गाच्चैव भ्रश्यते   ॥11-002-019॥
अन्यामन्यां धनावस्थां प्राप्य वैशेषिकीं नराः। <br>असंतुष्टाः प्रमुह्यन्ति संतोषं यान्ति पण्डिताः   ॥11-002-020॥
प्रज्ञया मानसं दुःखं हन्याच्छारीरमौषधैः। <br>एतज्ज्ञानस्य सामर्थ्यं न बालैः समतामियात्   ॥11-002-021॥
शयानं चानुशयति तिष्ठन्तं चानुतिष्ठति। <br>अनुधावति धावन्तं कर्म पूर्वकृतं नरम्   ॥11-002-022॥
यस्यां यस्यामवस्थायां यत्करोति शुभाशुभम्। <br>तस्यां तस्यामवस्थायां तत्तत्फलमुपाश्नुते   ॥11-002-023॥
