Verse
 गान्धार्युवाच। <br>आवन्त्यं भीमसेनेन भक्षयन्ति निपातितम्। <br>गृध्रगोमायवः शूरं बहुबन्धुमबन्धुवत्   ॥11-022-001॥
तं पश्य कदनं कृत्वा शत्रूणां मधुसूदन। <br>शयानं वीरशयने रुधिरेण समुक्षितम्   ॥11-022-002॥
तं सृगालाश्च कङ्काश्च क्रव्यादाश्च पृथग्विधाः। <br>तेन तेन विकर्षन्ति पश्य कालस्य पर्ययम्   ॥11-022-003॥
शयानं वीरशयने वीरमाक्रन्दसारिणम्। <br>आवन्त्यमभितो नार्यो रुदत्यः पर्युपासते   ॥11-022-004॥
प्रातिपीयं महेष्वासं हतं भल्लेन बाह्लिकम्। <br>प्रसुप्तमिव शार्दूलं पश्य कृष्ण मनस्विनम्   ॥11-022-005॥
अतीव मुखवर्णोऽस्य निहतस्यापि शोभते। <br>सोमस्येवाभिपूर्णस्य पौर्णमास्यां समुद्यतः   ॥11-022-006॥
पुत्रशोकाभितप्तेन प्रतिज्ञां परिरक्षता। <br>पाकशासनिना संख्ये वार्द्धक्षत्रिर्निपातितः   ॥11-022-007॥
एकादश चमूर्जित्वा रक्ष्यमाणं महात्मना। <br>सत्यं चिकीर्षता पश्य हतमेनं जयद्रथम्   ॥11-022-008॥
सिन्धुसौवीरभर्तारं दर्पपूर्णं मनस्विनम्। <br>भक्षयन्ति शिवा गृध्रा जनार्दन जयद्रथम्   ॥11-022-009॥
संरक्ष्यमाणं भार्याभिरनुरक्ताभिरच्युत। <br>भषन्तो व्यपकर्षन्ति गहनं निम्नमन्तिकात्   ॥11-022-010॥
तमेताः पर्युपासन्ते रक्षमाणा महाभुजम्। <br>सिन्धुसौवीरगान्धारकाम्बोजयवनस्त्रियः   ॥11-022-011॥
यदा कृष्णामुपादाय प्राद्रवत्केकयैः सह। <br>तदैव वध्यः पाण्डूनां जनार्दन जयद्रथः   ॥11-022-012॥
दुःशलां मानयद्भिस्तु यदा मुक्तो जयद्रथः। <br>कथमद्य न तां कृष्ण मानयन्ति स्म ते पुनः   ॥11-022-013॥
सैषा मम सुता बाला विलपन्ती सुदुःखिता। <br>प्रमापयति चात्मानमाक्रोशति च पाण्डवान्   ॥11-022-014॥
किं नु दुःखतरं कृष्ण परं मम भविष्यति। <br>यत्सुता विधवा बाला स्नुषाश्च निहतेश्वराः   ॥11-022-015॥
अहो धिग्दुःशलां पश्य वीतशोकभयामिव। <br>शिरो भर्तुरनासाद्य धावमानामितस्ततः   ॥11-022-016॥
वारयामास यः सर्वान्पाण्डवान्पुत्रगृद्धिनः। <br>स हत्वा विपुलाः सेनाः स्वयं मृत्युवशं गतः   ॥11-022-017॥
तं मत्तमिव मातङ्गं वीरं परमदुर्जयम्। <br>परिवार्य रुदन्त्येताः स्त्रियश्चन्द्रोपमाननाः   ॥11-022-018॥
