Verse
 वैशंपायन उवाच। <br>ते समासाद्य गङ्गां तु शिवां पुण्यजनोचिताम्। <br>ह्रदिनीं वप्रसंपन्नां महानूपां महावनाम्   ॥11-027-001॥
भूषणान्युत्तरीयाणि वेष्टनान्यवमुच्य च। <br>ततः पितॄणां पौत्राणां भ्रातॄणां स्वजनस्य च   ॥11-027-002॥
पुत्राणामार्यकाणां च पतीनां च कुरुस्त्रियः। <br>उदकं चक्रिरे सर्वा रुदन्त्यो भृशदुःखिताः। <br>सुहृदां चापि धर्मज्ञाः प्रचक्रुः सलिलक्रियाः   ॥11-027-003॥
उदके क्रियमाणे तु वीराणां वीरपत्निभिः। <br>सूपतीर्थाभवद्गङ्गा भूयो विप्रससार च   ॥11-027-004॥
तन्महोदधिसंकाशं निरानन्दमनुत्सवम्। <br>वीरपत्नीभिराकीर्णं गङ्गातीरमशोभत   ॥11-027-005॥
ततः कुन्ती महाराज सहसा शोककर्शिता। <br>रुदती मन्दया वाचा पुत्रान्वचनमब्रवीत्   ॥11-027-006॥
यः स शूरो महेष्वासो रथयूथपयूथपः। <br>अर्जुनेन हतः संख्ये वीरलक्षणलक्षितः   ॥11-027-007॥
यं सूतपुत्रं मन्यध्वं राधेयमिति पाण्डवाः। <br>यो व्यराजच्चमूमध्ये दिवाकर इव प्रभुः   ॥11-027-008॥
प्रत्ययुध्यत यः सर्वान्पुरा वः सपदानुगान्। <br>दुर्योधनबलं सर्वं यः प्रकर्षन्व्यरोचत   ॥11-027-009॥
यस्य नास्ति समो वीर्ये पृथिव्यामपि कश्चन। <br>सत्यसंधस्य शूरस्य संग्रामेष्वपलायिनः   ॥11-027-010॥
कुरुध्वमुदकं तस्य भ्रातुरक्लिष्टकर्मणः। <br>स हि वः पूर्वजो भ्राता भास्करान्मय्यजायत। <br>कुण्डली कवची शूरो दिवाकरसमप्रभः   ॥11-027-011॥
श्रुत्वा तु पाण्डवाः सर्वे मातुर्वचनमप्रियम्। <br>कर्णमेवानुशोचन्त भूयश्चार्ततराभवन्   ॥11-027-012॥
ततः स पुरुषव्याघ्रः कुन्तीपुत्रो युधिष्ठिरः। <br>उवाच मातरं वीरो निःश्वसन्निव पन्नगः   ॥11-027-013॥
यस्येषुपातमासाद्य नान्यस्तिष्ठेद्धनंजयात्। <br>कथं पुत्रो भवत्यां स देवगर्भः पुराभवत्   ॥11-027-014॥
यस्य बाहुप्रतापेन तापिताः सर्वतो वयम्। <br>तमग्निमिव वस्त्रेण कथं छादितवत्यसि। <br>यस्य बाहुबलं घोरं धार्तराष्ट्रैरुपासितम्   ॥11-027-015॥
नान्यः कुन्तीसुतात्कर्णादगृह्णाद्रथिनां रथी। <br>स नः प्रथमजो भ्राता सर्वशस्त्रभृतां वरः। <br>असूत तं भवत्यग्रे कथमद्भुतविक्रमम्   ॥11-027-016॥
अहो भवत्या मन्त्रस्य पिधानेन वयं हताः। <br>निधनेन हि कर्णस्य पीडिताः स्म सबान्धवाः   ॥11-027-017॥
अभिमन्योर्विनाशेन द्रौपदेयवधेन च। <br>पाञ्चालानां च नाशेन कुरूणां पतनेन च   ॥11-027-018॥
ततः शतगुणं दुःखमिदं मामस्पृशद्भृशम्। <br>कर्णमेवानुशोचन्हि दह्याम्यग्नाविवाहितः   ॥11-027-019॥
न हि स्म किंचिदप्राप्यं भवेदपि दिवि स्थितम्। <br>न च स्म वैशसं घोरं कौरवान्तकरं भवेत्   ॥11-027-020॥
एवं विलप्य बहुलं धर्मराजो युधिष्ठिरः। <br>विनदञ्शनकै राजंश्चकारास्योदकं प्रभुः   ॥11-027-021॥
ततो विनेदुः सहसा स्त्रीपुंसास्तत्र सर्वशः। <br>अभितो ये स्थितास्तत्र तस्मिन्नुदककर्मणि   ॥11-027-022॥
तत आनाययामास कर्णस्य सपरिच्छदम्। <br>स्त्रियः कुरुपतिर्धीमान्भ्रातुः प्रेम्णा युधिष्ठिरः   ॥11-027-023॥
स ताभिः सह धर्मात्मा प्रेतकृत्यमनन्तरम्। <br>कृत्वोत्ततार गङ्गायाः सलिलादाकुलेन्द्रियः   ॥11-027-024॥
