Verse
 भीष्म उवाच। <br>राज्ञा पुरोहितः कार्यो भवेद्विद्वान्बहुश्रुतः। <br>उभौ समीक्ष्य धर्मार्थावप्रमेयावनन्तरम्   ॥12-074-001॥
धर्मात्मा धर्मविद्येषां राज्ञां राजन्पुरोहितः। <br>राजा चैवंगुणो येषां कुशलं तेषु सर्वशः   ॥12-074-002॥
उभौ प्रजा वर्धयतो देवान्पूर्वान्परान्पितॄन्। <br>यौ समेयास्थितौ धर्मे श्रद्धेयौ सुतपस्विनौ   ॥12-074-003॥
परस्परस्य सुहृदौ संमतौ समचेतसौ। <br>ब्रह्मक्षत्रस्य संमानात्प्रजाः सुखमवाप्नुयुः   ॥12-074-004॥
विमाननात्तयोरेव प्रजा नश्येयुरेव ह। <br>ब्रह्मक्षत्रं हि सर्वेषां धर्माणां मूलमुच्यते   ॥12-074-005॥
अत्राप्युदाहरन्तीममितिहासं पुरातनम्। <br>ऐलकश्यपसंवादं तं निबोध युधिष्ठिर   ॥12-074-006॥
 ऐल उवाच। <br>यदा हि ब्रह्म प्रजहाति क्षत्रं; क्षत्रं यदा वा प्रजहाति ब्रह्म। <br>अन्वग्बलं कतमेऽस्मिन्भजन्ते; तथाबल्यं कतमेऽस्मिन्वियन्ति   ॥12-074-007॥
 कश्यप उवाच। <br>व्यृद्धं राष्ट्रं भवति क्षत्रियस्य; ब्रह्म क्षत्रं यत्र विरुध्यते ह। <br>अन्वग्बलं दस्यवस्तद्भजन्ते;ऽबल्यं तथा तत्र वियन्ति सन्तः   ॥12-074-008॥
नैषामुक्षा वर्धते नोत उस्रा; न गर्गरो मथ्यते नो यजन्ते। <br>नैषां पुत्रा वेदमधीयते च; यदा ब्रह्म क्षत्रियाः संत्यजन्ति   ॥12-074-009॥
नैषामुक्षा वर्धते जातु गेहे; नाधीयते सप्रजा नो यजन्ते। <br>अपध्वस्ता दस्युभूता भवन्ति; ये ब्राह्मणाः क्षत्रियान्संत्यजन्ति   ॥12-074-010॥
एतौ हि नित्यसंयुक्तावितरेतरधारणे। <br>क्षत्रं हि ब्रह्मणो योनिर्योनिः क्षत्रस्य च द्विजाः   ॥12-074-011॥
उभावेतौ नित्यमभिप्रपन्नौ; संप्रापतुर्महतीं श्रीप्रतिष्ठाम्। <br>तयोः संधिर्भिद्यते चेत्पुराण;स्ततः सर्वं भवति हि संप्रमूढम्   ॥12-074-012॥
नात्र प्लवं लभते पारगामी; महागाधे नौरिव संप्रणुन्ना। <br>चातुर्वर्ण्यं भवति च संप्रमूढं; ततः प्रजाः क्षयसंस्था भवन्ति   ॥12-074-013॥
ब्रह्मवृक्षो रक्ष्यमाणो मधु हेम च वर्षति। <br>अरक्ष्यमाणः सततमश्रु पापं च वर्षति   ॥12-074-014॥
अब्रह्मचारी चरणादपेतो; यदा ब्रह्मा ब्रह्मणि त्राणमिच्छेत्। <br>आश्चर्यशो वर्षति तत्र देव;स्तत्राभीक्ष्णं दुःसहाश्चाविशन्ति   ॥12-074-015॥
स्त्रियं हत्वा ब्राह्मणं वापि पापः; सभायां यत्र लभतेऽनुवादम्। <br>राज्ञः सकाशे न बिभेति चापि; ततो भयं जायते क्षत्रियस्य   ॥12-074-016॥
पापैः पापे क्रियमाणेऽतिवेलं; ततो रुद्रो जायते देव एषः। <br>पापैः पापाः संजनयन्ति रुद्रं; ततः सर्वान्साध्वसाधून्हिनस्ति   ॥12-074-017॥
 ऐल उवाच। <br>कुतो रुद्रः कीदृशो वापि रुद्रः; सत्त्वैः सत्त्वं दृश्यते वध्यमानम्। <br>एतद्विद्वन्कश्यप मे प्रचक्ष्व; यतो रुद्रो जायते देव एषः   ॥12-074-018॥
 कश्यप उवाच। <br>आत्मा रुद्रो हृदये मानवानां; स्वं स्वं देहं परदेहं च हन्ति। <br>वातोत्पातैः सदृशं रुद्रमाहु;र्दावैर्जीमूतैः सदृशं रूपमस्य   ॥12-074-019॥
 ऐल उवाच। <br>न वै वातं परिवृनोति कश्चि;न्न जीमूतो वर्षति नैव दावः। <br>तथायुक्तो दृश्यते मानवेषु; कामद्वेषाद्बध्यते मुच्यते च   ॥12-074-020॥
 कश्यप उवाच। <br>यथैकगेहे जातवेदाः प्रदीप्तः; कृत्स्नं ग्रामं प्रदहेत्स त्वरावान्। <br>विमोहनं कुरुते देव एष; ततः सर्वं स्पृश्यते पुण्यपापैः   ॥12-074-021॥
