Verse
 युधिष्ठिर उवाच। <br>केषां राजा प्रभवति वित्तस्य भरतर्षभ। <br>कया च वृत्त्या वर्तेत तन्मे ब्रूहि पितामह   ॥12-078-001॥
 भीष्म उवाच। <br>अब्राह्मणानां वित्तस्य स्वामी राजेति वैदिकम्। <br>ब्राह्मणानां च ये केचिद्विकर्मस्था भवन्त्युत   ॥12-078-002॥
विकर्मस्थाश्च नोपेक्ष्या विप्रा राज्ञा कथंचन। <br>इति राज्ञां पुरावृत्तमभिजल्पन्ति साधवः   ॥12-078-003॥
यस्य स्म विषये राज्ञः स्तेनो भवति वै द्विजः। <br>राज्ञ एवापराधं तं मन्यन्ते किल्बिषं नृप   ॥12-078-004॥
अभिशस्तमिवात्मानं मन्यन्ते तेन कर्मणा। <br>तस्माद्राजर्षयः सर्वे ब्राह्मणानन्वपालयन्   ॥12-078-005॥
अत्राप्युदाहरन्तीममितिहासं पुरातनम्। <br>गीतं केकयराजेन ह्रियमाणेन रक्षसा   ॥12-078-006॥
केकयानामधिपतिं रक्षो जग्राह दारुणम्। <br>स्वाध्यायेनान्वितं राजन्नरण्ये संशितव्रतम्   ॥12-078-007॥
 राजोवाच। <br>न मे स्तेनो जनपदे न कदर्यो न मद्यपः। <br>नानाहिताग्निर्नायज्वा मामकान्तरमाविशः   ॥12-078-008॥
न च मे ब्राह्मणोऽविद्वान्नाव्रती नाप्यसोमपः। <br>नानाहिताग्निर्विषये मामकान्तरमाविशः   ॥12-078-009॥
नानाप्तदक्षिणैर्यज्ञैर्यजन्ते विषये मम। <br>अधीते नाव्रती कश्चिन्मामकान्तरमाविशः   ॥12-078-010॥
अधीयतेऽध्यापयन्ति यजन्ते याजयन्ति च। <br>ददति प्रतिगृह्णन्ति षट्सु कर्मस्ववस्थिताः   ॥12-078-011॥
पूजिताः संविभक्ताश्च मृदवः सत्यवादिनः। <br>ब्राह्मणा मे स्वकर्मस्था मामकान्तरमाविशः   ॥12-078-012॥
न याचन्ते प्रयच्छन्ति सत्यधर्मविशारदाः। <br>नाध्यापयन्त्यधीयन्ते यजन्ते न च याजकाः   ॥12-078-013॥
ब्राह्मणान्परिरक्षन्ति संग्रामेष्वपलायिनः। <br>क्षत्रिया मे स्वकर्मस्था मामकान्तरमाविशः   ॥12-078-014॥
कृषिगोरक्षवाणिज्यमुपजीवन्त्यमायया। <br>अप्रमत्ताः क्रियावन्तः सुव्रताः सत्यवादिनः   ॥12-078-015॥
संविभागं दमं शौचं सौहृदं च व्यपाश्रिताः। <br>मम वैश्याः स्वकर्मस्था मामकान्तरमाविशः   ॥12-078-016॥
त्रीन्वर्णाननुतिष्ठन्ति यथावदनसूयकाः। <br>मम शूद्राः स्वकर्मस्था मामकान्तरमाविशः   ॥12-078-017॥
कृपणानाथवृद्धानां दुर्बलातुरयोषिताम्। <br>संविभक्तास्मि सर्वेषां मामकान्तरमाविशः   ॥12-078-018॥
कुलदेशादिधर्माणां प्रथितानां यथाविधि। <br>अव्युच्छेत्तास्मि सर्वेषां मामकान्तरमाविशः   ॥12-078-019॥
तपस्विनो मे विषये पूजिताः परिपालिताः। <br>संविभक्ताश्च सत्कृत्य मामकान्तरमाविशः   ॥12-078-020॥
नासंविभज्य भोक्तास्मि न विशामि परस्त्रियम्। <br>स्वतन्त्रो जातु न क्रीडे मामकान्तरमाविशः   ॥12-078-021॥
नाब्रह्मचारी भिक्षावान्भिक्षुर्वाब्रह्मचारिकः। <br>अनृत्विजं हुतं नास्ति मामकान्तरमाविशः   ॥12-078-022॥
नावजानाम्यहं वृद्धान्न वैद्यान्न तपस्विनः। <br>राष्ट्रे स्वपति जागर्मि मामकान्तरमाविशः   ॥12-078-023॥
वेदाध्ययनसंपन्नस्तपस्वी सर्वधर्मवित्। <br>स्वामी सर्वस्य राज्यस्य श्रीमान्मम पुरोहितः   ॥12-078-024॥
दानेन दिव्यानभिवाञ्छामि लोका;न्सत्येनाथो ब्राह्मणानां च गुप्त्या। <br>शुश्रूषया चापि गुरूनुपैमि; न मे भयं विद्यते राक्षसेभ्यः   ॥12-078-025॥
न मे राष्ट्रे विधवा ब्रह्मबन्धु;र्न ब्राह्मणः कृपणो नोत चोरः। <br>न पारजायी न च पापकर्मा; न मे भयं विद्यते राक्षसेभ्यः   ॥12-078-026॥
न मे शस्त्रैरनिर्भिन्नमङ्गे द्व्यङ्गुलमन्तरम्। <br>धर्मार्थं युध्यमानस्य मामकान्तरमाविशः   ॥12-078-027॥
गोब्राह्मणे च यज्ञे च नित्यं स्वस्त्ययनं मम। <br>आशासते जना राष्ट्रे मामकान्तरमाविशः   ॥12-078-028॥
 राक्षस उवाच। <br>यस्मात्सर्वास्ववस्थासु धर्ममेवान्ववेक्षसे। <br>तस्मात्प्राप्नुहि कैकेय गृहान्स्वस्ति व्रजाम्यहम्   ॥12-078-029॥
येषां गोब्राह्मणा रक्ष्याः प्रजा रक्ष्याश्च केकय। <br>न रक्षोभ्यो भयं तेषां कुत एव तु मानुषात्   ॥12-078-030॥
येषां पुरोगमा विप्रा येषां ब्रह्मबलं बलम्। <br>प्रियातिथ्यास्तथा दारास्ते वै स्वर्गजितो नराः   ॥12-078-031॥
 भीष्म उवाच। <br>तस्माद्द्विजातीन्रक्षेत ते हि रक्षन्ति रक्षिताः। <br>आशीरेषां भवेद्राज्ञां राष्ट्रं सम्यक्प्रवर्धते   ॥12-078-032॥
तस्माद्राज्ञा विशेषेण विकर्मस्था द्विजातयः। <br>नियम्याः संविभज्याश्च प्रजानुग्रहकारणात्   ॥12-078-033॥
य एवं वर्तते राजा पौरजानपदेष्विह। <br>अनुभूयेह भद्राणि प्राप्नोतीन्द्रसलोकताम्   ॥12-078-034॥
