Verse
 भीष्म उवाच। <br>ततः स विदितो राज्ञः प्रविश्य गृहमुत्तमम्। <br>पूजितो राक्षसेन्द्रेण निषसादासनोत्तमे   ॥12-165-001॥
पृष्टश्च गोत्रचरणं स्वाध्यायं ब्रह्मचारिकम्। <br>न तत्र व्याजहारान्यद्गोत्रमात्रादृते द्विजः   ॥12-165-002॥
ब्रह्मवर्चसहीनस्य स्वाध्यायविरतस्य च। <br>गोत्रमात्रविदो राजा निवासं समपृच्छत   ॥12-165-003॥
क्व ते निवासः कल्याण किंगोत्रा ब्राह्मणी च ते। <br>तत्त्वं ब्रूहि न भीः कार्या विश्रमस्व यथासुखम्   ॥12-165-004॥
 गौतम उवाच। <br>मध्यदेशप्रसूतोऽहं वासो मे शबरालये। <br>शूद्रा पुनर्भूर्भार्या मे सत्यमेतद्ब्रवीमि ते   ॥12-165-005॥
 भीष्म उवाच। <br>ततो राजा विममृशे कथं कार्यमिदं भवेत्। <br>कथं वा सुकृतं मे स्यादिति बुद्ध्यान्वचिन्तयत्   ॥12-165-006॥
अयं वै जननाद्विप्रः सुहृत्तस्य महात्मनः। <br>संप्रेषितश्च तेनायं काश्यपेन ममान्तिकम्   ॥12-165-007॥
तस्य प्रियं करिष्यामि स हि मामाश्रितः सदा। <br>भ्राता मे बान्धवश्चासौ सखा च हृदयंगमः   ॥12-165-008॥
कार्त्तिक्यामद्य भोक्तारः सहस्रं मे द्विजोत्तमाः। <br>तत्रायमपि भोक्ता वै देयमस्मै च मे धनम्   ॥12-165-009॥
ततः सहस्रं विप्राणां विदुषां समलंकृतम्। <br>स्नातानामनुसंप्राप्तमहतक्षौमवाससाम्   ॥12-165-010॥
तानागतान्द्विजश्रेष्ठान्विरूपाक्षो विशां पते। <br>यथार्हं प्रतिजग्राह विधिदृष्टेन कर्मणा   ॥12-165-011॥
बृस्यस्तेषां तु संन्यस्ता राक्षसेन्द्रस्य शासनात्। <br>भूमौ वरकुथास्तीर्णाः प्रेष्यैर्भरतसत्तम   ॥12-165-012॥
तासु ते पूजिता राज्ञा निषण्णा द्विजसत्तमाः। <br>व्यराजन्त महाराज नक्षत्रपतयो यथा   ॥12-165-013॥
ततो जाम्बूनदाः पात्रीर्वज्राङ्का विमलाः शुभाः। <br>वरान्नपूर्णा विप्रेभ्यः प्रादान्मधुघृताप्लुताः   ॥12-165-014॥
तस्य नित्यं तथाषाढ्यां माघ्यां च बहवो द्विजाः। <br>ईप्सितं भोजनवरं लभन्ते सत्कृतं सदा   ॥12-165-015॥
विशेषतस्तु कार्त्तिक्यां द्विजेभ्यः संप्रयच्छति। <br>शरद्व्यपाये रत्नानि पौर्णमास्यामिति श्रुतिः   ॥12-165-016॥
सुवर्णं रजतं चैव मणीनथ च मौक्तिकम्। <br>वज्रान्महाधनांश्चैव वैडूर्याजिनराङ्कवान्   ॥12-165-017॥
रत्नराशीन्विनिक्षिप्य दक्षिणार्थे स भारत। <br>ततः प्राह द्विजश्रेष्ठान्विरूपाक्षो महायशाः   ॥12-165-018॥
गृह्णीत रत्नान्येतानि यथोत्साहं यथेष्टतः। <br>येषु येषु च भाण्डेषु भुक्तं वो द्विजसत्तमाः। <br>तान्येवादाय गच्छध्वं स्ववेश्मानीति भारत   ॥12-165-019॥
इत्युक्तवचने तस्मिन्राक्षसेन्द्रे महात्मनि। <br>यथेष्टं तानि रत्नानि जगृहुर्ब्राह्मणर्षभाः   ॥12-165-020॥
ततो महार्हैस्ते सर्वे रत्नैरभ्यर्चिताः शुभैः। <br>ब्राह्मणा मृष्टवसनाः सुप्रीताः स्म तदाभवन्   ॥12-165-021॥
ततस्तान्राक्षसेन्द्रश्च द्विजानाह पुनर्वचः। <br>नानादिगागतान्राजन्राक्षसान्प्रतिषिध्य वै   ॥12-165-022॥
अध्यैकदिवसं विप्रा न वोऽस्तीह भयं क्वचित्। <br>राक्षसेभ्यः प्रमोदध्वमिष्टतो यात माचिरम्   ॥12-165-023॥
ततः प्रदुद्रुवुः सर्वे विप्रसंघाः समन्ततः। <br>गौतमोऽपि सुवर्णस्य भारमादाय सत्वरः   ॥12-165-024॥
कृच्छ्रात्समुद्वहन्वीर न्यग्रोधं समुपागमत्। <br>न्यषीदच्च परिश्रान्तः क्लान्तश्च क्षुधितश्च ह   ॥12-165-025॥
ततस्तमभ्यगाद्राजन्राजधर्मा खगोत्तमः। <br>स्वागतेनाभ्यनन्दच्च गौतमं मित्रवत्सलः   ॥12-165-026॥
तस्य पक्षाग्रविक्षेपैः क्लमं व्यपनयत्खगः। <br>पूजां चाप्यकरोद्धीमान्भोजनं चाप्यकल्पयत्   ॥12-165-027॥
स भुक्तवान्सुविश्रान्तो गौतमोऽचिन्तयत्तदा। <br>हाटकस्याभिरूपस्य भारोऽयं सुमहान्मया। <br>गृहीतो लोभमोहाद्वै दूरं च गमनं मम   ॥12-165-028॥
न चास्ति पथि भोक्तव्यं प्राणसंधारणं मम। <br>किं कृत्वा धारयेयं वै प्राणानित्यभ्यचिन्तयत्   ॥12-165-029॥
ततः स पथि भोक्तव्यं प्रेक्षमाणो न किंचन। <br>कृतघ्नः पुरुषव्याघ्र मनसेदमचिन्तयत्   ॥12-165-030॥
अयं बकपतिः पार्श्वे मांसराशिः स्थितो मम। <br>इमं हत्वा गृहीत्वा च यास्येऽहं समभिद्रुतम्   ॥12-165-031॥
