Verse
 युधिष्ठिर उवाच। <br>किं फलं ज्ञानयोगस्य वेदानां नियमस्य च। <br>भूतात्मा वा कथं ज्ञेयस्तन्मे ब्रूहि पितामह   ॥12-194-001॥
 भीष्म उवाच। <br>अत्राप्युदाहरन्तीममितिहासं पुरातनम्। <br>मनोः प्रजापतेर्वादं महर्षेश्च बृहस्पतेः   ॥12-194-002॥
प्रजापतिं श्रेष्ठतमं पृथिव्यां; देवर्षिसंघप्रवरो महर्षिः। <br>बृहस्पतिः प्रश्नमिमं पुराणं; पप्रच्छ शिष्योऽथ गुरुं प्रणम्य   ॥12-194-003॥
यत्कारणं मन्त्रविधिः प्रवृत्तो; ज्ञाने फलं यत्प्रवदन्ति विप्राः। <br>यन्मन्त्रशब्दैरकृतप्रकाशं; तदुच्यतां मे भगवन्यथावत्   ॥12-194-004॥
यदर्थशास्त्रागममन्त्रविद्भि;र्यज्ञैरनेकैर्वरगोप्रदानैः। <br>फलं महद्भिर्यदुपास्यते च; तत्किं कथं वा भविता क्व वा तत्   ॥12-194-005॥
मही महीजाः पवनोऽन्तरिक्षं; जलौकसश्चैव जलं दिवं च। <br>दिवौकसश्चैव यतः प्रसूता;स्तदुच्यतां मे भगवन्पुराणम्   ॥12-194-006॥
ज्ञानं यतः प्रार्थयते नरो वै; ततस्तदर्था भवति प्रवृत्तिः। <br>न चाप्यहं वेद परं पुराणं; मिथ्याप्रवृत्तिं च कथं नु कुर्याम्   ॥12-194-007॥
ऋक्सामसंघांश्च यजूंषि चाहं; छन्दांसि नक्षत्रगतिं निरुक्तम्। <br>अधीत्य च व्याकरणं सकल्पं; शिक्षां च भूतप्रकृतिं न वेद्मि   ॥12-194-008॥
स मे भवाञ्शंसतु सर्वमेत;ज्ज्ञाने फलं कर्मणि वा यदस्ति। <br>यथा च देहाच्च्यवते शरीरी; पुनः शरीरं च यथाभ्युपैति   ॥12-194-009॥
 मनुरुवाच। <br>यद्यत्प्रियं यस्य सुखं तदाहु;स्तदेव दुःखं प्रवदन्त्यनिष्टम्। <br>इष्टं च मे स्यादितरच्च न स्या;देतत्कृते कर्मविधिः प्रवृत्तः। <br>इष्टं त्वनिष्टं च न मां भजेते;त्येतत्कृते ज्ञानविधिः प्रवृत्तः   ॥12-194-010॥
कामात्मकाश्छन्दसि कर्मयोगा; एभिर्विमुक्तः परमश्नुवीत। <br>नानाविधे कर्मपथे सुखार्थी; नरः प्रवृत्तो न परं प्रयाति। <br>परं हि तत्कर्मपथादपेतं; निराशिषं ब्रह्मपरं ह्यवश्यम्   ॥12-194-011॥
प्रजाः सृष्टा मनसा कर्मणा च; द्वावप्येतौ सत्पथौ लोकजुष्टौ। <br>दृष्ट्वा कर्म शाश्वतं चान्तवच्च; मनस्त्यागः कारणं नान्यदस्ति   ॥12-194-012॥
स्वेनात्मना चक्षुरिव प्रणेता; निशात्यये तमसा संवृतात्मा। <br>ज्ञानं तु विज्ञानगुणेन युक्तं; कर्माशुभं पश्यति वर्जनीयम्   ॥12-194-013॥
सर्पान्कुशाग्राणि तथोदपानं; ज्ञात्वा मनुष्याः परिवर्जयन्ति। <br>अज्ञानतस्तत्र पतन्ति मूढा; ज्ञाने फलं पश्य यथा विशिष्टम्   ॥12-194-014॥
कृत्स्नस्तु मन्त्रो विधिवत्प्रयुक्तो; यज्ञा यथोक्तास्त्वथ दक्षिणाश्च। <br>अन्नप्रदानं मनसः समाधिः; पञ्चात्मकं कर्मफलं वदन्ति   ॥12-194-015॥
गुणात्मकं कर्म वदन्ति वेदा;स्तस्मान्मन्त्रा मन्त्रमूलं हि कर्म। <br>विधिर्विधेयं मनसोपपत्तिः; फलस्य भोक्ता तु यथा शरीरी   ॥12-194-016॥
शब्दाश्च रूपाणि रसाश्च पुण्याः; स्पर्शाश्च गन्धाश्च शुभास्तथैव। <br>नरो नसंस्थानगतः प्रभुः स्या;देतत्फलं सिध्यति कर्मलोके   ॥12-194-017॥
यद्यच्छरीरेण करोति कर्म; शरीरयुक्तः समुपाश्नुते तत्। <br>शरीरमेवायतनं सुखस्य; दुःखस्य चाप्यायतनं शरीरम्   ॥12-194-018॥
वाचा तु यत्कर्म करोति किंचि;द्वाचैव सर्वं समुपाश्नुते तत्। <br>मनस्तु यत्कर्म करोति किंचि;न्मनःस्थ एवायमुपाश्नुते तत्   ॥12-194-019॥
यथागुणं कर्मगणं फलार्थी; करोत्ययं कर्मफले निविष्टः। <br>तथा तथायं गुणसंप्रयुक्तः; शुभाशुभं कर्मफलं भुनक्ति   ॥12-194-020॥
मत्स्यो यथा स्रोत इवाभिपाती; तथा कृतं पूर्वमुपैति कर्म। <br>शुभे त्वसौ तुष्यति दुष्कृते तु; न तुष्यते वै परमः शरीरी   ॥12-194-021॥
यतो जगत्सर्वमिदं प्रसूतं; ज्ञात्वात्मवन्तो व्यतियान्ति यत्तत्। <br>यन्मन्त्रशब्दैरकृतप्रकाशं; तदुच्यमानं शृणु मे परं यत्   ॥12-194-022॥
रसैर्वियुक्तं विविधैश्च गन्धै;रशब्दमस्पर्शमरूपवच्च। <br>अग्राह्यमव्यक्तमवर्णमेकं; पञ्चप्रकारं ससृजे प्रजानाम्   ॥12-194-023॥
न स्त्री पुमान्वापि नपुंसकं च; न सन्न चासत्सदसच्च तन्न। <br>पश्यन्ति यद्ब्रह्मविदो मनुष्या;स्तदक्षरं न क्षरतीति विद्धि   ॥12-194-024॥
