Verse
 देवा ऊचुः। <br>असुरस्तारको नाम त्वया दत्तवरः प्रभो। <br>सुरानृषींश्च क्लिश्नाति वधस्तस्य विधीयताम्   ॥13-084-001॥
तस्माद्भयं समुत्पन्नमस्माकं वै पितामह। <br>परित्रायस्व नो देव न ह्यन्या गतिरस्ति नः   ॥13-084-002॥
 ब्रह्मोवाच। <br>समोऽहं सर्वभूतानामधर्मं नेह रोचये। <br>हन्यतां तारकः क्षिप्रं सुरर्षिगणबाधकः   ॥13-084-003॥
वेदा धर्माश्च नोत्सादं गच्छेयुः सुरसत्तमाः। <br>विहितं पूर्वमेवात्र मया वै व्येतु वो ज्वरः   ॥13-084-004॥
 देवा ऊचुः। <br>वरदानाद्भगवतो दैतेयो बलगर्वितः। <br>देवैर्न शक्यते हन्तुं स कथं प्रशमं व्रजेत्   ॥13-084-005॥
स हि नैव स्म देवानां नासुराणां न रक्षसाम्। <br>वध्यः स्यामिति जग्राह वरं त्वत्तः पितामह   ॥13-084-006॥
देवाश्च शप्ता रुद्राण्या प्रजोच्छेदे पुरा कृते। <br>न भविष्यति वोऽपत्यमिति सर्वजगत्पते   ॥13-084-007॥
 ब्रह्मोवाच। <br>हुताशनो न तत्रासीच्छापकाले सुरोत्तमाः। <br>स उत्पादयितापत्यं वधार्थं त्रिदशद्विषाम्   ॥13-084-008॥
तद्वै सर्वानतिक्रम्य देवदानवराक्षसान्। <br>मानुषानथ गन्धर्वान्नागानथ च पक्षिणः   ॥13-084-009॥
अस्त्रेणामोघपातेन शक्त्या तं घातयिष्यति। <br>यतो वो भयमुत्पन्नं ये चान्ये सुरशत्रवः   ॥13-084-010॥
सनातनो हि संकल्पः काम इत्यभिधीयते। <br>रुद्रस्य तेजः प्रस्कन्नमग्नौ निपतितं च तत्   ॥13-084-011॥
तत्तेजोऽग्निर्महद्भूतं द्वितीयमिव पावकम्। <br>वधार्थं देवशत्रूणां गङ्गायां जनयिष्यति   ॥13-084-012॥
स तु नावाप तं शापं नष्टः स हुतभुक्तदा। <br>तस्माद्वो भयहृद्देवाः समुत्पत्स्यति पावकिः   ॥13-084-013॥
अन्विष्यतां वै ज्वलनस्तथा चाद्य नियुज्यताम्। <br>तारकस्य वधोपायः कथितो वै मयानघाः   ॥13-084-014॥
न हि तेजस्विनां शापास्तेजःसु प्रभवन्ति वै। <br>बलान्यतिबलं प्राप्य नबलानि भवन्ति वै   ॥13-084-015॥
हन्यादवध्यान्वरदानपि चैव तपस्विनः। <br>संकल्पाभिरुचिः कामः सनातनतमोऽनलः   ॥13-084-016॥
जगत्पतिरनिर्देश्यः सर्वगः सर्वभावनः। <br>हृच्छयः सर्वभूतानां ज्येष्ठो रुद्रादपि प्रभुः   ॥13-084-017॥
अन्विष्यतां स तु क्षिप्रं तेजोराशिर्हुताशनः। <br>स वो मनोगतं कामं देवः संपादयिष्यति   ॥13-084-018॥
एतद्वाक्यमुपश्रुत्य ततो देवा महात्मनः। <br>जग्मुः संसिद्धसंकल्पाः पर्येषन्तो विभावसुम्   ॥13-084-019॥
ततस्त्रैलोक्यमृषयो व्यचिन्वन्त सुरैः सह। <br>काङ्क्षन्तो दर्शनं वह्नेः सर्वे तद्गतमानसाः   ॥13-084-020॥
परेण तपसा युक्ताः श्रीमन्तो लोकविश्रुताः। <br>लोकानन्वचरन्सिद्धाः सर्व एव भृगूद्वह। <br>नष्टमात्मनि संलीनं नाधिजग्मुर्हुताशनम्   ॥13-084-021॥
ततः संजातसंत्रासानग्नेर्दर्शनलालसान्। <br>जलेचरः क्लान्तमनास्तेजसाग्नेः प्रदीपितः। <br>उवाच देवान्मण्डूको रसातलतलोत्थितः   ॥13-084-022॥
रसातलतले देवा वसत्यग्निरिति प्रभो। <br>संतापादिह संप्राप्तः पावकप्रभवादहम्   ॥13-084-023॥
स संसुप्तो जले देवा भगवान्हव्यवाहनः। <br>अपः संसृज्य तेजोभिस्तेन संतापिता वयम्   ॥13-084-024॥
तस्य दर्शनमिष्टं वो यदि देवा विभावसोः। <br>तत्रैनमभिगच्छध्वं कार्यं वो यदि वह्निना   ॥13-084-025॥
गम्यतां साधयिष्यामो वयं ह्यग्निभयात्सुराः। <br>एतावदुक्त्वा मण्डूकस्त्वरितो जलमाविशत्   ॥13-084-026॥
हुताशनस्तु बुबुधे मण्डूकस्याथ पैशुनम्। <br>शशाप स तमासाद्य न रसान्वेत्स्यसीति वै   ॥13-084-027॥
तं स संयुज्य शापेन मण्डूकं पावको ययौ। <br>अन्यत्र वासाय विभुर्न च देवानदर्शयत्   ॥13-084-028॥
देवास्त्वनुग्रहं चक्रुर्मण्डूकानां भृगूद्वह। <br>यत्तच्छृणु महाबाहो गदतो मम सर्वशः   ॥13-084-029॥
 देवा ऊचुः। <br>अग्निशापादजिह्वापि रसज्ञानबहिष्कृताः। <br>सरस्वतीं बहुविधां यूयमुच्चारयिष्यथ   ॥13-084-030॥
बिलवासगतांश्चैव निरादानानचेतसः। <br>गतासूनपि वः शुष्कान्भूमिः संधारयिष्यति। <br>तमोगतायामपि च निशायां विचरिष्यथ   ॥13-084-031॥
इत्युक्त्वा तांस्ततो देवाः पुनरेव महीमिमाम्। <br>परीयुर्ज्वलनस्यार्थे न चाविन्दन्हुताशनम्   ॥13-084-032॥
अथ तान्द्विरदः कश्चित्सुरेन्द्रद्विरदोपमः। <br>अश्वत्थस्थोऽग्निरित्येवं प्राह देवान्भृगूद्वह   ॥13-084-033॥
शशाप ज्वलनः सर्वान्द्विरदान्क्रोधमूर्छितः। <br>प्रतीपा भवतां जिह्वा भवित्रीति भृगूद्वह   ॥13-084-034॥
इत्युक्त्वा निःसृतोऽश्वत्थादग्निर्वारणसूचितः। <br>प्रविवेश शमीगर्भमथ वह्निः सुषुप्सया   ॥13-084-035॥
अनुग्रहं तु नागानां यं चक्रुः शृणु तं प्रभो। <br>देवा भृगुकुलश्रेष्ठ प्रीताः सत्यपराक्रमाः   ॥13-084-036॥
 देवा ऊचुः। <br>प्रतीपया जिह्वयापि सर्वाहारान्करिष्यथ। <br>वाचं चोच्चारयिष्यध्वमुच्चैरव्यञ्जिताक्षरम्। <br>इत्युक्त्वा पुनरेवाग्निमनुसस्रुर्दिवौकसः   ॥13-084-037॥
अश्वत्थान्निःसृतश्चाग्निः शमीगर्भगतस्तदा। <br>शुकेन ख्यापितो विप्र तं देवाः समुपाद्रवन्   ॥13-084-038॥
शशाप शुकमग्निस्तु वाग्विहीनो भविष्यसि। <br>जिह्वां चावर्तयामास तस्यापि हुतभुक्तदा   ॥13-084-039॥
दृष्ट्वा तु ज्वलनं देवाः शुकमूचुर्दयान्विताः। <br>भविता न त्वमत्यन्तं शकुने नष्टवागिति   ॥13-084-040॥
आवृत्तजिह्वस्य सतो वाक्यं कान्तं भविष्यति। <br>बालस्येव प्रवृद्धस्य कलमव्यक्तमद्भुतम्   ॥13-084-041॥
इत्युक्त्वा तं शमीगर्भे वह्निमालक्ष्य देवताः। <br>तदेवायतनं चक्रुः पुण्यं सर्वक्रियास्वपि   ॥13-084-042॥
ततःप्रभृति चाप्यग्निः शमीगर्भेषु दृश्यते। <br>उत्पादने तथोपायमनुजग्मुश्च मानवाः   ॥13-084-043॥
