Verse
 युधिष्ठिर उवाच। <br>ब्राह्मणानर्चसे राजन्सततं संशितव्रतान्। <br>कं तु कर्मोदयं दृष्ट्वा तानर्चसि नराधिप   ॥13-143-001॥
कां वा ब्राह्मणपूजायां व्युष्टिं दृष्ट्वा महाव्रत। <br>तानर्चसि महाबाहो सर्वमेतद्वदस्व मे   ॥13-143-002॥
 भीष्म उवाच। <br>एष ते केशवः सर्वमाख्यास्यति महामतिः। <br>व्युष्टिं ब्राह्मणपूजायां दृष्टव्युष्टिर्महाव्रतः   ॥13-143-003॥
बलं श्रोत्रे वाङ्मनश्चक्षुषी च; ज्ञानं तथा न विशुद्धं ममाद्य। <br>देहन्यासो नातिचिरान्मतो मे; न चातितूर्णं सविताद्य याति   ॥13-143-004॥
उक्ता धर्मा ये पुराणे महान्तो; ब्राह्मणानां क्षत्रियाणां विशां च। <br>पौराणं ये दण्डमुपासते च; शेषं कृष्णादुपशिक्षस्व पार्थ   ॥13-143-005॥
अहं ह्येनं वेद्मि तत्त्वेन कृष्णं; योऽयं हि यच्चास्य बलं पुराणम्। <br>अमेयात्मा केशवः कौरवेन्द्र; सोऽयं धर्मं वक्ष्यति संशयेषु   ॥13-143-006॥
कृष्णः पृथ्वीमसृजत्खं दिवं च; वराहोऽयं भीमबलः पुराणः। <br>अस्य चाधोऽथान्तरिक्षं दिवं च; दिशश्चतस्रः प्रदिशश्चतस्रः। <br>सृष्टिस्तथैवेयमनुप्रसूता; स निर्ममे विश्वमिदं पुराणम्   ॥13-143-007॥
अस्य नाभ्यां पुष्करं संप्रसूतं; यत्रोत्पन्नः स्वयमेवामितौजाः। <br>येनाच्छिन्नं तत्तमः पार्थ घोरं; यत्तत्तिष्ठत्यर्णवं तर्जयानम्   ॥13-143-008॥
कृते युगे धर्म आसीत्समग्र;स्त्रेताकाले ज्ञानमनुप्रपन्नः। <br>बलं त्वासीद्द्वापरे पार्थ कृष्णः; कलावधर्मः क्षितिमाजगाम   ॥13-143-009॥
स पूर्वदेवो निजघान दैत्या;न्स पूर्वदेवश्च बभूव सम्राट्। <br>स भूतानां भावनो भूतभव्यः; स विश्वस्यास्य जगतश्चापि गोप्ता   ॥13-143-010॥
यदा धर्मो ग्लायति वै सुराणां; तदा कृष्णो जायते मानुषेषु। <br>धर्मे स्थित्वा स तु वै भावितात्मा; परांश्च लोकानपरांश्च याति   ॥13-143-011॥
त्याज्यांस्त्यक्त्वाथासुराणां वधाय; कार्याकार्ये कारणं चैव पार्थ। <br>कृतं करिष्यत्क्रियते च देवो; मुहुः सोमं विद्धि च शक्रमेतम्   ॥13-143-012॥
स विश्वकर्मा स च विश्वरूपः; स विश्वभृद्विश्वसृग्विश्वजिच्च। <br>स शूलभृच्छोणितभृत्कराल;स्तं कर्मभिर्विदितं वै स्तुवन्ति   ॥13-143-013॥
तं गन्धर्वा अप्सरसश्च नित्य;मुपतिष्ठन्ते विबुधानां शतानि। <br>तं राक्षसाश्च परिसंवहन्ते; रायस्पोषः स विजिगीषुरेकः   ॥13-143-014॥
तमध्वरे शंसितारः स्तुवन्ति; रथंतरे सामगाश्च स्तुवन्ति। <br>तं ब्राह्मणा ब्रह्ममन्त्रैः स्तुवन्ति; तस्मै हविरध्वर्यवः कल्पयन्ति   ॥13-143-015॥
स पौराणीं ब्रह्मगुहां प्रविष्टो; महीसत्रं भारताग्रे ददर्श। <br>स चैव गामुद्दधाराग्र्यकर्मा; विक्षोभ्य दैत्यानुरगान्दानवांश्च   ॥13-143-016॥
तस्य भक्षान्विविधान्वेदयन्ति; तमेवाजौ वाहनं वेदयन्ति। <br>तस्यान्तरिक्षं पृथिवी दिवं च; सर्वं वशे तिष्ठति शाश्वतस्य   ॥13-143-017॥
स कुम्भरेताः ससृजे पुराणं; यत्रोत्पन्नमृषिमाहुर्वसिष्ठम्। <br>स मातरिश्वा विभुरश्ववाजी; स रश्मिमान्सविता चादिदेवः   ॥13-143-018॥
