Verse
 इन्द्र उवाच। <br>एवमेतद्ब्रह्मबलं गरीयो; न ब्रह्मतः किंचिदन्यद्गरीयः। <br>आविक्षितस्य तु बलं न मृष्ये; वज्रमस्मै प्रहरिष्यामि घोरम्   ॥14-010-001॥
धृतराष्ट्र प्रहितो गच्छ मरुत्तं; संवर्तेन सहितं तं वदस्व। <br>बृहस्पतिं त्वमुपशिक्षस्व राज;न्वज्रं वा ते प्रहरिष्यामि घोरम्   ॥14-010-002॥
 व्यास उवाच। <br>ततो गत्वा धृतराष्ट्रो नरेन्द्रं; प्रोवाचेदं वचनं वासवस्य। <br>गन्धर्वं मां धृतराष्ट्रं निबोध; त्वामागतं वक्तुकामं नरेन्द्र   ॥14-010-003॥
ऐन्द्रं वाक्यं शृणु मे राजसिंह; यत्प्राह लोकाधिपतिर्महात्मा। <br>बृहस्पतिं याजकं त्वं वृणीष्व; वज्रं वा ते प्रहरिष्यामि घोरम्। <br>वचश्चेदेतन्न करिष्यसे मे; प्राहैतदेतावदचिन्त्यकर्मा   ॥14-010-004॥
 मरुत्त उवाच। <br>त्वं चैवैतद्वेत्थ पुरंदरश्च; विश्वेदेवा वसवश्चाश्विनौ च। <br>मित्रद्रोहे निष्कृतिर्वै यथैव; नास्तीति लोकेषु सदैव वादः   ॥14-010-005॥
बृहस्पतिर्याजयिता महेन्द्रं; देवश्रेष्ठं वज्रभृतां वरिष्ठम्। <br>संवर्तो मां याजयिताद्य राज;न्न ते वाक्यं तस्य वा रोचयामि   ॥14-010-006॥
 गन्धर्व उवाच। <br>घोरो नादः श्रूयते वासवस्य; नभस्तले गर्जतो राजसिंह। <br>व्यक्तं वज्रं मोक्ष्यते ते महेन्द्रः; क्षेमं राजंश्चिन्त्यतामेष कालः   ॥14-010-007॥
 व्यास उवाच। <br>इत्येवमुक्तो धृतराष्ट्रेण राजा; श्रुत्वा नादं नदतो वासवस्य। <br>तपोनित्यं धर्मविदां वरिष्ठं; संवर्तं तं ज्ञापयामास कार्यम्   ॥14-010-008॥
 मरुत्त उवाच। <br>इममश्मानं प्लवमानमारा;दध्वा दूरं तेन न दृश्यतेऽद्य। <br>प्रपद्येऽहं शर्म विप्रेन्द्र त्वत्तः; प्रयच्छ तस्मादभयं विप्रमुख्य   ॥14-010-009॥
अयमायाति वै वज्री दिशो विद्योतयन्दश। <br>अमानुषेण घोरेण सदस्यास्त्रासिता हि नः   ॥14-010-010॥
 संवर्त उवाच। <br>भयं शक्राद्व्येतु ते राजसिंह; प्रणोत्स्येऽहं भयमेतत्सुघोरम्। <br>संस्तम्भिन्या विद्यया क्षिप्रमेव; मा भैस्त्वमस्माद्भव चापि प्रतीतः   ॥14-010-011॥
अहं संस्तम्भयिष्यामि मा भैस्त्वं शक्रतो नृप। <br>सर्वेषामेव देवानां क्षपितान्यायुधानि मे   ॥14-010-012॥
दिशो वज्रं व्रजतां वायुरेतु; वर्षं भूत्वा निपततु काननेषु। <br>आपः प्लवन्त्वन्तरिक्षे वृथा च; सौदामिनी दृश्यतां मा बिभस्त्वम्   ॥14-010-013॥
अथो वह्निस्त्रातु वा सर्वतस्ते; कामं वर्षं वर्षतु वासवो वा। <br>वज्रं तथा स्थापयतां च वायु;र्महाघोरं प्लवमानं जलौघैः   ॥14-010-014॥
 मरुत्त उवाच। <br>घोरः शब्दः श्रूयते वै महास्वनो; वज्रस्यैष सहितो मारुतेन। <br>आत्मा हि मे प्रव्यथते मुहुर्मुहु;र्न मे स्वास्थ्यं जायते चाद्य विप्र   ॥14-010-015॥
 संवर्त उवाच। <br>वज्रादुग्राद्व्येतु भयं तवाद्य; वातो भूत्वा हन्मि नरेन्द्र वज्रम्। <br>भयं त्यक्त्वा वरमन्यं वृणीष्व; कं ते कामं तपसा साधयामि   ॥14-010-016॥
 मरुत्त उवाच। <br>इन्द्रः साक्षात्सहसाभ्येतु विप्र; हविर्यज्ञे प्रतिगृह्णातु चैव। <br>स्वं स्वं धिष्ण्यं चैव जुषन्तु देवाः; सुतं सोमं प्रतिगृह्णन्तु चैव   ॥14-010-017॥
 संवर्त उवाच। <br>अयमिन्द्रो हरिभिरायाति राज;न्देवैः सर्वैः सहितः सोमपीथी। <br>मन्त्राहूतो यज्ञमिमं मयाद्य; पश्यस्वैनं मन्त्रविस्रस्तकायम्   ॥14-010-018॥
 व्यास उवाच। <br>ततो देवैः सहितो देवराजो; रथे युक्त्वा तान्हरीन्वाजिमुख्यान्। <br>आयाद्यज्ञमधि राज्ञः पिपासु;राविक्षितस्याप्रमेयस्य सोमम्   ॥14-010-019॥
तमायान्तं सहितं देवसंघैः; प्रत्युद्ययौ सपुरोधा मरुत्तः। <br>चक्रे पूजां देवराजाय चाग्र्यां; यथाशास्त्रं विधिवत्प्रीयमाणः   ॥14-010-020॥
