Verse
 ब्रह्मोवाच। <br>अहंकारात्प्रसूतानि महाभूतानि पञ्च वै। <br>पृथिवी वायुराकाशमापो ज्योतिश्च पञ्चमम्   ॥14-042-001॥
तेषु भूतानि मुह्यन्ते महाभूतेषु पञ्चसु। <br>शब्दस्पर्शनरूपेषु रसगन्धक्रियासु च   ॥14-042-002॥
महाभूतविनाशान्ते प्रलये प्रत्युपस्थिते। <br>सर्वप्राणभृतां धीरा महदुत्पद्यते भयम्   ॥14-042-003॥
यद्यस्माज्जायते भूतं तत्र तत्प्रविलीयते। <br>लीयन्ते प्रतिलोमानि जायन्ते चोत्तरोत्तरम्   ॥14-042-004॥
ततः प्रलीने सर्वस्मिन्भूते स्थावरजङ्गमे। <br>स्मृतिमन्तस्तदा धीरा न लीयन्ते कदाचन   ॥14-042-005॥
शब्दः स्पर्शस्तथा रूपं रसो गन्धश्च पञ्चमः। <br>क्रियाकारणयुक्ताः स्युरनित्या मोहसंज्ञिताः   ॥14-042-006॥
लोभप्रजनसंयुक्ता निर्विशेषा ह्यकिंचनाः। <br>मांसशोणितसंघाता अन्योन्यस्योपजीविनः   ॥14-042-007॥
बहिरात्मान इत्येते दीनाः कृपणवृत्तयः। <br>प्राणापानावुदानश्च समानो व्यान एव च   ॥14-042-008॥
अन्तरात्मेति चाप्येते नियताः पञ्च वायवः। <br>वाङ्मनोबुद्धिरित्येभिः सार्धमष्टात्मकं जगत्   ॥14-042-009॥
त्वग्घ्राणश्रोत्रचक्षूंषि रसनं वाक्च संयता। <br>विशुद्धं च मनो यस्य बुद्धिश्चाव्यभिचारिणी   ॥14-042-010॥
अष्टौ यस्याग्नयो ह्येते न दहन्ते मनः सदा। <br>स तद्ब्रह्म शुभं याति यस्माद्भूयो न विद्यते   ॥14-042-011॥
एकादश च यान्याहुरिन्द्रियाणि विशेषतः। <br>अहंकारप्रसूतानि तानि वक्ष्याम्यहं द्विजाः   ॥14-042-012॥
श्रोत्रं त्वक्चक्षुषी जिह्वा नासिका चैव पञ्चमी। <br>पादौ पायुरुपस्थं च हस्तौ वाग्दशमी भवेत्   ॥14-042-013॥
इन्द्रियग्राम इत्येष मन एकादशं भवेत्। <br>एतं ग्रामं जयेत्पूर्वं ततो ब्रह्म प्रकाशते   ॥14-042-014॥
बुद्धीन्द्रियाणि पञ्चाहुः पञ्च कर्मेन्द्रियाणि च। <br>श्रोत्रादीन्यपि पञ्चाहुर्बुद्धियुक्तानि तत्त्वतः   ॥14-042-015॥
अविशेषाणि चान्यानि कर्मयुक्तानि तानि तु। <br>उभयत्र मनो ज्ञेयं बुद्धिर्द्वादशमी भवेत्   ॥14-042-016॥
इत्युक्तानीन्द्रियाणीमान्येकादश मया क्रमात्। <br>मन्यन्ते कृतमित्येव विदित्वैतानि पण्डिताः   ॥14-042-017॥
त्रीणि स्थानानि भूतानां चतुर्थं नोपपद्यते। <br>स्थलमापस्तथाकाशं जन्म चापि चतुर्विधम्   ॥14-042-018॥
अण्डजोद्भिज्जसंस्वेदजरायुजमथापि च। <br>चतुर्धा जन्म इत्येतद्भूतग्रामस्य लक्ष्यते   ॥14-042-019॥
अचराण्यपि भूतानि खेचराणि तथैव च। <br>अण्डजानि विजानीयात्सर्वांश्चैव सरीसृपान्   ॥14-042-020॥
संस्वेदाः कृमयः प्रोक्ता जन्तवश्च तथाविधाः। <br>जन्म द्वितीयमित्येतज्जघन्यतरमुच्यते   ॥14-042-021॥
भित्त्वा तु पृथिवीं यानि जायन्ते कालपर्ययात्। <br>उद्भिज्जानीति तान्याहुर्भूतानि द्विजसत्तमाः   ॥14-042-022॥
द्विपादबहुपादानि तिर्यग्गतिमतीनि च। <br>जरायुजानि भूतानि वित्त तान्यपि सत्तमाः   ॥14-042-023॥
द्विविधापीह विज्ञेया ब्रह्मयोनिः सनातना। <br>तपः कर्म च यत्पुण्यमित्येष विदुषां नयः   ॥14-042-024॥
द्विविधं कर्म विज्ञेयमिज्या दानं च यन्मखे। <br>जातस्याध्ययनं पुण्यमिति वृद्धानुशासनम्   ॥14-042-025॥
एतद्यो वेद विधिवत्स मुक्तः स्याद्द्विजर्षभाः। <br>विमुक्तः सर्वपापेभ्य इति चैव निबोधत   ॥14-042-026॥
आकाशं प्रथमं भूतं श्रोत्रमध्यात्ममुच्यते। <br>अधिभूतं तथा शब्दो दिशस्तत्राधिदैवतम्   ॥14-042-027॥
द्वितीयं मारुतो भूतं त्वगध्यात्मं च विश्रुतम्। <br>स्प्रष्टव्यमधिभूतं च विद्युत्तत्राधिदैवतम्   ॥14-042-028॥
तृतीयं ज्योतिरित्याहुश्चक्षुरध्यात्ममुच्यते। <br>अधिभूतं ततो रूपं सूर्यस्तत्राधिदैवतम्   ॥14-042-029॥
चतुर्थमापो विज्ञेयं जिह्वा चाध्यात्ममिष्यते। <br>अधिभूतं रसश्चात्र सोमस्तत्राधिदैवतम्   ॥14-042-030॥
पृथिवी पञ्चमं भूतं घ्राणश्चाध्यात्ममिष्यते। <br>अधिभूतं तथा गन्धो वायुस्तत्राधिदैवतम्   ॥14-042-031॥
एष पञ्चसु भूतेषु चतुष्टयविधिः स्मृतः। <br>अतः परं प्रवक्ष्यामि सर्वं त्रिविधमिन्द्रियम्   ॥14-042-032॥
पादावध्यात्ममित्याहुर्ब्राह्मणास्तत्त्वदर्शिनः। <br>अधिभूतं तु गन्तव्यं विष्णुस्तत्राधिदैवतम्   ॥14-042-033॥
अवाग्गतिरपानश्च पायुरध्यात्ममिष्यते। <br>अधिभूतं विसर्गश्च मित्रस्तत्राधिदैवतम्   ॥14-042-034॥
प्रजनः सर्वभूतानामुपस्थोऽध्यात्ममुच्यते। <br>अधिभूतं तथा शुक्रं दैवतं च प्रजापतिः   ॥14-042-035॥
हस्तावध्यात्ममित्याहुरध्यात्मविदुषो जनाः। <br>अधिभूतं तु कर्माणि शक्रस्तत्राधिदैवतम्   ॥14-042-036॥
वैश्वदेवी मनःपूर्वा वागध्यात्ममिहोच्यते। <br>वक्तव्यमधिभूतं च वह्निस्तत्राधिदैवतम्   ॥14-042-037॥
अध्यात्मं मन इत्याहुः पञ्चभूतानुचारकम्। <br>अधिभूतं च मन्तव्यं चन्द्रमाश्चाधिदैवतम्   ॥14-042-038॥
अध्यात्मं बुद्धिरित्याहुः षडिन्द्रियविचारिणी। <br>अधिभूतं तु विज्ञेयं ब्रह्मा तत्राधिदैवतम्   ॥14-042-039॥
यथावदध्यात्मविधिरेष वः कीर्तितो मया। <br>ज्ञानमस्य हि धर्मज्ञाः प्राप्तं बुद्धिमतामिह   ॥14-042-040॥
इन्द्रियाणीन्द्रियार्थाश्च महाभूतानि पञ्च च। <br>सर्वाण्येतानि संधाय मनसा संप्रधारयेत्   ॥14-042-041॥
क्षीणे मनसि सर्वस्मिन्न जन्मसुखमिष्यते। <br>ज्ञानसंपन्नसत्त्वानां तत्सुखं विदुषां मतम्   ॥14-042-042॥
अतः परं प्रवक्ष्यामि सूक्ष्मभावकरीं शिवाम्। <br>निवृत्तिं सर्वभूतेषु मृदुना दारुणेन वा   ॥14-042-043॥
गुणागुणमनासङ्गमेकचर्यमनन्तरम्। <br>एतद्ब्राह्मणतो वृत्तमाहुरेकपदं सुखम्   ॥14-042-044॥
