Verse
 वैशंपायन उवाच। <br>ततो भागीरथीतीरे मेध्ये पुण्यजनोचिते। <br>निवासमकरोद्राजा विदुरस्य मते स्थितः   ॥15-025-001॥
तत्रैनं पर्युपातिष्ठन्ब्राह्मणा राष्ट्रवासिनः। <br>क्षत्रविट्शूद्रसंघाश्च बहवो भरतर्षभ   ॥15-025-002॥
स तैः परिवृतो राजा कथाभिरभिनन्द्य तान्। <br>अनुजज्ञे सशिष्यान्वै विधिवत्प्रतिपूज्य च   ॥15-025-003॥
सायाह्ने स महीपालस्ततो गङ्गामुपेत्य ह। <br>चकार विधिवच्छौचं गान्धारी च यशस्विनी   ॥15-025-004॥
तथैवान्ये पृथक्सर्वे तीर्थेष्वाप्लुत्य भारत। <br>चक्रुः सर्वाः क्रियास्तत्र पुरुषा विदुरादयः   ॥15-025-005॥
कृतशौचं ततो वृद्धं श्वशुरं कुन्तिभोजजा। <br>गान्धारीं च पृथा राजन्गङ्गातीरमुपानयत्   ॥15-025-006॥
राज्ञस्तु याजकैस्तत्र कृतो वेदीपरिस्तरः। <br>जुहाव तत्र वह्निं स नृपतिः सत्यसंगरः   ॥15-025-007॥
ततो भागीरथीतीरात्कुरुक्षेत्रं जगाम सः। <br>सानुगो नृपतिर्विद्वान्नियतः संयतेन्द्रियः   ॥15-025-008॥
तत्राश्रमपदं धीमानभिगम्य स पार्थिवः। <br>आससादाथ राजर्षिः शतयूपं मनीषिणम्   ॥15-025-009॥
स हि राजा महानासीत्केकयेषु परंतपः। <br>स पुत्रं मनुजैश्वर्ये निवेश्य वनमाविशत्   ॥15-025-010॥
तेनासौ सहितो राजा ययौ व्यासाश्रमं तदा। <br>तत्रैनं विधिवद्राजन्प्रत्यगृह्णात्कुरूद्वहम्   ॥15-025-011॥
स दीक्षां तत्र संप्राप्य राजा कौरवनन्दनः। <br>शतयूपाश्रमे तस्मिन्निवासमकरोत्तदा   ॥15-025-012॥
तस्मै सर्वं विधिं राजन्राजाचख्यौ महामतिः। <br>आरण्यकं महाराज व्यासस्यानुमते तदा   ॥15-025-013॥
एवं स तपसा राजा धृतराष्ट्रो महामनाः। <br>योजयामास चात्मानं तांश्चाप्यनुचरांस्तदा   ॥15-025-014॥
तथैव देवी गान्धारी वल्कलाजिनवासिनी। <br>कुन्त्या सह महाराज समानव्रतचारिणी   ॥15-025-015॥
कर्मणा मनसा वाचा चक्षुषा चापि ते नृप। <br>संनियम्येन्द्रियग्राममास्थिताः परमं तपः   ॥15-025-016॥
त्वगस्थिभूतः परिशुष्कमांसो; जटाजिनी वल्कलसंवृताङ्गः। <br>स पार्थिवस्तत्र तपश्चचार; महर्षिवत्तीव्रमपेतदोषः   ॥15-025-017॥
क्षत्ता च धर्मार्थविदग्र्यबुद्धिः; ससंजयस्तं नृपतिं सदारम्। <br>उपाचरद्घोरतपो जितात्मा; तदा कृशो वल्कलचीरवासाः   ॥15-025-018॥
