Verse
 वैशंपायन उवाच। <br>अदृष्ट्वा तु नृपः पुत्रान्दर्शनं प्रतिलब्धवान्। <br>ऋषिप्रसादात्पुत्राणां स्वरूपाणां कुरूद्वह   ॥15-043-001॥
स राजा राजधर्मांश्च ब्रह्मोपनिषदं तथा। <br>अवाप्तवान्नरश्रेष्ठो बुद्धिनिश्चयमेव च   ॥15-043-002॥
विदुरश्च महाप्राज्ञो ययौ सिद्धिं तपोबलात्। <br>धृतराष्ट्रः समासाद्य व्यासं चापि तपस्विनम्   ॥15-043-003॥
 जनमेजय उवाच। <br>ममापि वरदो व्यासो दर्शयेत्पितरं यदि। <br>तद्रूपवेषवयसं श्रद्दध्यां सर्वमेव ते   ॥15-043-004॥
प्रियं मे स्यात्कृतार्थश्च स्यामहं कृतनिश्चयः। <br>प्रसादादृषिपुत्रस्य मम कामः समृध्यताम्   ॥15-043-005॥
 सूत उवाच। <br>इत्युक्तवचने तस्मिन्नृपे व्यासः प्रतापवान्। <br>प्रसादमकरोद्धीमानानयच्च परिक्षितम्   ॥15-043-006॥
ततस्तद्रूपवयसमागतं नृपतिं दिवः। <br>श्रीमन्तं पितरं राजा ददर्श जनमेजयः   ॥15-043-007॥
शमीकं च महात्मानं पुत्रं तं चास्य शृङ्गिणम्। <br>अमात्या ये बभूवुश्च राज्ञस्तांश्च ददर्श ह   ॥15-043-008॥
ततः सोऽवभृथे राजा मुदितो जनमेजयः। <br>पितरं स्नापयामास स्वयं सस्नौ च पार्थिवः   ॥15-043-009॥
स्नात्वा च भरतश्रेष्ठः सोऽऽस्तीकमिदमब्रवीत्। <br>यायावरकुलोत्पन्नं जरत्कारुसुतं तदा   ॥15-043-010॥
आस्तीक विविधाश्चर्यो यज्ञोऽयमिति मे मतिः। <br>यदद्यायं पिता प्राप्तो मम शोकप्रणाशनः   ॥15-043-011॥
 आस्तीक उवाच। <br>ऋषिर्द्वैपायनो यत्र पुराणस्तपसो निधिः। <br>यज्ञे कुरुकुलश्रेष्ठ तस्य लोकावुभौ जितौ   ॥15-043-012॥
श्रुतं विचित्रमाख्यानं त्वया पाण्डवनन्दन। <br>सर्पाश्च भस्मसान्नीता गताश्च पदवीं पितुः   ॥15-043-013॥
कथंचित्तक्षको मुक्तः सत्यत्वात्तव पार्थिव। <br>ऋषयः पूजिताः सर्वे गतिं दृष्ट्वा महात्मनः   ॥15-043-014॥
प्राप्तः सुविपुलो धर्मः श्रुत्वा पापविनाशनम्। <br>विमुक्तो हृदयग्रन्थिरुदारजनदर्शनात्   ॥15-043-015॥
ये च पक्षधरा धर्मे सद्वृत्तरुचयश्च ये। <br>यान्दृष्ट्वा हीयते पापं तेभ्यः कार्या नमस्क्रियाः   ॥15-043-016॥
 सूत उवाच। <br>एतच्छ्रुत्वा द्विजश्रेष्ठात्स राजा जनमेजयः। <br>पूजयामास तमृषिमनुमान्य पुनः पुनः   ॥15-043-017॥
पप्रच्छ तमृषिं चापि वैशंपायनमच्युतम्। <br>कथावशेषं धर्मज्ञो वनवासस्य सत्तम   ॥15-043-018॥
