Verse
 वैशंपायन उवाच। <br>षट्त्रिंशे त्वथ संप्राप्ते वर्षे कौरवनन्दनः। <br>ददर्श विपरीतानि निमित्तानि युधिष्ठिरः   ॥16-001-001॥
ववुर्वाताः सनिर्घाता रूक्षाः शर्करवर्षिणः। <br>अपसव्यानि शकुना मण्डलानि प्रचक्रिरे   ॥16-001-002॥
प्रत्यगूहुर्महानद्यो दिशो नीहारसंवृताः। <br>उल्काश्चाङ्गारवर्षिण्यः प्रपेतुर्गगनाद्भुवि   ॥16-001-003॥
आदित्यो रजसा राजन्समवच्छन्नमण्डलः। <br>विरश्मिरुदये नित्यं कबन्धैः समदृश्यत   ॥16-001-004॥
परिवेषाश्च दृश्यन्ते दारुणाः चन्द्रसूर्ययोः। <br>त्रिवर्णाः श्यामरूक्षान्तास्तथा भस्मारुणप्रभाः   ॥16-001-005॥
एते चान्ये च बहव उत्पाता भयशंसिनः। <br>दृश्यन्तेऽहरहो राजन्हृदयोद्वेगकारकाः   ॥16-001-006॥
कस्यचित्त्वथ कालस्य कुरुराजो युधिष्ठिरः। <br>शुश्राव वृष्णिचक्रस्य मौसले कदनं कृतम्   ॥16-001-007॥
विमुक्तं वासुदेवं च श्रुत्वा रामं च पाण्डवः। <br>समानीयाब्रवीद्भ्रातॄन्किं करिष्याम इत्युत   ॥16-001-008॥
परस्परं समासाद्य ब्रह्मदण्डबलात्कृतान्। <br>वृष्णीन्विनष्टांस्ते श्रुत्वा व्यथिताः पाण्डवाभवन्   ॥16-001-009॥
निधनं वासुदेवस्य समुद्रस्येव शोषणम्। <br>वीरा न श्रद्दधुस्तस्य विनाशं शार्ङ्गधन्वनः   ॥16-001-010॥
मौसलं ते परिश्रुत्य दुःखशोकसमन्विताः। <br>विषण्णा हतसंकल्पाः पाण्डवाः समुपाविशन्   ॥16-001-011॥
