Verse
 वैशंपायन उवाच। <br>ततो ययुर्दारुकः केशवश्च; बभ्रुश्च रामस्य पदं पतन्तः। <br>अथापश्यन्राममनन्तवीर्यं; वृक्षे स्थितं चिन्तयानं विविक्ते   ॥16-005-001॥
ततः समासाद्य महानुभावः; कृष्णस्तदा दारुकमन्वशासत्। <br>गत्वा कुरूञ्शीघ्रमिमं महान्तं; पार्थाय शंसस्व वधं यदूनाम्   ॥16-005-002॥
ततोऽर्जुनः क्षिप्रमिहोपयातु; श्रुत्वा मृतान्यादवान्ब्रह्मशापात्। <br>इत्येवमुक्तः स ययौ रथेन; कुरूंस्तदा दारुको नष्टचेताः   ॥16-005-003॥
ततो गते दारुके केशवोऽथ; दृष्ट्वान्तिके बभ्रुमुवाच वाक्यम्। <br>स्त्रियो भवान्रक्षतु यातु शीघ्रं; नैता हिंस्युर्दस्यवो वित्तलोभात्   ॥16-005-004॥
स प्रस्थितः केशवेनानुशिष्टो; मदातुरो ज्ञातिवधार्दितश्च। <br>तं वै यान्तं संनिधौ केशवस्य; त्वरन्तमेकं सहसैव बभ्रुम्। <br>ब्रह्मानुशप्तमवधीन्महद्वै; कूटोन्मुक्तं मुसलं लुब्धकस्य   ॥16-005-005॥
ततो दृष्ट्वा निहतं बभ्रुमाह; कृष्णो वाक्यं भ्रातरमग्रजं तु। <br>इहैव त्वं मां प्रतीक्षस्व राम; यावत्स्त्रियो ज्ञातिवशाः करोमि   ॥16-005-006॥
ततः पुरीं द्वारवतीं प्रविश्य; जनार्दनः पितरं प्राह वाक्यम्। <br>स्त्रियो भवान्रक्षतु नः समग्रा; धनंजयस्यागमनं प्रतीक्षन्। <br>रामो वनान्ते प्रतिपालयन्मा;मास्तेऽद्याहं तेन समागमिष्ये   ॥16-005-007॥
दृष्टं मयेदं निधनं यदूनां; राज्ञां च पूर्वं कुरुपुंगवानाम्। <br>नाहं विना यदुभिर्यादवानां; पुरीमिमां द्रष्टुमिहाद्य शक्तः   ॥16-005-008॥
तपश्चरिष्यामि निबोध तन्मे; रामेण सार्धं वनमभ्युपेत्य। <br>इतीदमुक्त्वा शिरसास्य पादौ; संस्पृश्य कृष्णस्त्वरितो जगाम   ॥16-005-009॥
ततो महान्निनदः प्रादुरासी;त्सस्त्रीकुमारस्य पुरस्य तस्य। <br>अथाब्रवीत्केशवः संनिवर्त्य; शब्दं श्रुत्वा योषितां क्रोशतीनाम्   ॥16-005-010॥
पुरीमिमामेष्यति सव्यसाची; स वो दुःखान्मोचयिता नराग्र्यः। <br>ततो गत्वा केशवस्तं ददर्श; रामं वने स्थितमेकं विविक्ते   ॥16-005-011॥
अथापश्यद्योगयुक्तस्य तस्य; नागं मुखान्निःसरन्तं महान्तम्। <br>श्वेतं ययौ स ततः प्रेक्ष्यमाणो; महार्णवो येन महानुभावः   ॥16-005-012॥
सहस्रशीर्षः पर्वताभोगवर्ष्मा; रक्ताननः स्वां तनुं तां विमुच्य। <br>सम्यक्च तं सागरः प्रत्यगृह्णा;न्नागा दिव्याः सरितश्चैव पुण्याः   ॥16-005-013॥
कर्कोटको वासुकिस्तक्षकश्च; पृथुश्रवा वरुणः कुञ्जरश्च। <br>मिश्री शङ्खः कुमुदः पुण्डरीक;स्तथा नागो धृतराष्ट्रो महात्मा   ॥16-005-014॥
ह्रादः क्राथः शितिकण्ठोऽग्रतेजा;स्तथा नागौ चक्रमन्दातिषण्डौ। <br>नागश्रेष्ठो दुर्मुखश्चाम्बरीषः; स्वयं राजा वरुणश्चापि राजन्। <br>प्रत्युद्गम्य स्वागतेनाभ्यनन्दं;स्तेऽपूजयंश्चार्घ्यपाद्यक्रियाभिः   ॥16-005-015॥
ततो गते भ्रातरि वासुदेवो; जानन्सर्वा गतयो दिव्यदृष्टिः। <br>वने शून्ये विचरंश्चिन्तयानो; भूमौ ततः संविवेशाग्र्यतेजाः   ॥16-005-016॥
सर्वं हि तेन प्राक्तदा वित्तमासी;द्गान्धार्या यद्वाक्यमुक्तः स पूर्वम्। <br>दुर्वाससा पायसोच्छिष्टलिप्ते; यच्चाप्युक्तं तच्च सस्मार कृष्णः   ॥16-005-017॥
स चिन्तयानोऽन्धकवृष्णिनाशं; कुरुक्षयं चैव महानुभावः। <br>मेने ततः संक्रमणस्य कालं; ततश्चकारेन्द्रियसंनिरोधम्   ॥16-005-018॥
स संनिरुद्धेन्द्रियवाङ्मनास्तु; शिश्ये महायोगमुपेत्य कृष्णः। <br>जराथ तं देशमुपाजगाम; लुब्धस्तदानीं मृगलिप्सुरुग्रः   ॥16-005-019॥
स केशवं योगयुक्तं शयानं; मृगाशङ्की लुब्धकः सायकेन। <br>जराविध्यत्पादतले त्वरावां;स्तं चाभितस्तज्जिघृक्षुर्जगाम। <br>अथापश्यत्पुरुषं योगयुक्तं; पीताम्बरं लुब्धकोऽनेकबाहुम्   ॥16-005-020॥
मत्वात्मानमपराद्धं स तस्य; जग्राह पादौ शिरसा चार्तरूपः। <br>आश्वासयत्तं महात्मा तदानीं; गच्छन्नूर्ध्वं रोदसी व्याप्य लक्ष्म्या   ॥16-005-021॥
दिवं प्राप्तं वासवोऽथाश्विनौ च; रुद्रादित्या वसवश्चाथ विश्वे। <br>प्रत्युद्ययुर्मुनयश्चापि सिद्धा; गन्धर्वमुख्याश्च सहाप्सरोभिः   ॥16-005-022॥
ततो राजन्भगवानुग्रतेजा; नारायणः प्रभवश्चाव्ययश्च। <br>योगाचार्यो रोदसी व्याप्य लक्ष्म्या; स्थानं प्राप स्वं महात्माप्रमेयम्   ॥16-005-023॥
ततो देवैरृषिभिश्चापि कृष्णः; समागतश्चारणैश्चैव राजन्। <br>गन्धर्वाग्र्यैरप्सरोभिर्वराभिः; सिद्धैः साध्यैश्चानतैः पूज्यमानः   ॥16-005-024॥
