Verse
 वैशंपायन उवाच। <br>ततः संनादयञ्शक्रो दिवं भूमिं च सर्वशः। <br>रथेनोपययौ पार्थमारोहेत्यब्रवीच्च तम्   ॥17-003-001॥
स भ्रातॄन्पतितान्दृष्ट्वा धर्मराजो युधिष्ठिरः। <br>अब्रवीच्छोकसंतप्तः सहस्राक्षमिदं वचः   ॥17-003-002॥
भ्रातरः पतिता मेऽत्र आगच्छेयुर्मया सह। <br>न विना भ्रातृभिः स्वर्गमिच्छे गन्तुं सुरेश्वर   ॥17-003-003॥
सुकुमारी सुखार्हा च राजपुत्री पुरंदर। <br>सास्माभिः सह गच्छेत तद्भवाननुमन्यताम्   ॥17-003-004॥
 इन्द्र उवाच। <br>भ्रातॄन्द्रक्ष्यसि पुत्रांस्त्वमग्रतस्त्रिदिवं गतान्। <br>कृष्णया सहितान्सर्वान्मा शुचो भरतर्षभ   ॥17-003-005॥
निक्षिप्य मानुषं देहं गतास्ते भरतर्षभ। <br>अनेन त्वं शरीरेण स्वर्गं गन्ता न संशयः   ॥17-003-006॥
 युधिष्ठिर उवाच। <br>अयं श्वा भूतभव्येश भक्तो मां नित्यमेव ह। <br>स गच्छेत मया सार्धमानृशंस्या हि मे मतिः   ॥17-003-007॥
 इन्द्र उवाच। <br>अमर्त्यत्वं मत्समत्वं च राज;ञ्श्रियं कृत्स्नां महतीं चैव कीर्तिम्। <br>संप्राप्तोऽद्य स्वर्गसुखानि च त्वं; त्यज श्वानं नात्र नृशंसमस्ति   ॥17-003-008॥
 युधिष्ठिर उवाच। <br>अनार्यमार्येण सहस्रनेत्र; शक्यं कर्तुं दुष्करमेतदार्य। <br>मा मे श्रिया संगमनं तयास्तु; यस्याः कृते भक्तजनं त्यजेयम्   ॥17-003-009॥
 इन्द्र उवाच। <br>स्वर्गे लोके श्ववतां नास्ति धिष्ण्य;मिष्टापूर्तं क्रोधवशा हरन्ति। <br>ततो विचार्य क्रियतां धर्मराज; त्यज श्वानं नात्र नृशंसमस्ति   ॥17-003-010॥
 युधिष्ठिर उवाच। <br>भक्तत्यागं प्राहुरत्यन्तपापं; तुल्यं लोके ब्रह्मवध्याकृतेन। <br>तस्मान्नाहं जातु कथंचनाद्य; त्यक्ष्याम्येनं स्वसुखार्थी महेन्द्र   ॥17-003-011॥
 इन्द्र उवाच। <br>शुना दृष्टं क्रोधवशा हरन्ति; यद्दत्तमिष्टं विवृतमथो हुतं च। <br>तस्माच्छुनस्त्यागमिमं कुरुष्व; शुनस्त्यागात्प्राप्स्यसे देवलोकम्   ॥17-003-012॥
त्यक्त्वा भ्रातॄन्दयितां चापि कृष्णां; प्राप्तो लोकः कर्मणा स्वेन वीर। <br>श्वानं चैनं न त्यजसे कथं नु; त्यागं कृत्स्नं चास्थितो मुह्यसेऽद्य   ॥17-003-013॥
 युधिष्ठिर उवाच। <br>न विद्यते संधिरथापि विग्रहो; मृतैर्मर्त्यैरिति लोकेषु निष्ठा। <br>न ते मया जीवयितुं हि शक्या; तस्मात्त्यागस्तेषु कृतो न जीवताम्   ॥17-003-014॥
प्रतिप्रदानं शरणागतस्य; स्त्रिया वधो ब्राह्मणस्वापहारः। <br>मित्रद्रोहस्तानि चत्वारि शक्र; भक्तत्यागश्चैव समो मतो मे   ॥17-003-015॥
 वैशंपायन उवाच। <br>तद्धर्मराजस्य वचो निशम्य; धर्मस्वरूपी भगवानुवाच। <br>युधिष्ठिरं प्रीतियुक्तो नरेन्द्रं; श्लक्ष्णैर्वाक्यैः संस्तवसंप्रयुक्तैः   ॥17-003-016॥
अभिजातोऽसि राजेन्द्र पितुर्वृत्तेन मेधया। <br>अनुक्रोशेन चानेन सर्वभूतेषु भारत   ॥17-003-017॥
पुरा द्वैतवने चासि मया पुत्र परीक्षितः। <br>पानीयार्थे पराक्रान्ता यत्र ते भ्रातरो हताः   ॥17-003-018॥
