Verse
 युधिष्ठिर उवाच। <br>नेह पश्यामि विबुधा राधेयममितौजसम्। <br>भ्रातरौ च महात्मानौ युधामन्यूत्तमौजसौ   ॥18-002-001॥
जुहुवुर्ये शरीराणि रणवह्नौ महारथाः। <br>राजानो राजपुत्राश्च ये मदर्थे हता रणे   ॥18-002-002॥
क्व ते महारथाः सर्वे शार्दूलसमविक्रमाः। <br>तैरप्ययं जितो लोकः कच्चित्पुरुषसत्तमैः   ॥18-002-003॥
यदि लोकानिमान्प्राप्तास्ते च सर्वे महारथाः। <br>स्थितं वित्त हि मां देवाः सहितं तैर्महात्मभिः   ॥18-002-004॥
कच्चिन्न तैरवाप्तोऽयं नृपैर्लोकोऽक्षयः शुभः। <br>न तैरहं विना वत्स्ये ज्ञातिभिर्भ्रातृभिस्तथा   ॥18-002-005॥
मातुर्हि वचनं श्रुत्वा तदा सलिलकर्मणि। <br>कर्णस्य क्रियतां तोयमिति तप्यामि तेन वै   ॥18-002-006॥
इदं च परितप्यामि पुनः पुनरहं सुराः। <br>यन्मातुः सदृशौ पादौ तस्याहममितौजसः   ॥18-002-007॥
दृष्ट्वैव तं नानुगतः कर्णं परबलार्दनम्। <br>न ह्यस्मान्कर्णसहिताञ्जयेच्छक्रोऽपि संयुगे   ॥18-002-008॥
तमहं यत्रतत्रस्थं द्रष्टुमिच्छामि सूर्यजम्। <br>अविज्ञातो मया योऽसौ घातितः सव्यसाचिना   ॥18-002-009॥
भीमं च भीमविक्रान्तं प्राणेभ्योऽपि प्रियं मम। <br>अर्जुनं चेन्द्रसंकाशं यमौ तौ च यमोपमौ   ॥18-002-010॥
द्रष्टुमिच्छामि तां चाहं पाञ्चालीं धर्मचारिणीम्। <br>न चेह स्थातुमिच्छामि सत्यमेतद्ब्रवीमि वः   ॥18-002-011॥
किं मे भ्रातृविहीनस्य स्वर्गेण सुरसत्तमाः। <br>यत्र ते स मम स्वर्गो नायं स्वर्गो मतो मम   ॥18-002-012॥
 देवा ऊचुः। <br>यदि वै तत्र ते श्रद्धा गम्यतां पुत्र माचिरम्। <br>प्रिये हि तव वर्तामो देवराजस्य शासनात्   ॥18-002-013॥
 वैशंपायन उवाच। <br>इत्युक्त्वा तं ततो देवा देवदूतमुपादिशन्। <br>युधिष्ठिरस्य सुहृदो दर्शयेति परंतप   ॥18-002-014॥
ततः कुन्तीसुतो राजा देवदूतश्च जग्मतुः। <br>सहितौ राजशार्दूल यत्र ते पुरुषर्षभाः   ॥18-002-015॥
अग्रतो देवदूतस्तु ययौ राजा च पृष्ठतः। <br>पन्थानमशुभं दुर्गं सेवितं पापकर्मभिः   ॥18-002-016॥
तमसा संवृतं घोरं केशशैवलशाद्वलम्। <br>युक्तं पापकृतां गन्धैर्मांसशोणितकर्दमम्   ॥18-002-017॥
दंशोत्थानं सझिल्लीकं मक्षिकामशकावृतम्। <br>इतश्चेतश्च कुणपैः समन्तात्परिवारितम्   ॥18-002-018॥
अस्थिकेशसमाकीर्णं कृमिकीटसमाकुलम्। <br>ज्वलनेन प्रदीप्तेन समन्तात्परिवेष्टितम्   ॥18-002-019॥
अयोमुखैश्च काकोलैर्गृध्रैश्च समभिद्रुतम्। <br>सूचीमुखैस्तथा प्रेतैर्विन्ध्यशैलोपमैर्वृतम्   ॥18-002-020॥
मेदोरुधिरयुक्तैश्च छिन्नबाहूरुपाणिभिः। <br>निकृत्तोदरपादैश्च तत्र तत्र प्रवेरितैः   ॥18-002-021॥
स तत्कुणपदुर्गन्धमशिवं रोमहर्षणम्। <br>जगाम राजा धर्मात्मा मध्ये बहु विचिन्तयन्   ॥18-002-022॥
ददर्शोष्णोदकैः पूर्णां नदीं चापि सुदुर्गमाम्। <br>असिपत्रवनं चैव निशितक्षुरसंवृतम्   ॥18-002-023॥
करम्भवालुकास्तप्ता आयसीश्च शिलाः पृथक्। <br>लोहकुम्भीश्च तैलस्य क्वाथ्यमानाः समन्ततः   ॥18-002-024॥
कूटशाल्मलिकं चापि दुस्पर्शं तीक्ष्णकण्टकम्। <br>ददर्श चापि कौन्तेयो यातनाः पापकर्मिणाम्   ॥18-002-025॥
स तं दुर्गन्धमालक्ष्य देवदूतमुवाच ह। <br>कियदध्वानमस्माभिर्गन्तव्यमिदमीदृशम्   ॥18-002-026॥
क्व च ते भ्रातरो मह्यं तन्ममाख्यातुमर्हसि। <br>देशोऽयं कश्च देवानामेतदिच्छामि वेदितुम्   ॥18-002-027॥
स संनिववृते श्रुत्वा धर्मराजस्य भाषितम्। <br>देवदूतोऽब्रवीच्चैनमेतावद्गमनं तव   ॥18-002-028॥
निवर्तितव्यं हि मया तथास्म्युक्तो दिवौकसैः। <br>यदि श्रान्तोऽसि राजेन्द्र त्वमथागन्तुमर्हसि   ॥18-002-029॥
युधिष्ठिरस्तु निर्विण्णस्तेन गन्धेन मूर्छितः। <br>निवर्तने धृतमनाः पर्यावर्तत भारत   ॥18-002-030॥
स संनिवृत्तो धर्मात्मा दुःखशोकसमन्वितः। <br>शुश्राव तत्र वदतां दीना वाचः समन्ततः   ॥18-002-031॥
भो भो धर्मज राजर्षे पुण्याभिजन पाण्डव। <br>अनुग्रहार्थमस्माकं तिष्ठ तावन्मुहूर्तकम्   ॥18-002-032॥
आयाति त्वयि दुर्धर्षे वाति पुण्यः समीरणः। <br>तव गन्धानुगस्तात येनास्मान्सुखमागमत्   ॥18-002-033॥
ते वयं पार्थ दीर्घस्य कालस्य पुरुषर्षभ। <br>सुखमासादयिष्यामस्त्वां दृष्ट्वा राजसत्तम   ॥18-002-034॥
संतिष्ठस्व महाबाहो मुहूर्तमपि भारत। <br>त्वयि तिष्ठति कौरव्य यातनास्मान्न बाधते   ॥18-002-035॥
एवं बहुविधा वाचः कृपणा वेदनावताम्। <br>तस्मिन्देशे स शुश्राव समन्ताद्वदतां नृप   ॥18-002-036॥
तेषां तद्वचनं श्रुत्वा दयावान्दीनभाषिणाम्। <br>अहो कृच्छ्रमिति प्राह तस्थौ स च युधिष्ठिरः   ॥18-002-037॥
स ता गिरः पुरस्ताद्वै श्रुतपूर्वाः पुनः पुनः। <br>ग्लानानां दुःखितानां च नाभ्यजानत पाण्डवः   ॥18-002-038॥
अबुध्यमानस्ता वाचो धर्मपुत्रो युधिष्ठिरः। <br>उवाच के भवन्तो वै किमर्थमिह तिष्ठथ   ॥18-002-039॥
इत्युक्तास्ते ततः सर्वे समन्तादवभाषिरे। <br>कर्णोऽहं भीमसेनोऽहमर्जुनोऽहमिति प्रभो   ॥18-002-040॥
नकुलः सहदेवोऽहं धृष्टद्युम्नोऽहमित्युत। <br>द्रौपदी द्रौपदेयाश्च इत्येवं ते विचुक्रुशुः   ॥18-002-041॥
ता वाचः स तदा श्रुत्वा तद्देशसदृशीर्नृप। <br>ततो विममृशे राजा किं न्विदं दैवकारितम्   ॥18-002-042॥
किं नु तत्कलुषं कर्म कृतमेभिर्महात्मभिः। <br>कर्णेन द्रौपदेयैर्वा पाञ्चाल्या वा सुमध्यया   ॥18-002-043॥
