Verse
 वैशंपायन उवाच। <br>ततो युधिष्ठिरो राजा देवैः सर्षिमरुद्गणैः। <br>पूज्यमानो ययौ तत्र यत्र ते कुरुपुंगवाः   ॥18-004-001॥
ददर्श तत्र गोविन्दं ब्राह्मेण वपुषान्वितम्। <br>तेनैव दृष्टपूर्वेण सादृश्येनोपसूचितम्   ॥18-004-002॥
दीप्यमानं स्ववपुषा दिव्यैरस्त्रैरुपस्थितम्। <br>चक्रप्रभृतिभिर्घोरैर्दिव्यैः पुरुषविग्रहैः। <br>उपास्यमानं वीरेण फल्गुनेन सुवर्चसा   ॥18-004-003॥
अपरस्मिन्नथोद्देशे कर्णं शस्त्रभृतां वरम्। <br>द्वादशादित्यसहितं ददर्श कुरुनन्दनः   ॥18-004-004॥
अथापरस्मिन्नुद्देशे मरुद्गणवृतं प्रभुम्। <br>भीमसेनमथापश्यत्तेनैव वपुषान्वितम्   ॥18-004-005॥
अश्विनोस्तु तथा स्थाने दीप्यमानौ स्वतेजसा। <br>नकुलं सहदेवं च ददर्श कुरुनन्दनः   ॥18-004-006॥
तथा ददर्श पाञ्चालीं कमलोत्पलमालिनीम्। <br>वपुषा स्वर्गमाक्रम्य तिष्ठन्तीमर्कवर्चसम्   ॥18-004-007॥
अथैनां सहसा राजा प्रष्टुमैच्छद्युधिष्ठिरः। <br>ततोऽस्य भगवानिन्द्रः कथयामास देवराट्   ॥18-004-008॥
श्रीरेषा द्रौपदीरूपा त्वदर्थे मानुषं गता। <br>अयोनिजा लोककान्ता पुण्यगन्धा युधिष्ठिर   ॥18-004-009॥
द्रुपदस्य कुले जाता भवद्भिश्चोपजीविता। <br>रत्यर्थं भवतां ह्येषा निर्मिता शूलपाणिना   ॥18-004-010॥
एते पञ्च महाभागा गन्धर्वाः पावकप्रभाः। <br>द्रौपद्यास्तनया राजन्युष्माकममितौजसः   ॥18-004-011॥
पश्य गन्धर्वराजानं धृतराष्ट्रं मनीषिणम्। <br>एनं च त्वं विजानीहि भ्रातरं पूर्वजं पितुः   ॥18-004-012॥
अयं ते पूर्वजो भ्राता कौन्तेयः पावकद्युतिः। <br>सूर्यपुत्रोऽग्रजः श्रेष्ठो राधेय इति विश्रुतः। <br>आदित्यसहितो याति पश्यैनं पुरुषर्षभ   ॥18-004-013॥
साध्यानामथ देवानां वसूनां मरुतामपि। <br>गणेषु पश्य राजेन्द्र वृष्ण्यन्धकमहारथान्। <br>सात्यकिप्रमुखान्वीरान्भोजांश्चैव महारथान्   ॥18-004-014॥
सोमेन सहितं पश्य सौभद्रमपराजितम्। <br>अभिमन्युं महेष्वासं निशाकरसमद्युतिम्   ॥18-004-015॥
एष पाण्डुर्महेष्वासः कुन्त्या माद्र्या च संगतः। <br>विमानेन सदाभ्येति पिता तव ममान्तिकम्   ॥18-004-016॥
वसुभिः सहितं पश्य भीष्मं शांतनवं नृपम्। <br>द्रोणं बृहस्पतेः पार्श्वे गुरुमेनं निशामय   ॥18-004-017॥
एते चान्ये महीपाला योधास्तव च पाण्डव। <br>गन्धर्वैः सहिता यान्ति यक्षैः पुण्यजनैस्तथा   ॥18-004-018॥
गुह्यकानां गतिं चापि केचित्प्राप्ता नृसत्तमाः। <br>त्यक्त्वा देहं जितस्वर्गाः पुण्यवाग्बुद्धिकर्मभिः   ॥18-004-019॥
