Verse
 नारद उवाच। <br>पुरा देवयुगे राजन्नादित्यो भगवान्दिवः। <br>आगच्छन्मानुषं लोकं दिदृक्षुर्विगतक्लमः   ॥02-011-001॥
चरन्मानुषरूपेण सभां दृष्ट्वा स्वयंभुवः। <br>सभामकथयन्मह्यं ब्राह्मीं तत्त्वेन पाण्डव   ॥02-011-002॥
अप्रमेयप्रभां दिव्यां मानसीं भरतर्षभ। <br>अनिर्देश्यां प्रभावेन सर्वभूतमनोरमाम्   ॥02-011-003॥
श्रुत्वा गुणानहं तस्याः सभायाः पाण्डुनन्दन। <br>दर्शनेप्सुस्तथा राजन्नादित्यमहमब्रुवम्   ॥02-011-004॥
भगवन्द्रष्टुमिच्छामि पितामहसभामहम्। <br>येन सा तपसा शक्या कर्मणा वापि गोपते   ॥02-011-005॥
औषधैर्वा तथा युक्तैरुत वा मायया यया। <br>तन्ममाचक्ष्व भगवन्पश्येयं तां सभां कथम्   ॥02-011-006॥
ततः स भगवान्सूर्यो मामुपादाय वीर्यवान्। <br>अगच्छत्तां सभां ब्राह्मीं विपापां विगतक्लमाम्   ॥02-011-007॥
एवंरूपेति सा शक्या न निर्देष्टुं जनाधिप। <br>क्षणेन हि बिभर्त्यन्यदनिर्देश्यं वपुस्तथा   ॥02-011-008॥
न वेद परिमाणं वा संस्थानं वापि भारत। <br>न च रूपं मया तादृग्दृष्टपूर्वं कदाचन   ॥02-011-009॥
सुसुखा सा सभा राजन्न शीता न च घर्मदा। <br>न क्षुत्पिपासे न ग्लानिं प्राप्य तां प्राप्नुवन्त्युत   ॥02-011-010॥
नानारूपैरिव कृता सुविचित्रैः सुभास्वरैः। <br>स्तम्भैर्न च धृता सा तु शाश्वती न च सा क्षरा   ॥02-011-011॥
अति चन्द्रं च सूर्यं च शिखिनं च स्वयंप्रभा। <br>दीप्यते नाकपृष्ठस्था भासयन्तीव भास्करम्   ॥02-011-012॥
तस्यां स भगवानास्ते विदधद्देवमायया। <br>स्वयमेकोऽनिशं राजँल्लोकाँल्लोकपितामहः   ॥02-011-013॥
उपतिष्ठन्ति चाप्येनं प्रजानां पतयः प्रभुम्। <br>दक्षः प्रचेताः पुलहो मरीचिः कश्यपस्तथा   ॥02-011-014॥
भृगुरत्रिर्वसिष्ठश्च गौतमश्च तथाङ्गिराः। <br>मनोऽन्तरिक्षं विद्याश्च वायुस्तेजो जलं मही   ॥02-011-015॥
शब्दः स्पर्शस्तथा रूपं रसो गन्धश्च भारत। <br>प्रकृतिश्च विकारश्च यच्चान्यत्कारणं भुवः   ॥02-011-016॥
चन्द्रमाः सह नक्षत्रैरादित्यश्च गभस्तिमान्। <br>वायवः क्रतवश्चैव संकल्पः प्राण एव च   ॥02-011-017॥
एते चान्ये च बहवः स्वयंभुवमुपस्थिताः। <br>अर्थो धर्मश्च कामश्च हर्षो द्वेषस्तपो दमः   ॥02-011-018॥
आयान्ति तस्यां सहिता गन्धर्वाप्सरसस्तथा। <br>विंशतिः सप्त चैवान्ये लोकपालाश्च सर्वशः   ॥02-011-019॥
शुक्रो बृहस्पतिश्चैव बुधोऽङ्गारक एव च। <br>शनैश्चरश्च राहुश्च ग्रहाः सर्वे तथैव च   ॥02-011-020॥
मन्त्रो रथंतरश्चैव हरिमान्वसुमानपि। <br>आदित्याः साधिराजानो नानाद्वंद्वैरुदाहृताः   ॥02-011-021॥
मरुतो विश्वकर्मा च वसवश्चैव भारत। <br>तथा पितृगणाः सर्वे सर्वाणि च हवींष्यथ   ॥02-011-022॥
ऋग्वेदः सामवेदश्च यजुर्वेदश्च पाण्डव। <br>अथर्ववेदश्च तथा पर्वाणि च विशां पते   ॥02-011-023॥
इतिहासोपवेदाश्च वेदाङ्गानि च सर्वशः। <br>ग्रहा यज्ञाश्च सोमश्च दैवतानि च सर्वशः   ॥02-011-024॥
सावित्री दुर्गतरणी वाणी सप्तविधा तथा। <br>मेधा धृतिः श्रुतिश्चैव प्रज्ञा बुद्धिर्यशः क्षमा   ॥02-011-025॥
सामानि स्तुतिशस्त्राणि गाथाश्च विविधास्तथा। <br>भाष्याणि तर्कयुक्तानि देहवन्ति विशां पते   ॥02-011-026॥
क्षणा लवा मुहूर्ताश्च दिवा रात्रिस्तथैव च। <br>अर्धमासाश्च मासाश्च ऋतवः षट्च भारत   ॥02-011-027॥
संवत्सराः पञ्चयुगमहोरात्राश्चतुर्विधाः। <br>कालचक्रं च यद्दिव्यं नित्यमक्षयमव्ययम्   ॥02-011-028॥
अदितिर्दितिर्दनुश्चैव सुरसा विनता इरा। <br>कालका सुरभिर्देवी सरमा चाथ गौतमी   ॥02-011-029॥
आदित्या वसवो रुद्रा मरुतश्चाश्विनावपि। <br>विश्वेदेवाश्च साध्याश्च पितरश्च मनोजवाः   ॥02-011-030॥
राक्षसाश्च पिशाचाश्च दानवा गुह्यकास्तथा। <br>सुपर्णनागपशवः पितामहमुपासते   ॥02-011-031॥
देवो नारायणस्तस्यां तथा देवर्षयश्च ये। <br>ऋषयो वालखिल्याश्च योनिजायोनिजास्तथा   ॥02-011-032॥
यच्च किंचित्त्रिलोकेऽस्मिन्दृश्यते स्थाणुजङ्गमम्। <br>सर्वं तस्यां मया दृष्टं तद्विद्धि मनुजाधिप   ॥02-011-033॥
अष्टाशीतिसहस्राणि यतीनामूर्ध्वरेतसाम्। <br>प्रजावतां च पञ्चाशदृषीणामपि पाण्डव   ॥02-011-034॥
