Verse
 वैशंपायन उवाच। <br>ऋषेस्तद्वचनं श्रुत्वा निशश्वास युधिष्ठिरः। <br>चिन्तयन्राजसूयाप्तिं न लेभे शर्म भारत   ॥02-012-001॥
राजर्षीणां हि तं श्रुत्वा महिमानं महात्मनाम्। <br>यज्वनां कर्मभिः पुण्यैर्लोकप्राप्तिं समीक्ष्य च   ॥02-012-002॥
हरिश्चन्द्रं च राजर्षिं रोचमानं विशेषतः। <br>यज्वानं यज्ञमाहर्तुं राजसूयमियेष सः   ॥02-012-003॥
युधिष्ठिरस्ततः सर्वानर्चयित्वा सभासदः। <br>प्रत्यर्चितश्च तैः सर्वैर्यज्ञायैव मनो दधे   ॥02-012-004॥
स राजसूयं राजेन्द्र कुरूणामृषभः क्रतुम्। <br>आहर्तुं प्रवणं चक्रे मनः संचिन्त्य सोऽसकृत्   ॥02-012-005॥
भूयश्चाद्भुतवीर्यौजा धर्ममेवानुपालयन्। <br>किं हितं सर्वलोकानां भवेदिति मनो दधे   ॥02-012-006॥
अनुगृह्णन्प्रजाः सर्वाः सर्वधर्मविदां वरः। <br>अविशेषेण सर्वेषां हितं चक्रे युधिष्ठिरः   ॥02-012-007॥
एवं गते ततस्तस्मिन्पितरीवाश्वसञ्जनाः। <br>न तस्य विद्यते द्वेष्टा ततोऽस्याजातशत्रुता   ॥02-012-008॥
स मन्त्रिणः समानाय्य भ्रातॄंश्च वदतां वरः। <br>राजसूयं प्रति तदा पुनः पुनरपृच्छत   ॥02-012-009॥
ते पृच्छ्यमानाः सहिता वचोऽर्थ्यं मन्त्रिणस्तदा। <br>युधिष्ठिरं महाप्राज्ञं यियक्षुमिदमब्रुवन्   ॥02-012-010॥
येनाभिषिक्तो नृपतिर्वारुणं गुणमृच्छति। <br>तेन राजापि सन्कृत्स्नं सम्राड्गुणमभीप्सति   ॥02-012-011॥
तस्य सम्राड्गुणार्हस्य भवतः कुरुनन्दन। <br>राजसूयस्य समयं मन्यन्ते सुहृदस्तव   ॥02-012-012॥
तस्य यज्ञस्य समयः स्वाधीनः क्षत्रसंपदा। <br>साम्ना षडग्नयो यस्मिंश्चीयन्ते संशितव्रतैः   ॥02-012-013॥
दर्वीहोमानुपादाय सर्वान्यः प्राप्नुते क्रतून्। <br>अभिषेकं च यज्ञान्ते सर्वजित्तेन चोच्यते   ॥02-012-014॥
समर्थोऽसि महाबाहो सर्वे ते वशगा वयम्। <br>अविचार्य महाराज राजसूये मनः कुरु   ॥02-012-015॥
इत्येवं सुहृदः सर्वे पृथक्च सह चाब्रुवन्। <br>स धर्म्यं पाण्डवस्तेषां वचः श्रुत्वा विशां पते। <br>धृष्टमिष्टं वरिष्ठं च जग्राह मनसारिहा   ॥02-012-016॥
श्रुत्वा सुहृद्वचस्तच्च जानंश्चाप्यात्मनः क्षमम्। <br>पुनः पुनर्मनो दध्रे राजसूयाय भारत   ॥02-012-017॥
स भ्रातृभिः पुनर्धीमानृत्विग्भिश्च महात्मभिः। <br>धौम्यद्वैपायनाद्यैश्च मन्त्रयामास मन्त्रिभिः   ॥02-012-018॥
 युधिष्ठिर उवाच। <br>इयं या राजसूयस्य सम्राडर्हस्य सुक्रतोः। <br>श्रद्दधानस्य वदतः स्पृहा मे सा कथं भवेत्   ॥02-012-019॥
 वैशंपायन उवाच। <br>एवमुक्तास्तु ते तेन राज्ञा राजीवलोचन। <br>इदमूचुर्वचः काले धर्मात्मानं युधिष्ठिरम्। <br>अर्हस्त्वमसि धर्मज्ञ राजसूयं महाक्रतुम्   ॥02-012-020॥
