Verse
 वासुदेव उवाच। <br>पतितौ हंसडिभकौ कंसामात्यौ निपातितौ। <br>जरासंधस्य निधने कालोऽयं समुपागतः   ॥02-018-001॥
न स शक्यो रणे जेतुं सर्वैरपि सुरासुरैः। <br>प्राणयुद्धेन जेतव्यः स इत्युपलभामहे   ॥02-018-002॥
मयि नीतिर्बलं भीमे रक्षिता चावयोर्जुनः। <br>साधयिष्याम तं राजन्वयं त्रय इवाग्नयः   ॥02-018-003॥
त्रिभिरासादितोऽस्माभिर्विजने स नराधिपः। <br>न संदेहो यथा युद्धमेकेनाभ्युपयास्यति   ॥02-018-004॥
अवमानाच्च लोकस्य व्यायतत्वाच्च धर्षितः। <br>भीमसेनेन युद्धाय ध्रुवमभ्युपयास्यति   ॥02-018-005॥
अलं तस्य महाबाहुर्भीमसेनो महाबलः। <br>लोकस्य समुदीर्णस्य निधनायान्तको यथा   ॥02-018-006॥
यदि ते हृदयं वेत्ति यदि ते प्रत्ययो मयि। <br>भीमसेनार्जुनौ शीघ्रं न्यासभूतौ प्रयच्छ मे   ॥02-018-007॥
 वैशंपायन उवाच। <br>एवमुक्तो भगवता प्रत्युवाच युधिष्ठिरः। <br>भीमपार्थौ समालोक्य संप्रहृष्टमुखौ स्थितौ   ॥02-018-008॥
अच्युताच्युत मा मैवं व्याहरामित्रकर्षण। <br>पाण्डवानां भवान्नाथो भवन्तं चाश्रिता वयम्   ॥02-018-009॥
यथा वदसि गोविन्द सर्वं तदुपपद्यते। <br>न हि त्वमग्रतस्तेषां येषां लक्ष्मीः पराङ्मुखी   ॥02-018-010॥
निहतश्च जरासंधो मोक्षिताश्च महीक्षितः। <br>राजसूयश्च मे लब्धो निदेशे तव तिष्ठतः   ॥02-018-011॥
क्षिप्रकारिन्यथा त्वेतत्कार्यं समुपपद्यते। <br>मम कार्यं जगत्कार्यं तथा कुरु नरोत्तम   ॥02-018-012॥
त्रिभिर्भवद्भिर्हि विना नाहं जीवितुमुत्सहे। <br>धर्मकामार्थरहितो रोगार्त इव दुर्गतः   ॥02-018-013॥
न शौरिणा विना पार्थो न शौरिः पाण्डवं विना। <br>नाजेयोऽस्त्यनयोर्लोके कृष्णयोरिति मे मतिः   ॥02-018-014॥
अयं च बलिनां श्रेष्ठः श्रीमानपि वृकोदरः। <br>युवाभ्यां सहितो वीरः किं न कुर्यान्महायशाः   ॥02-018-015॥
सुप्रणीतो बलौघो हि कुरुते कार्यमुत्तमम्। <br>अन्धं जडं बलं प्राहुः प्रणेतव्यं विचक्षणैः   ॥02-018-016॥
यतो हि निम्नं भवति नयन्तीह ततो जलम्। <br>यतश्छिद्रं ततश्चापि नयन्ते धीधना बलम्   ॥02-018-017॥
तस्मान्नयविधानज्ञं पुरुषं लोकविश्रुतम्। <br>वयमाश्रित्य गोविन्दं यतामः कार्यसिद्धये   ॥02-018-018॥
एवं प्रज्ञानयबलं क्रियोपायसमन्वितम्। <br>पुरस्कुर्वीत कार्येषु कृष्ण कार्यार्थसिद्धये   ॥02-018-019॥
एवमेव यदुश्रेष्ठं पार्थः कार्यार्थसिद्धये। <br>अर्जुनः कृष्णमन्वेतु भीमोऽन्वेतु धनंजयम्। <br>नयो जयो बलं चैव विक्रमे सिद्धिमेष्यति   ॥02-018-020॥
एवमुक्तास्ततः सर्वे भ्रातरो विपुलौजसः। <br>वार्ष्णेयः पाण्डवेयौ च प्रतस्थुर्मागधं प्रति   ॥02-018-021॥
वर्चस्विनां ब्राह्मणानां स्नातकानां परिच्छदान्। <br>आच्छाद्य सुहृदां वाक्यैर्मनोज्ञैरभिनन्दिताः   ॥02-018-022॥
अमर्षादभितप्तानां ज्ञात्यर्थं मुख्यवाससाम्। <br>रविसोमाग्निवपुषां भीममासीत्तदा वपुः   ॥02-018-023॥
हतं मेने जरासंधं दृष्ट्वा भीमपुरोगमौ। <br>एककार्यसमुद्युक्तौ कृष्णौ युद्धेऽपराजितौ   ॥02-018-024॥
ईशौ हि तौ महात्मानौ सर्वकार्यप्रवर्तने। <br>धर्मार्थकामकार्याणां कार्याणामिव निग्रहे   ॥02-018-025॥
कुरुभ्यः प्रस्थितास्ते तु मध्येन कुरुजाङ्गलम्। <br>रम्यं पद्मसरो गत्वा कालकूटमतीत्य च   ॥02-018-026॥
गण्डकीयां तथा शोणं सदानीरां तथैव च। <br>एकपर्वतके नद्यः क्रमेणैत्य व्रजन्ति ते   ॥02-018-027॥
संतीर्य सरयूं रम्यां दृष्ट्वा पूर्वांश्च कोसलान्। <br>अतीत्य जग्मुर्मिथिलां मालां चर्मण्वतीं नदीम्   ॥02-018-028॥
उत्तीर्य गङ्गां शोणं च सर्वे ते प्राङ्मुखास्त्रयः। <br>कुरवोरश्छदं जग्मुर्मागधं क्षेत्रमच्युताः   ॥02-018-029॥
ते शश्वद्गोधनाकीर्णमम्बुमन्तं शुभद्रुमम्। <br>गोरथं गिरिमासाद्य ददृशुर्मागधं पुरम्   ॥02-018-030॥
