Verse
 वैशंपायन उवाच। <br>तं विजित्य महाबाहुः कुन्तीपुत्रो धनंजयः। <br>प्रययावुत्तरां तस्माद्दिशं धनदपालिताम्   ॥02-024-001॥
अन्तर्गिरिं च कौन्तेयस्तथैव च बहिर्गिरिम्। <br>तथोपरिगिरिं चैव विजिग्ये पुरुषर्षभः   ॥02-024-002॥
विजित्य पर्वतान्सर्वान्ये च तत्र नराधिपाः। <br>तान्वशे स्थापयित्वा स रत्नान्यादाय सर्वशः   ॥02-024-003॥
तैरेव सहितः सर्वैरनुरज्य च तान्नृपान्। <br>कुलूतवासिनं राजन्बृहन्तमुपजग्मिवान्   ॥02-024-004॥
मृदङ्गवरनादेन रथनेमिस्वनेन च। <br>हस्तिनां च निनादेन कम्पयन्वसुधामिमाम्   ॥02-024-005॥
ततो बृहन्तस्तरुणो बलेन चतुरङ्गिणा। <br>निष्क्रम्य नगरात्तस्माद्योधयामास पाण्डवम्   ॥02-024-006॥
सुमहान्संनिपातोऽभूद्धनंजयबृहन्तयोः। <br>न शशाक बृहन्तस्तु सोढुं पाण्डवविक्रमम्   ॥02-024-007॥
सोऽविषह्यतमं ज्ञात्वा कौन्तेयं पर्वतेश्वरः। <br>उपावर्तत दुर्मेधा रत्नान्यादाय सर्वशः   ॥02-024-008॥
स तद्राज्यमवस्थाप्य कुलूतसहितो ययौ। <br>सेनाबिन्दुमथो राजन्राज्यादाशु समाक्षिपत्   ॥02-024-009॥
मोदापुरं वामदेवं सुदामानं सुसंकुलम्। <br>कुलूतानुत्तरांश्चैव तांश्च राज्ञः समानयत्   ॥02-024-010॥
तत्रस्थः पुरुषैरेव धर्मराजस्य शासनात्। <br>व्यजयद्धनंजयो राजन्देशान्पञ्च प्रमाणतः   ॥02-024-011॥
स दिवःप्रस्थमासाद्य सेनाबिन्दोः पुरं महत्। <br>बलेन चतुरङ्गेण निवेशमकरोत्प्रभुः   ॥02-024-012॥
स तैः परिवृतः सर्वैर्विष्वगश्वं नराधिपम्। <br>अभ्यगच्छन्महातेजाः पौरवं पुरुषर्षभः   ॥02-024-013॥
विजित्य चाहवे शूरान्पार्वतीयान्महारथान्। <br>ध्वजिन्या व्यजयद्राजन्पुरं पौरवरक्षितम्   ॥02-024-014॥
पौरवं तु विनिर्जित्य दस्यून्पर्वतवासिनः। <br>गणानुत्सवसंकेतानजयत्सप्त पाण्डवः   ॥02-024-015॥
ततः काश्मीरकान्वीरान्क्षत्रियान्क्षत्रियर्षभः। <br>व्यजयल्लोहितं चैव मण्डलैर्दशभिः सह   ॥02-024-016॥
ततस्त्रिगर्तान्कौन्तेयो दार्वान्कोकनदाश्च ये। <br>क्षत्रिया बहवो राजन्नुपावर्तन्त सर्वशः   ॥02-024-017॥
अभिसारीं ततो रम्यां विजिग्ये कुरुनन्दनः। <br>उरशावासिनं चैव रोचमानं रणेऽजयत्   ॥02-024-018॥
ततः सिंहपुरं रम्यं चित्रायुधसुरक्षितम्। <br>प्रामथद्बलमास्थाय पाकशासनिराहवे   ॥02-024-019॥
ततः सुह्मांश्च चोलांश्च किरीटी पाण्डवर्षभः। <br>सहितः सर्वसैन्येन प्रामथत्कुरुनन्दनः   ॥02-024-020॥
ततः परमविक्रान्तो बाह्लीकान्कुरुनन्दनः। <br>महता परिमर्देन वशे चक्रे दुरासदान्   ॥02-024-021॥
गृहीत्वा तु बलं सारं फल्गु चोत्सृज्य पाण्डवः। <br>दरदान्सह काम्बोजैरजयत्पाकशासनिः   ॥02-024-022॥
प्रागुत्तरां दिशं ये च वसन्त्याश्रित्य दस्यवः। <br>निवसन्ति वने ये च तान्सर्वानजयत्प्रभुः   ॥02-024-023॥
लोहान्परमकाम्बोजानृषिकानुत्तरानपि। <br>सहितांस्तान्महाराज व्यजयत्पाकशासनिः   ॥02-024-024॥
ऋषिकेषु तु संग्रामो बभूवातिभयंकरः। <br>तारकामयसंकाशः परमर्षिकपार्थयोः   ॥02-024-025॥
स विजित्य ततो राजन्नृषिकान्रणमूर्धनि। <br>शुकोदरसमप्रख्यान्हयानष्टौ समानयत्। <br>मयूरसदृशानन्यानुभयानेव चापरान्   ॥02-024-026॥
स विनिर्जित्य संग्रामे हिमवन्तं सनिष्कुटम्। <br>श्वेतपर्वतमासाद्य न्यवसत्पुरुषर्षभः   ॥02-024-027॥
