Verse
 वैशंपायन उवाच। <br>रक्षणाद्धर्मराजस्य सत्यस्य परिपालनात्। <br>शत्रूणां क्षपणाच्चैव स्वकर्मनिरताः प्रजाः   ॥02-030-001॥
बलीनां सम्यगादानाद्धर्मतश्चानुशासनात्। <br>निकामवर्षी पर्जन्यः स्फीतो जनपदोऽभवत्   ॥02-030-002॥
सर्वारम्भाः सुप्रवृत्ता गोरक्षं कर्षणं वणिक्। <br>विशेषात्सर्वमेवैतत्संजज्ञे राजकर्मणः   ॥02-030-003॥
दस्युभ्यो वञ्चकेभ्यो वा राजन्प्रति परस्परम्। <br>राजवल्लभतश्चैव नाश्रूयन्त मृषा गिरः   ॥02-030-004॥
अवर्षं चातिवर्षं च व्याधिपावकमूर्छनम्। <br>सर्वमेतत्तदा नासीद्धर्मनित्ये युधिष्ठिरे   ॥02-030-005॥
प्रियं कर्तुमुपस्थातुं बलिकर्म स्वभावजम्। <br>अभिहर्तुं नृपा जग्मुर्नान्यैः कार्यैः पृथक्पृथक्   ॥02-030-006॥
धर्म्यैर्धनागमैस्तस्य ववृधे निचयो महान्। <br>कर्तुं यस्य न शक्येत क्षयो वर्षशतैरपि   ॥02-030-007॥
स्वकोशस्य परीमाणं कोष्ठस्य च महीपतिः। <br>विज्ञाय राजा कौन्तेयो यज्ञायैव मनो दधे   ॥02-030-008॥
सुहृदश्चैव तं सर्वे पृथक्च सह चाब्रुवन्। <br>यज्ञकालस्तव विभो क्रियतामत्र सांप्रतम्   ॥02-030-009॥
अथैवं ब्रुवतामेव तेषामभ्याययौ हरिः। <br>ऋषिः पुराणो वेदात्मा दृश्यश्चापि विजानताम्   ॥02-030-010॥
जगतस्तस्थुषां श्रेष्ठः प्रभवश्चाप्ययश्च ह। <br>भूतभव्यभवन्नाथः केशवः केशिसूदनः   ॥02-030-011॥
प्राकारः सर्ववृष्णीनामापत्स्वभयदोऽरिहा। <br>बलाधिकारे निक्षिप्य संहत्यानकदुन्दुभिम्   ॥02-030-012॥
