Verse
 शिशुपाल उवाच। <br>नायमर्हति वार्ष्णेयस्तिष्ठत्स्विह महात्मसु। <br>महीपतिषु कौरव्य राजवत्पार्थिवार्हणम्   ॥02-034-001॥
नायं युक्तः समाचारः पाण्डवेषु महात्मसु। <br>यत्कामात्पुण्डरीकाक्षं पाण्डवार्चितवानसि   ॥02-034-002॥
बाला यूयं न जानीध्वं धर्मः सूक्ष्मो हि पाण्डवाः। <br>अयं तत्राभ्यतिक्रान्त आपगेयोऽल्पदर्शनः   ॥02-034-003॥
त्वादृशो धर्मयुक्तो हि कुर्वाणः प्रियकाम्यया। <br>भवत्यभ्यधिकं भीष्मो लोकेष्ववमतः सताम्   ॥02-034-004॥
कथं ह्यराजा दाशार्हो मध्ये सर्वमहीक्षिताम्। <br>अर्हणामर्हति तथा यथा युष्माभिरर्चितः   ॥02-034-005॥
अथ वा मन्यसे कृष्णं स्थविरं भरतर्षभ। <br>वसुदेवे स्थिते वृद्धे कथमर्हति तत्सुतः   ॥02-034-006॥
अथ वा वासुदेवोऽपि प्रियकामोऽनुवृत्तवान्। <br>द्रुपदे तिष्ठति कथं माधवोऽर्हति पूजनम्   ॥02-034-007॥
आचार्यं मन्यसे कृष्णमथ वा कुरुपुंगव। <br>द्रोणे तिष्ठति वार्ष्णेयं कस्मादर्चितवानसि   ॥02-034-008॥
ऋत्विजं मन्यसे कृष्णमथ वा कुरुनन्दन। <br>द्वैपायने स्थिते विप्रे कथं कृष्णोऽर्चितस्त्वया   ॥02-034-009॥
नैव ऋत्विङ्न चाचार्यो न राजा मधुसूदनः। <br>अर्चितश्च कुरुश्रेष्ठ किमन्यत्प्रियकाम्यया   ॥02-034-010॥
अथ वाप्यर्चनीयोऽयं युष्माकं मधुसूदनः। <br>किं राजभिरिहानीतैरवमानाय भारत   ॥02-034-011॥
वयं तु न भयादस्य कौन्तेयस्य महात्मनः। <br>प्रयच्छामः करान्सर्वे न लोभान्न च सान्त्वनात्   ॥02-034-012॥
अस्य धर्मप्रवृत्तस्य पार्थिवत्वं चिकीर्षतः। <br>करानस्मै प्रयच्छामः सोऽयमस्मान्न मन्यते   ॥02-034-013॥
किमन्यदवमानाद्धि यदिमं राजसंसदि। <br>अप्राप्तलक्षणं कृष्णमर्घ्येणार्चितवानसि   ॥02-034-014॥
अकस्माद्धर्मपुत्रस्य धर्मात्मेति यशो गतम्। <br>को हि धर्मच्युते पूजामेवं युक्तां प्रयोजयेत्। <br>योऽयं वृष्णिकुले जातो राजानं हतवान्पुरा   ॥02-034-015॥
अद्य धर्मात्मता चैव व्यपकृष्टा युधिष्ठिरात्। <br>कृपणत्वं निविष्टं च कृष्णेऽर्घ्यस्य निवेदनात्   ॥02-034-016॥
यदि भीताश्च कौन्तेयाः कृपणाश्च तपस्विनः। <br>ननु त्वयापि बोद्धव्यं यां पूजां माधवोऽर्हति   ॥02-034-017॥
अथ वा कृपणैरेतामुपनीतां जनार्दन। <br>पूजामनर्हः कस्मात्त्वमभ्यनुज्ञातवानसि   ॥02-034-018॥
अयुक्तामात्मनः पूजां त्वं पुनर्बहु मन्यसे। <br>हविषः प्राप्य निष्यन्दं प्राशितुं श्वेव निर्जने   ॥02-034-019॥
न त्वयं पार्थिवेन्द्राणामवमानः प्रयुज्यते। <br>त्वामेव कुरवो व्यक्तं प्रलम्भन्ते जनार्दन   ॥02-034-020॥
क्लीबे दारक्रिया यादृगन्धे वा रूपदर्शनम्। <br>अराज्ञो राजवत्पूजा तथा ते मधुसूदन   ॥02-034-021॥
दृष्टो युधिष्ठिरो राजा दृष्टो भीष्मश्च यादृशः। <br>वासुदेवोऽप्ययं दृष्टः सर्वमेतद्यथातथम्   ॥02-034-022॥
इत्युक्त्वा शिशुपालस्तानुत्थाय परमासनात्। <br>निर्ययौ सदसस्तस्मात्सहितो राजभिस्तदा   ॥02-034-023॥
