Verse
 भीष्म उवाच। <br>चेदिराजकुले जातस्त्र्यक्ष एष चतुर्भुजः। <br>रासभारावसदृशं रुराव च ननाद च   ॥02-040-001॥
तेनास्य मातापितरौ त्रेसतुस्तौ सबान्धवौ। <br>वैकृतं तच्च तौ दृष्ट्वा त्यागाय कुरुतां मतिम्   ॥02-040-002॥
ततः सभार्यं नृपतिं सामात्यं सपुरोहितम्। <br>चिन्तासंमूढहृदयं वागुवाचाशरीरिणी   ॥02-040-003॥
एष ते नृपते पुत्रः श्रीमाञ्जातो महाबलः। <br>तस्मादस्मान्न भेतव्यमव्यग्रः पाहि वै शिशुम्   ॥02-040-004॥
न चैवैतस्य मृत्युस्त्वं न कालः प्रत्युपस्थितः। <br>मृत्युर्हन्तास्य शस्त्रेण स चोत्पन्नो नराधिप   ॥02-040-005॥
संश्रुत्योदाहृतं वाक्यं भूतमन्तर्हितं ततः। <br>पुत्रस्नेहाभिसंतप्ता जननी वाक्यमब्रवीत्   ॥02-040-006॥
येनेदमीरितं वाक्यं ममैव तनयं प्रति। <br>प्राञ्जलिस्तं नमस्यामि ब्रवीतु स पुनर्वचः   ॥02-040-007॥
श्रोतुमिच्छामि पुत्रस्य कोऽस्य मृत्युर्भविष्यति। <br>अन्तर्हितं ततो भूतमुवाचेदं पुनर्वचः   ॥02-040-008॥
येनोत्सङ्गे गृहीतस्य भुजावभ्यधिकावुभौ। <br>पतिष्यतः क्षितितले पञ्चशीर्षाविवोरगौ   ॥02-040-009॥
तृतीयमेतद्बालस्य ललाटस्थं च लोचनम्। <br>निमज्जिष्यति यं दृष्ट्वा सोऽस्य मृत्युर्भविष्यति   ॥02-040-010॥
त्र्यक्षं चतुर्भुजं श्रुत्वा तथा च समुदाहृतम्। <br>धरण्यां पार्थिवाः सर्वे अभ्यगच्छन्दिदृक्षवः   ॥02-040-011॥
तान्पूजयित्वा संप्राप्तान्यथार्हं स महीपतिः। <br>एकैकस्य नृपस्याङ्के पुत्रमारोपयत्तदा   ॥02-040-012॥
एवं राजसहस्राणां पृथक्त्वेन यथाक्रमम्। <br>शिशुरङ्के समारूढो न तत्प्राप निदर्शनम्   ॥02-040-013॥
ततश्चेदिपुरं प्राप्तौ संकर्षणजनार्दनौ। <br>यादवौ यादवीं द्रष्टुं स्वसारं तां पितुस्तदा   ॥02-040-014॥
अभिवाद्य यथान्यायं यथाज्येष्ठं नृपांश्च तान्। <br>कुशलानामयं पृष्ट्वा निषण्णौ रामकेशवौ   ॥02-040-015॥
अभ्यर्चितौ तदा वीरौ प्रीत्या चाभ्यधिकं ततः। <br>पुत्रं दामोदरोत्सङ्गे देवी संन्यदधात्स्वयम्   ॥02-040-016॥
न्यस्तमात्रस्य तस्याङ्के भुजावभ्यधिकावुभौ। <br>पेततुस्तच्च नयनं निममज्ज ललाटजम्   ॥02-040-017॥
तद्दृष्ट्वा व्यथिता त्रस्ता वरं कृष्णमयाचत। <br>ददस्व मे वरं कृष्ण भयार्ताया महाभुज   ॥02-040-018॥
त्वं ह्यार्तानां समाश्वासो भीतानामभयंकरः। <br>पितृष्वसारं मा भैषीरित्युवाच जनार्दनः   ॥02-040-019॥
ददानि कं वरं किं वा करवाणि पितृष्वसः। <br>शक्यं वा यदि वाशक्यं करिष्यामि वचस्तव   ॥02-040-020॥
एवमुक्ता ततः कृष्णमब्रवीद्यदुनन्दनम्। <br>शिशुपालस्यापराधान्क्षमेथास्त्वं महाबल   ॥02-040-021॥
 कृष्ण उवाच। <br>अपराधशतं क्षाम्यं मया ह्यस्य पितृष्वसः। <br>पुत्रस्य ते वधार्हाणां मा त्वं शोके मनः कृथाः   ॥02-040-022॥
 भीष्म उवाच। <br>एवमेष नृपः पापः शिशुपालः सुमन्दधीः। <br>त्वां समाह्वयते वीर गोविन्दवरदर्पितः   ॥02-040-023॥
