Verse
 वैशंपायन उवाच। <br>धिगस्तु क्षत्तारमिति ब्रुवाणो; दर्पेण मत्तो धृतराष्ट्रस्य पुत्रः। <br>अवैक्षत प्रातिकामीं सभाया;मुवाच चैनं परमार्यमध्ये   ॥02-060-001॥
त्वं प्रातिकामिन्द्रौपदीमानयस्व; न ते भयं विद्यते पाण्डवेभ्यः। <br>क्षत्ता ह्ययं विवदत्येव भीरु;र्न चास्माकं वृद्धिकामः सदैव   ॥02-060-002॥
एवमुक्तः प्रातिकामी स सूतः; प्रायाच्छीघ्रं राजवचो निशम्य। <br>प्रविश्य च श्वेव स सिंहगोष्ठं; समासदन्महिषीं पाण्डवानाम्   ॥02-060-003॥
 प्रातिकाम्युवाच। <br>युधिष्ठिरे द्यूतमदेन मत्ते; दुर्योधनो द्रौपदि त्वामजैषीत्। <br>सा प्रपद्य त्वं धृतराष्ट्रस्य वेश्म; नयामि त्वां कर्मणे याज्ञसेनि   ॥02-060-004॥
 द्रौपद्युवाच। <br>कथं त्वेवं वदसि प्रातिकामि;न्को वै दीव्येद्भार्यया राजपुत्रः। <br>मूढो राजा द्यूतमदेन मत्त; आहो नान्यत्कैतवमस्य किंचित्   ॥02-060-005॥
 प्रातिकाम्युवाच। <br>यदा नाभूत्कैतवमन्यदस्य; तदादेवीत्पाण्डवोऽजातशत्रुः। <br>न्यस्ताः पूर्वं भ्रातरस्तेन राज्ञा; स्वयं चात्मा त्वमथो राजपुत्रि   ॥02-060-006॥
 द्रौपद्युवाच। <br>गच्छ त्वं कितवं गत्वा सभायां पृच्छ सूतज। <br>किं नु पूर्वं पराजैषीरात्मानं मां नु भारत। <br>एतज्ज्ञात्वा त्वमागच्छ ततो मां नय सूतज   ॥02-060-007॥
 वैशंपायन उवाच। <br>सभां गत्वा स चोवाच द्रौपद्यास्तद्वचस्तदा। <br>कस्येशो नः पराजैषीरिति त्वामाह द्रौपदी। <br>किं नु पूर्वं पराजैषीरात्मानमथ वापि माम्   ॥02-060-008॥
युधिष्ठिरस्तु निश्चेष्टो गतसत्त्व इवाभवत्। <br>न तं सूतं प्रत्युवाच वचनं साध्वसाधु वा   ॥02-060-009॥
 दुर्योधन उवाच। <br>इहैत्य कृष्णा पाञ्चाली प्रश्नमेतं प्रभाषताम्। <br>इहैव सर्वे शृण्वन्तु तस्या अस्य च यद्वचः   ॥02-060-010॥
 वैशंपायन उवाच। <br>स गत्वा राजभवनं दुर्योधनवशानुगः। <br>उवाच द्रौपदीं सूतः प्रातिकामी व्यथन्निव   ॥02-060-011॥
सभ्यास्त्वमी राजपुत्र्याह्वयन्ति; मन्ये प्राप्तः संक्षयः कौरवाणाम्। <br>न वै समृद्धिं पालयते लघीया;न्यत्त्वं सभामेष्यसि राजपुत्रि   ॥02-060-012॥
 द्रौपद्युवाच। <br>एवं नूनं व्यदधात्संविधाता; स्पर्शावुभौ स्पृशतो धीरबालौ। <br>धर्मं त्वेकं परमं प्राह लोके; स नः शमं धास्यति गोप्यमानः   ॥02-060-013॥
 वैशंपायन उवाच। <br>युधिष्ठिरस्तु तच्छ्रुत्वा दुर्योधनचिकीर्षितम्। <br>द्रौपद्याः संमतं दूतं प्राहिणोद्भरतर्षभ   ॥02-060-014॥
एकवस्त्रा अधोनीवी रोदमाना रजस्वला। <br>सभामागम्य पाञ्चाली श्वशुरस्याग्रतोऽभवत्   ॥02-060-015॥
ततस्तेषां मुखमालोक्य राजा; दुर्योधनः सूतमुवाच हृष्टः। <br>इहैवैतामानय प्रातिकामि;न्प्रत्यक्षमस्याः कुरवो ब्रुवन्तु   ॥02-060-016॥
ततः सूतस्तस्य वशानुगामी; भीतश्च कोपाद्द्रुपदात्मजायाः। <br>विहाय मानं पुनरेव सभ्या;नुवाच कृष्णां किमहं ब्रवीमि   ॥02-060-017॥
 दुर्योधन उवाच। <br>दुःशासनैष मम सूतपुत्रो; वृकोदरादुद्विजतेऽल्पचेताः। <br>स्वयं प्रगृह्यानय याज्ञसेनीं; किं ते करिष्यन्त्यवशाः सपत्नाः   ॥02-060-018॥
ततः समुत्थाय स राजपुत्रः; श्रुत्वा भ्रातुः कोपविरक्तदृष्टिः। <br>प्रविश्य तद्वेश्म महारथाना;मित्यब्रवीद्द्रौपदीं राजपुत्रीम्   ॥02-060-019॥
एह्येहि पाञ्चालि जितासि कृष्णे; दुर्योधनं पश्य विमुक्तलज्जा। <br>कुरून्भजस्वायतपद्मनेत्रे; धर्मेण लब्धासि सभां परैहि   ॥02-060-020॥
ततः समुत्थाय सुदुर्मनाः सा; विवर्णमामृज्य मुखं करेण। <br>आर्ता प्रदुद्राव यतः स्त्रियस्ता; वृद्धस्य राज्ञः कुरुपुंगवस्य   ॥02-060-021॥
ततो जवेनाभिससार रोषा;द्दुःशासनस्तामभिगर्जमानः। <br>दीर्घेषु नीलेष्वथ चोर्मिमत्सु; जग्राह केशेषु नरेन्द्रपत्नीम्   ॥02-060-022॥
ये राजसूयावभृथे जलेन; महाक्रतौ मन्त्रपूतेन सिक्ताः। <br>ते पाण्डवानां परिभूय वीर्यं; बलात्प्रमृष्टा धृतराष्ट्रजेन   ॥02-060-023॥
स तां परामृश्य सभासमीप;मानीय कृष्णामतिकृष्णकेशीम्। <br>दुःशासनो नाथवतीमनाथव;च्चकर्ष वायुः कदलीमिवार्ताम्   ॥02-060-024॥
सा कृष्यमाणा नमिताङ्गयष्टिः; शनैरुवाचाद्य रजस्वलास्मि। <br>एकं च वासो मम मन्दबुद्धे; सभां नेतुं नार्हसि मामनार्य   ॥02-060-025॥
ततोऽब्रवीत्तां प्रसभं निगृह्य; केशेषु कृष्णेषु तदा स कृष्णाम्। <br>कृष्णं च जिष्णुं च हरिं नरं च; त्राणाय विक्रोश नयामि हि त्वाम्   ॥02-060-026॥
रजस्वला वा भव याज्ञसेनि; एकाम्बरा वाप्यथ वा विवस्त्रा। <br>द्यूते जिता चासि कृतासि दासी; दासीषु कामश्च यथोपजोषम्   ॥02-060-027॥
प्रकीर्णकेशी पतितार्धवस्त्रा; दुःशासनेन व्यवधूयमाना। <br>ह्रीमत्यमर्षेण च दह्यमाना; शनैरिदं वाक्यमुवाच कृष्णा   ॥02-060-028॥
इमे सभायामुपदिष्टशास्त्राः; क्रियावन्तः सर्व एवेन्द्रकल्पाः। <br>गुरुस्थाना गुरवश्चैव सर्वे; तेषामग्रे नोत्सहे स्थातुमेवम्   ॥02-060-029॥
नृशंसकर्मंस्त्वमनार्यवृत्त; मा मां विवस्त्रां कृधि मा विकार्षीः। <br>न मर्षयेयुस्तव राजपुत्राः; सेन्द्रापि देवा यदि ते सहायाः   ॥02-060-030॥
धर्मे स्थितो धर्मसुतश्च राजा; धर्मश्च सूक्ष्मो निपुणोपलभ्यः। <br>वाचापि भर्तुः परमाणुमात्रं; नेच्छामि दोषं स्वगुणान्विसृज्य   ॥02-060-031॥
इदं त्वनार्यं कुरुवीरमध्ये; रजस्वलां यत्परिकर्षसे माम्। <br>न चापि कश्चित्कुरुतेऽत्र पूजां; ध्रुवं तवेदं मतमन्वपद्यन्   ॥02-060-032॥
