Verse
 कर्ण उवाच। <br>त्रयः किलेमे अधना भवन्ति; दासः शिष्यश्चास्वतन्त्रा च नारी। <br>दासस्य पत्नी त्वं धनमस्य भद्रे; हीनेश्वरा दासधनं च दासी   ॥02-063-001॥
प्रविश्य सा नः परिचारैर्भजस्व; तत्ते कार्यं शिष्टमावेश्य वेश्म। <br>ईशाः स्म सर्वे तव राजपुत्रि; भवन्ति ते धार्तराष्ट्रा न पार्थाः   ॥02-063-002॥
अन्यं वृणीष्व पतिमाशु भामिनि; यस्माद्दास्यं न लभसे देवनेन। <br>अनवद्या वै पतिषु कामवृत्ति;र्नित्यं दास्ये विदितं वै तवास्तु   ॥02-063-003॥
पराजितो नकुलो भीमसेनो; युधिष्ठिरः सहदेवोऽर्जुनश्च। <br>दासीभूता प्रविश याज्ञसेनि; पराजितास्ते पतयो न सन्ति   ॥02-063-004॥
प्रयोजनं चात्मनि किं नु मन्यते; पराक्रमं पौरुषं चेह पार्थः। <br>पाञ्चाल्यस्य द्रुपदस्यात्मजामिमां; सभामध्ये योऽतिदेवीद्ग्लहेषु   ॥02-063-005॥
 वैशंपायन उवाच। <br>तद्वै श्रुत्वा भीमसेनोऽत्यमर्षी; भृशं निशश्वास तदार्तरूपः। <br>राजानुगो धर्मपाशानुबद्धो; दहन्निवैनं कोपविरक्तदृष्टिः   ॥02-063-006॥
 भीम उवाच। <br>नाहं कुप्ये सूतपुत्रस्य राज;न्नेष सत्यं दासधर्मः प्रविष्टः। <br>किं विद्विषो वाद्य मां धारयेयु;र्नादेवीस्त्वं यद्यनया नरेन्द्र   ॥02-063-007॥
 वैशंपायन उवाच। <br>राधेयस्य वचः श्रुत्वा राजा दुर्योधनस्तदा। <br>युधिष्ठिरमुवाचेदं तूष्णींभूतमचेतसम्   ॥02-063-008॥
भीमार्जुनौ यमौ चैव स्थितौ ते नृप शासने। <br>प्रश्नं प्रब्रूहि कृष्णां त्वमजितां यदि मन्यसे   ॥02-063-009॥
एवमुक्त्वा स कौन्तेयमपोह्य वसनं स्वकम्। <br>स्मयन्निवैक्षत्पाञ्चालीमैश्वर्यमदमोहितः   ॥02-063-010॥
