Verse
 धृतराष्ट्र उवाच। <br>कथं गच्छति कौन्तेयो धर्मराजो युधिष्ठिरः। <br>भीमसेनः सव्यसाची माद्रीपुत्रौ च तावुभौ   ॥02-071-001॥
धौम्यश्चैव कथं क्षत्तर्द्रौपदी वा तपस्विनी। <br>श्रोतुमिच्छाम्यहं सर्वं तेषामङ्गविचेष्टितम्   ॥02-071-002॥
 विदुर उवाच। <br>वस्त्रेण संवृत्य मुखं कुन्तीपुत्रो युधिष्ठिरः। <br>बाहू विशालौ कृत्वा तु भीमो गच्छति पाण्डवः   ॥02-071-003॥
सिकता वपन्सव्यसाची राजानमनुगच्छति। <br>माद्रीपुत्रः सहदेवो मुखमालिप्य गच्छति   ॥02-071-004॥
पांसूपलिप्तसर्वाङ्गो नकुलश्चित्तविह्वलः। <br>दर्शनीयतमो लोके राजानमनुगच्छति   ॥02-071-005॥
कृष्णा केशैः प्रतिच्छाद्य मुखमायतलोचना। <br>दर्शनीया प्ररुदती राजानमनुगच्छति   ॥02-071-006॥
धौम्यो याम्यानि सामानि रौद्राणि च विशां पते। <br>गायन्गच्छति मार्गेषु कुशानादाय पाणिना   ॥02-071-007॥
 धृतराष्ट्र उवाच। <br>विविधानीह रूपाणि कृत्वा गच्छन्ति पाण्डवाः। <br>तन्ममाचक्ष्व विदुर कस्मादेवं व्रजन्ति ते   ॥02-071-008॥
 विदुर उवाच। <br>निकृतस्यापि ते पुत्रैर्हृते राज्ये धनेषु च। <br>न धर्माच्चलते बुद्धिर्धर्मराजस्य धीमतः   ॥02-071-009॥
योऽसौ राजा घृणी नित्यं धार्तराष्ट्रेषु भारत। <br>निकृत्या क्रोधसंतप्तो नोन्मीलयति लोचने   ॥02-071-010॥
नाहं जनं निर्दहेयं दृष्ट्वा घोरेण चक्षुषा। <br>स पिधाय मुखं राजा तस्माद्गच्छति पाण्डवः   ॥02-071-011॥
यथा च भीमो व्रजति तन्मे निगदतः शृणु। <br>बाह्वोर्बले नास्ति समो ममेति भरतर्षभ   ॥02-071-012॥
बाहू विशालौ कृत्वा तु तेन भीमोऽपि गच्छति। <br>बाहू दर्शयमानो हि बाहुद्रविणदर्पितः। <br>चिकीर्षन्कर्म शत्रुभ्यो बाहुद्रव्यानुरूपतः   ॥02-071-013॥
प्रदिशञ्शरसंपातान्कुन्तीपुत्रोऽर्जुनस्तदा। <br>सिकता वपन्सव्यसाची राजानमनुगच्छति   ॥02-071-014॥
असक्ताः सिकतास्तस्य यथा संप्रति भारत। <br>असक्तं शरवर्षाणि तथा मोक्ष्यति शत्रुषु   ॥02-071-015॥
न मे कश्चिद्विजानीयान्मुखमद्येति भारत। <br>मुखमालिप्य तेनासौ सहदेवोऽपि गच्छति   ॥02-071-016॥
नाहं मनांस्याददेयं मार्गे स्त्रीणामिति प्रभो। <br>पांसूपचितसर्वाङ्गो नकुलस्तेन गच्छति   ॥02-071-017॥
एकवस्त्रा तु रुदती मुक्तकेशी रजस्वला। <br>शोणिताक्तार्द्रवसना द्रौपदी वाक्यमब्रवीत्   ॥02-071-018॥
यत्कृतेऽहमिमां प्राप्ता तेषां वर्षे चतुर्दशे। <br>हतपत्यो हतसुता हतबन्धुजनप्रियाः   ॥02-071-019॥
बन्धुशोणितदिग्धाङ्ग्यो मुक्तकेश्यो रजस्वलाः। <br>एवं कृतोदका नार्यः प्रवेक्ष्यन्ति गजाह्वयम्   ॥02-071-020॥
कृत्वा तु नैरृतान्दर्भान्धीरो धौम्यः पुरोहितः। <br>सामानि गायन्याम्यानि पुरतो याति भारत   ॥02-071-021॥
हतेषु भारतेष्वाजौ कुरूणां गुरवस्तदा। <br>एवं सामानि गास्यन्तीत्युक्त्वा धौम्योऽपि गच्छति   ॥02-071-022॥
