Verse
 जनमेजय उवाच। <br>एवं द्यूतजिताः पार्थाः कोपिताश्च दुरात्मभिः। <br>धार्तराष्ट्रैः सहामात्यैर्निकृत्या द्विजसत्तम   ॥03-001-001॥
श्राविताः परुषा वाचः सृजद्भिर्वैरमुत्तमम्। <br>किमकुर्वन्त कौरव्या मम पूर्वपितामहाः   ॥03-001-002॥
कथं चैश्वर्यविभ्रष्टाः सहसा दुःखमेयुषः। <br>वने विजह्रिरे पार्थाः शक्रप्रतिमतेजसः   ॥03-001-003॥
के चैनानन्ववर्तन्त प्राप्तान्व्यसनमुत्तमम्। <br>किमाहाराः किमाचाराः क्व च वासो महात्मनाम्   ॥03-001-004॥
कथं द्वादश वर्षाणि वने तेषां महात्मनाम्। <br>व्यतीयुर्ब्राह्मणश्रेष्ठ शूराणामरिघातिनाम्   ॥03-001-005॥
कथं च राजपुत्री सा प्रवरा सर्वयोषिताम्। <br>पतिव्रता महाभागा सततं सत्यवादिनी। <br>वनवासमदुःखार्हा दारुणं प्रत्यपद्यत   ॥03-001-006॥
एतदाचक्ष्व मे सर्वं विस्तरेण तपोधन। <br>श्रोतुमिच्छामि चरितं भूरिद्रविणतेजसाम्। <br>कथ्यमानं त्वया विप्र परं कौतूहलं हि मे   ॥03-001-007॥
 वैशंपायन उवाच। <br>एवं द्यूतजिताः पार्थाः कोपिताश्च दुरात्मभिः। <br>धार्तराष्ट्रैः सहामात्यैर्निर्ययुर्गजसाह्वयात्   ॥03-001-008॥
वर्धमानपुरद्वारेणाभिनिष्क्रम्य ते तदा। <br>उदङ्मुखाः शस्त्रभृतः प्रययुः सह कृष्णया   ॥03-001-009॥
इन्द्रसेनादयश्चैनान्भृत्याः परिचतुर्दश। <br>रथैरनुययुः शीघ्रैः स्त्रिय आदाय सर्वशः   ॥03-001-010॥
व्रजतस्तान्विदित्वा तु पौराः शोकाभिपीडिताः। <br>गर्हयन्तोऽसकृद्भीष्मविदुरद्रोणगौतमान्। <br>ऊचुर्विगतसंत्रासाः समागम्य परस्परम्   ॥03-001-011॥
नेदमस्ति कुलं सर्वं न वयं न च नो गृहाः। <br>यत्र दुर्योधनः पापः सौबलेयेन पालितः। <br>कर्णदुःशासनाभ्यां च राज्यमेतच्चिकीर्षति   ॥03-001-012॥
नो चेत्कुलं न चाचारो न धर्मोऽर्थः कुतः सुखम्। <br>यत्र पापसहायोऽयं पापो राज्यं बुभूषते   ॥03-001-013॥
दुर्योधनो गुरुद्वेषी त्यक्ताचारसुहृज्जनः। <br>अर्थलुब्धोऽभिमानी च नीचः प्रकृतिनिर्घृणः   ॥03-001-014॥
नेयमस्ति मही कृत्स्ना यत्र दुर्योधनो नृपः। <br>साधु गच्छामहे सर्वे यत्र गच्छन्ति पाण्डवाः   ॥03-001-015॥
सानुक्रोशा महात्मानो विजितेन्द्रियशत्रवः। <br>ह्रीमन्तः कीर्तिमन्तश्च धर्माचारपरायणाः   ॥03-001-016॥
एवमुक्त्वानुजग्मुस्तान्पाण्डवांस्ते समेत्य च। <br>ऊचुः प्राञ्जलयः सर्वे तान्कुन्तीमाद्रिनन्दनान्   ॥03-001-017॥
क्व गमिष्यथ भद्रं वस्त्यक्त्वास्मान्दुःखभागिनः। <br>वयमप्यनुयास्यामो यत्र यूयं गमिष्यथ   ॥03-001-018॥
अधर्मेण जिताञ्श्रुत्वा युष्मांस्त्यक्तघृणैः परैः। <br>उद्विग्नाः स्म भृशं सर्वे नास्मान्हातुमिहार्हथ   ॥03-001-019॥
भक्तानुरक्ताः सुहृदः सदा प्रियहिते रतान्। <br>कुराजाधिष्ठिते राज्ये न विनश्येम सर्वशः   ॥03-001-020॥
श्रूयतां चाभिधास्यामो गुणदोषान्नरर्षभाः। <br>शुभाशुभाधिवासेन संसर्गं कुरुते यथा   ॥03-001-021॥
वस्त्रमापस्तिलान्भूमिं गन्धो वासयते यथा। <br>पुष्पाणामधिवासेन तथा संसर्गजा गुणाः   ॥03-001-022॥
मोहजालस्य योनिर्हि मूढैरेव समागमः। <br>अहन्यहनि धर्मस्य योनिः साधुसमागमः   ॥03-001-023॥
तस्मात्प्राज्ञैश्च वृद्धैश्च सुस्वभावैस्तपस्विभिः। <br>सद्भिश्च सह संसर्गः कार्यः शमपरायणैः   ॥03-001-024॥
येषां त्रीण्यवदातानि योनिर्विद्या च कर्म च। <br>तान्सेवेत्तैः समास्या हि शास्त्रेभ्योऽपि गरीयसी   ॥03-001-025॥
निरारम्भा ह्यपि वयं पुण्यशीलेषु साधुषु। <br>पुण्यमेवाप्नुयामेह पापं पापोपसेवनात्   ॥03-001-026॥
असतां दर्शनात्स्पर्शात्संजल्पनसहासनात्। <br>धर्माचाराः प्रहीयन्ते न च सिध्यन्ति मानवाः   ॥03-001-027॥
बुद्धिश्च हीयते पुंसां नीचैः सह समागमात्। <br>मध्यमैर्मध्यतां याति श्रेष्ठतां याति चोत्तमैः   ॥03-001-028॥
ये गुणाः कीर्तिता लोके धर्मकामार्थसंभवाः। <br>लोकाचारात्मसंभूता वेदोक्ताः शिष्टसंमताः   ॥03-001-029॥
ते युष्मासु समस्ताश्च व्यस्ताश्चैवेह सद्गुणाः। <br>इच्छामो गुणवन्मध्ये वस्तुं श्रेयोऽभिकाङ्क्षिणः   ॥03-001-030॥
 युधिष्ठिर उवाच। <br>धन्या वयं यदस्माकं स्नेहकारुण्ययन्त्रिताः। <br>असतोऽपि गुणानाहुर्ब्राह्मणप्रमुखाः प्रजाः   ॥03-001-031॥
तदहं भ्रातृसहितः सर्वान्विज्ञापयामि वः। <br>नान्यथा तद्धि कर्तव्यमस्मत्स्नेहानुकम्पया   ॥03-001-032॥
भीष्मः पितामहो राजा विदुरो जननी च मे। <br>सुहृज्जनश्च प्रायो मे नगरे नागसाह्वये   ॥03-001-033॥
ते त्वस्मद्धितकामार्थं पालनीयाः प्रयत्नतः। <br>युष्माभिः सहितैः सर्वैः शोकसंतापविह्वलाः   ॥03-001-034॥
निवर्ततागता दूरं समागमनशापिताः। <br>स्वजने न्यासभूते मे कार्या स्नेहान्विता मतिः   ॥03-001-035॥
एतद्धि मम कार्याणां परमं हृदि संस्थितम्। <br>सुकृतानेन मे तुष्टिः सत्कारश्च भविष्यति   ॥03-001-036॥
 वैशंपायन उवाच। <br>तथानुमन्त्रितास्तेन धर्मराजेन ताः प्रजाः। <br>चक्रुरार्तस्वरं घोरं हा राजन्निति दुःखिताः   ॥03-001-037॥
गुणान्पार्थस्य संस्मृत्य दुःखार्ताः परमातुराः। <br>अकामाः संन्यवर्तन्त समागम्याथ पाण्डवान्   ॥03-001-038॥
निवृत्तेषु तु पौरेषु रथानास्थाय पाण्डवाः। <br>प्रजग्मुर्जाह्नवीतीरे प्रमाणाख्यं महावटम्   ॥03-001-039॥
तं ते दिवसशेषेण वटं गत्वा तु पाण्डवाः। <br>ऊषुस्तां रजनीं वीराः संस्पृश्य सलिलं शुचि। <br>उदकेनैव तां रात्रिमूषुस्ते दुःखकर्शिताः   ॥03-001-040॥
अनुजग्मुश्च तत्रैतान्स्नेहात्केचिद्द्विजातयः। <br>साग्नयोऽनग्नयश्चैव सशिष्यगणबान्धवाः। <br>स तैः परिवृतो राजा शुशुभे ब्रह्मवादिभिः   ॥03-001-041॥
तेषां प्रादुष्कृताग्नीनां मुहूर्ते रम्यदारुणे। <br>ब्रह्मघोषपुरस्कारः संजल्पः समजायत   ॥03-001-042॥
