Verse
 वैशंपायन उवाच। <br>वनं प्रविष्टेष्वथ पाण्डवेषु; प्रज्ञाचक्षुस्तप्यमानोऽम्बिकेयः। <br>धर्मात्मानं विदुरमगाधबुद्धिं; सुखासीनो वाक्यमुवाच राजा   ॥03-005-001॥
प्रज्ञा च ते भार्गवस्येव शुद्धा; धर्मं च त्वं परमं वेत्थ सूक्ष्मम्। <br>समश्च त्वं संमतः कौरवाणां; पथ्यं चैषां मम चैव ब्रवीहि   ॥03-005-002॥
एवं गते विदुर यदद्य कार्यं; पौराश्चेमे कथमस्मान्भजेरन्। <br>ते चाप्यस्मान्नोद्धरेयुः समूला;न्न कामये तांश्च विनश्यमानान्   ॥03-005-003॥
 विदुर उवाच। <br>त्रिवर्गोऽयं धर्ममूलो नरेन्द्र; राज्यं चेदं धर्ममूलं वदन्ति। <br>धर्मे राजन्वर्तमानः स्वशक्त्या; पुत्रान्सर्वान्पाहि कुन्तीसुतांश्च   ॥03-005-004॥
स वै धर्मो विप्रलुप्तः सभायां; पापात्मभिः सौबलेयप्रधानैः। <br>आहूय कुन्तीसुतमक्षवत्यां; पराजैषीत्सत्यसंधं सुतस्ते   ॥03-005-005॥
एतस्य ते दुष्प्रणीतस्य राज;ञ्शेषस्याहं परिपश्याम्युपायम्। <br>यथा पुत्रस्तव कौरव्य पापा;न्मुक्तो लोके प्रतितिष्ठेत साधु   ॥03-005-006॥
तद्वै सर्वं पाण्डुपुत्रा लभन्तां; यत्तद्राजन्नतिसृष्टं त्वयासीत्। <br>एष धर्मः परमो यत्स्वकेन; राजा तुष्येन्न परस्वेषु गृध्येत्   ॥03-005-007॥
एतत्कार्यं तव सर्वप्रधानं; तेषां तुष्टिः शकुनेश्चावमानः। <br>एवं शेषं यदि पुत्रेषु ते स्या;देतद्राजंस्त्वरमाणः कुरुष्व   ॥03-005-008॥
अथैतदेवं न करोषि राज;न्ध्रुवं कुरूणां भविता विनाशः। <br>न हि क्रुद्धो भीमसेनोऽर्जुनो वा; शेषं कुर्याच्छात्रवाणामनीके   ॥03-005-009॥
येषां योद्धा सव्यसाची कृतास्त्रो; धनुर्येषां गाण्डिवं लोकसारम्। <br>येषां भीमो बाहुशाली च योद्धा; तेषां लोके किं नु न प्राप्यमस्ति   ॥03-005-010॥
उक्तं पूर्वं जातमात्रे सुते ते; मया यत्ते हितमासीत्तदानीम्। <br>पुत्रं त्यजेममहितं कुलस्ये;त्येतद्राजन्न च तत्त्वं चकर्थ। <br>इदानीं ते हितमुक्तं न चेत्त्वं; कर्तासि राजन्परितप्तासि पश्चात्   ॥03-005-011॥
यद्येतदेवमनुमन्ता सुतस्ते; संप्रीयमाणः पाण्डवैरेकराज्यम्। <br>तापो न ते वै भविता प्रीतियोगा;त्त्वं चेन्न गृह्णासि सुतं सहायैः। <br>अथापरो भवति हि तं निगृह्य; पाण्डोः पुत्रं प्रकुरुष्वाधिपत्ये   ॥03-005-012॥
अजातशत्रुर्हि विमुक्तरागो; धर्मेणेमां पृथिवीं शास्तु राजन्। <br>ततो राजन्पार्थिवाः सर्व एव; वैश्या इवास्मानुपतिष्ठन्तु सद्यः   ॥03-005-013॥
दुर्योधनः शकुनिः सूतपुत्रः; प्रीत्या राजन्पाण्डुपुत्रान्भजन्ताम्। <br>दुःशासनो याचतु भीमसेनं; सभामध्ये द्रुपदस्यात्मजां च   ॥03-005-014॥
युधिष्ठिरं त्वं परिसान्त्वयस्व; राज्ये चैनं स्थापयस्वाभिपूज्य। <br>त्वया पृष्टः किमहमन्यद्वदेय;मेतत्कृत्वा कृतकृत्योऽसि राजन्   ॥03-005-015॥
 धृतराष्ट्र उवाच। <br>एतद्वाक्यं विदुर यत्ते सभाया;मिह प्रोक्तं पाण्डवान्प्राप्य मां च। <br>हितं तेषामहितं मामकाना;मेतत्सर्वं मम नोपैति चेतः   ॥03-005-016॥
इदं त्विदानीं कुत एव निश्चितं; तेषामर्थे पाण्डवानां यदात्थ। <br>तेनाद्य मन्ये नासि हितो ममेति; कथं हि पुत्रं पाण्डवार्थे त्यजेयम्   ॥03-005-017॥
असंशयं तेऽपि ममैव पुत्रा; दुर्योधनस्तु मम देहात्प्रसूतः। <br>स्वं वै देहं परहेतोस्त्यजेति; को नु ब्रूयात्समतामन्ववेक्षन्   ॥03-005-018॥
स मा जिह्मं विदुर सर्वं ब्रवीषि; मानं च तेऽहमधिकं धारयामि। <br>यथेच्छकं गच्छ वा तिष्ठ वा त्वं; सुसान्त्व्यमानाप्यसती स्त्री जहाति   ॥03-005-019॥
 वैशंपायन उवाच। <br>एतावदुक्त्वा धृतराष्ट्रोऽन्वपद्य;दन्तर्वेश्म सहसोत्थाय राजन्। <br>नेदमस्तीत्यथ विदुरो भाषमाणः; संप्राद्रवद्यत्र पार्था बभूवुः   ॥03-005-020॥
