Verse
 धृतराष्ट्र उवाच। <br>किर्मीरस्य वधं क्षत्तः श्रोतुमिच्छामि कथ्यताम्। <br>रक्षसा भीमसेनस्य कथमासीत्समागमः   ॥03-012-001॥
 विदुर उवाच। <br>शृणु भीमस्य कर्मेदमतिमानुषकर्मणः। <br>श्रुतपूर्वं मया तेषां कथान्तेषु पुनः पुनः   ॥03-012-002॥
इतः प्रयाता राजेन्द्र पाण्डवा द्यूतनिर्जिताः। <br>जग्मुस्त्रिभिरहोरात्रैः काम्यकं नाम तद्वनम्   ॥03-012-003॥
रात्रौ निशीथे स्वाभीले गतेऽर्धसमये नृप। <br>प्रचारे पुरुषादानां रक्षसां भीमकर्मणाम्   ॥03-012-004॥
तद्वनं तापसा नित्यं शेषाश्च वनचारिणः। <br>दूरात्परिहरन्ति स्म पुरुषादभयात्किल   ॥03-012-005॥
तेषां प्रविशतां तत्र मार्गमावृत्य भारत। <br>दीप्ताक्षं भीषणं रक्षः सोल्मुकं प्रत्यदृश्यत   ॥03-012-006॥
बाहू महान्तौ कृत्वा तु तथास्यं च भयानकम्। <br>स्थितमावृत्य पन्थानं येन यान्ति कुरूद्वहाः   ॥03-012-007॥
दष्टोष्ठदंष्ट्रं ताम्राक्षं प्रदीप्तोर्ध्वशिरोरुहम्। <br>सार्करश्मितडिच्चक्रं सबलाकमिवाम्बुदम्   ॥03-012-008॥
सृजन्तं राक्षसीं मायां महारावविराविणम्। <br>मुञ्चन्तं विपुलं नादं सतोयमिव तोयदम्   ॥03-012-009॥
तस्य नादेन संत्रस्ताः पक्षिणः सर्वतोदिशम्। <br>विमुक्तनादाः संपेतुः स्थलजा जलजैः सह   ॥03-012-010॥
संप्रद्रुतमृगद्वीपिमहिषर्क्षसमाकुलम्। <br>तद्वनं तस्य नादेन संप्रस्थितमिवाभवत्   ॥03-012-011॥
तस्योरुवाताभिहता ताम्रपल्लवबाहवः। <br>विदूरजाताश्च लताः समाश्लिष्यन्त पादपान्   ॥03-012-012॥
तस्मिन्क्षणेऽथ प्रववौ मारुतो भृशदारुणः। <br>रजसा संवृतं तेन नष्टर्क्षमभवन्नभः   ॥03-012-013॥
पञ्चानां पाण्डुपुत्राणामविज्ञातो महारिपुः। <br>पञ्चानामिन्द्रियाणां तु शोकवेग इवातुलः   ॥03-012-014॥
स दृष्ट्वा पाण्डवान्दूरात्कृष्णाजिनसमावृतान्। <br>आवृणोत्तद्वनद्वारं मैनाक इव पर्वतः   ॥03-012-015॥
तं समासाद्य वित्रस्ता कृष्णा कमललोचना। <br>अदृष्टपूर्वं संत्रासान्न्यमीलयत लोचने   ॥03-012-016॥
दुःशासनकरोत्सृष्टविप्रकीर्णशिरोरुहा। <br>पञ्चपर्वतमध्यस्था नदीवाकुलतां गता   ॥03-012-017॥
मोमुह्यमानां तां तत्र जगृहुः पञ्च पाण्डवाः। <br>इन्द्रियाणि प्रसक्तानि विषयेषु यथा रतिम्   ॥03-012-018॥
अथ तां राक्षसीं मायामुत्थितां घोरदर्शनाम्। <br>रक्षोघ्नैर्विविधैर्मन्त्रैर्धौम्यः सम्यक्प्रयोजितैः। <br>पश्यतां पाण्डुपुत्राणां नाशयामास वीर्यवान्   ॥03-012-019॥
स नष्टमायोऽतिबलः क्रोधविस्फारितेक्षणः। <br>काममूर्तिधरः क्षुद्रः कालकल्पो व्यदृश्यत   ॥03-012-020॥
तमुवाच ततो राजा दीर्घप्रज्ञो युधिष्ठिरः। <br>को भवान्कस्य वा किं ते क्रियतां कार्यमुच्यताम्   ॥03-012-021॥
प्रत्युवाचाथ तद्रक्षो धर्मराजं युधिष्ठिरम्। <br>अहं बकस्य वै भ्राता किर्मीर इति विश्रुतः   ॥03-012-022॥
वनेऽस्मिन्काम्यके शून्ये निवसामि गतज्वरः। <br>युधि निर्जित्य पुरुषानाहारं नित्यमाचरन्   ॥03-012-023॥
के यूयमिह संप्राप्ता भक्ष्यभूता ममान्तिकम्। <br>युधि निर्जित्य वः सर्वान्भक्षयिष्ये गतज्वरः   ॥03-012-024॥
युधिष्ठिरस्तु तच्छ्रुत्वा वचस्तस्य दुरात्मनः। <br>आचचक्षे ततः सर्वं गोत्रनामादि भारत   ॥03-012-025॥
पाण्डवो धर्मराजोऽहं यदि ते श्रोत्रमागतः। <br>सहितो भ्रातृभिः सर्वैर्भीमसेनार्जुनादिभिः   ॥03-012-026॥
हृतराज्यो वने वासं वस्तुं कृतमतिस्ततः। <br>वनमभ्यागतो घोरमिदं तव परिग्रहम्   ॥03-012-027॥
किर्मीरस्त्वब्रवीदेनं दिष्ट्या देवैरिदं मम। <br>उपपादितमद्येह चिरकालान्मनोगतम्   ॥03-012-028॥
भीमसेनवधार्थं हि नित्यमभ्युद्यतायुधः। <br>चरामि पृथिवीं कृत्स्नां नैनमासादयाम्यहम्   ॥03-012-029॥
सोऽयमासादितो दिष्ट्या भ्रातृहा काङ्क्षितश्चिरम्। <br>अनेन हि मम भ्राता बको विनिहतः प्रियः   ॥03-012-030॥
वेत्रकीयगृहे राजन्ब्राह्मणच्छद्मरूपिणा। <br>विद्याबलमुपाश्रित्य न ह्यस्त्यस्यौरसं बलम्   ॥03-012-031॥
हिडिम्बश्च सखा मह्यं दयितो वनगोचरः। <br>हतो दुरात्मनानेन स्वसा चास्य हृता पुरा   ॥03-012-032॥
सोऽयमभ्यागतो मूढो ममेदं गहनं वनम्। <br>प्रचारसमयेऽस्माकमर्धरात्रे समास्थिते   ॥03-012-033॥
अद्यास्य यातयिष्यामि तद्वैरं चिरसंभृतम्। <br>तर्पयिष्यामि च बकं रुधिरेणास्य भूरिणा   ॥03-012-034॥
अद्याहमनृणो भूत्वा भ्रातुः सख्युस्तथैव च। <br>शान्तिं लब्धास्मि परमां हत्व राक्षसकण्टकम्   ॥03-012-035॥
यदि तेन पुरा मुक्तो भीमसेनो बकेन वै। <br>अद्यैनं भक्षयिष्यामि पश्यतस्ते युधिष्ठिर   ॥03-012-036॥
एनं हि विपुलप्राणमद्य हत्वा वृकोदरम्। <br>संभक्ष्य जरयिष्यामि यथागस्त्यो महासुरम्   ॥03-012-037॥
एवमुक्तस्तु धर्मात्मा सत्यसंधो युधिष्ठिरः। <br>नैतदस्तीति सक्रोधो भर्त्सयामास राक्षसम्   ॥03-012-038॥
ततो भीमो महाबाहुरारुज्य तरसा द्रुम। <br>दशव्याममिवोद्विद्धं निष्पत्रमकरोत्तदा   ॥03-012-039॥
चकार सज्यं गाण्डीवं वज्रनिष्पेषगौरवम्। <br>निमेषान्तरमात्रेण तथैव विजयोऽर्जुनः   ॥03-012-040॥
निवार्य भीमो जिष्णुं तु तद्रक्षो घोरदर्शनम्। <br>अभिद्रुत्याब्रवीद्वाक्यं तिष्ठ तिष्ठेति भारत   ॥03-012-041॥
