Verse
 वासुदेव उवाच। <br>एवमुक्तस्तु कौन्तेय सूतपुत्रस्तदा मृधे। <br>प्रद्युम्नमब्रवीच्छ्लक्ष्णं मधुरं वाक्यमञ्जसा   ॥03-020-001॥
न मे भयं रौक्मिणेय संग्रामे यच्छतो हयान्। <br>युद्धज्ञश्चास्मि वृष्णीनां नात्र किंचिदतोऽन्यथा   ॥03-020-002॥
आयुष्मन्नुपदेशस्तु सारथ्ये वर्ततां स्मृतः। <br>सर्वार्थेषु रथी रक्ष्यस्त्वं चापि भृशपीडितः   ॥03-020-003॥
त्वं हि शाल्वप्रयुक्तेन पत्रिणाभिहतो भृशम्। <br>कश्मलाभिहतो वीर ततोऽहमपयातवान्   ॥03-020-004॥
स त्वं सात्वतमुख्याद्य लब्धसंज्ञो यदृच्छया। <br>पश्य मे हयसंयाने शिक्षां केशवनन्दन   ॥03-020-005॥
दारुकेणाहमुत्पन्नो यथावच्चैव शिक्षितः। <br>वीतभीः प्रविशाम्येतां शाल्वस्य महतीं चमूम्   ॥03-020-006॥
एवमुक्त्वा ततो वीर हयान्संचोद्य संगरे। <br>रश्मिभिश्च समुद्यम्य जवेनाभ्यपतत्तदा   ॥03-020-007॥
मण्डलानि विचित्राणि यमकानीतराणि च। <br>सव्यानि च विचित्राणि दक्षिणानि च सर्वशः   ॥03-020-008॥
प्रतोदेनाहता राजन्रश्मिभिश्च समुद्यताः। <br>उत्पतन्त इवाकाशं विबभुस्ते हयोत्तमाः   ॥03-020-009॥
ते हस्तलाघवोपेतं विज्ञाय नृप दारुकिम्। <br>दह्यमाना इव तदा पस्पृशुश्चरणैर्महीम्   ॥03-020-010॥
सोऽपसव्यां चमूं तस्य शाल्वस्य भरतर्षभ। <br>चकार नातियत्नेन तदद्भुतमिवाभवत्   ॥03-020-011॥
अमृष्यमाणोऽपसव्यं प्रद्युम्नेन स सौभराट्। <br>यन्तारमस्य सहसा त्रिभिर्बाणैः समर्पयत्   ॥03-020-012॥
दारुकस्य सुतस्तं तु बाणवेगमचिन्तयन्। <br>भूय एव महाबाहो प्रययौ हयसंमतः   ॥03-020-013॥
ततो बाणान्बहुविधान्पुनरेव स सौभराट्। <br>मुमोच तनये वीरे मम रुक्मिणिनन्दने   ॥03-020-014॥
तानप्राप्ताञ्शितैर्बाणैश्चिच्छेद परवीरहा। <br>रौक्मिणेयः स्मितं कृत्वा दर्शयन्हस्तलाघवम्   ॥03-020-015॥
छिन्नान्दृष्ट्वा तु तान्बाणान्प्रद्युम्नेन स सौभराट्। <br>आसुरीं दारुणीं मायामास्थाय व्यसृजच्छरान्   ॥03-020-016॥
प्रयुज्यमानमाज्ञाय दैतेयास्त्रं महाबलः। <br>ब्रह्मास्त्रेणान्तरा छित्त्वा मुमोचान्यान्पतत्रिणः   ॥03-020-017॥
ते तदस्त्रं विधूयाशु विव्यधू रुधिराशनाः। <br>शिरस्युरसि वक्त्रे च स मुमोह पपात च   ॥03-020-018॥
तस्मिन्निपतिते क्षुद्रे शाल्वे बाणप्रपीडिते। <br>रौक्मिणेयोऽपरं बाणं संदधे शत्रुनाशनम्   ॥03-020-019॥
तमर्चितं सर्वदाशार्हपूगै;राशीर्भिरर्कज्वलनप्रकाशम्। <br>दृष्ट्वा शरं ज्यामभिनीयमानं; बभूव हाहाकृतमन्तरिक्षम्   ॥03-020-020॥
ततो देवगणाः सर्वे सेन्द्राः सह धनेश्वराः। <br>नारदं प्रेषयामासुः श्वसनं च महाबलम्   ॥03-020-021॥
तौ रौक्मिणेयमागम्य वचोऽब्रूतां दिवौकसाम्। <br>नैष वध्यस्त्वया वीर शाल्वराजः कथंचन   ॥03-020-022॥
संहरस्व पुनर्बाणमवध्योऽयं त्वया रणे। <br>एतस्य हि शरस्याजौ नावध्योऽस्ति पुमान्क्वचित्   ॥03-020-023॥
मृत्युरस्य महाबाहो रणे देवकिनन्दनः। <br>कृष्णः संकल्पितो धात्रा तन्न मिथ्या भवेदिति   ॥03-020-024॥
ततः परमसंहृष्टः प्रद्युम्नः शरमुत्तमम्। <br>संजहार धनुःश्रेष्ठात्तूणे चैव न्यवेशयत्   ॥03-020-025॥
तत उत्थाय राजेन्द्र शाल्वः परमदुर्मनाः। <br>व्यपायात्सबलस्तूर्णं प्रद्युम्नशरपीडितः   ॥03-020-026॥
स द्वारकां परित्यज्य क्रूरो वृष्णिभिरर्दितः। <br>सौभमास्थाय राजेन्द्र दिवमाचक्रमे तदा   ॥03-020-027॥
