Verse
 युधिष्ठिर उवाच। <br>असंशयं भारत सत्यमेत;द्यन्मा तुदन्वाक्यशल्यैः क्षिणोषि। <br>न त्वा विगर्हे प्रतिकूलमेत;न्ममानयाद्धि व्यसनं व आगात्   ॥03-035-001॥
अहं ह्यक्षानन्वपद्यं जिहीर्ष;न्राज्यं सराष्ट्रं धृतराष्ट्रस्य पुत्रात्। <br>तन्मा शठः कितवः प्रत्यदेवी;त्सुयोधनार्थं सुबलस्य पुत्रः   ॥03-035-002॥
महामायः शकुनिः पार्वतीयः; सदा सभायां प्रवपन्नक्षपूगान्। <br>अमायिनं मायया प्रत्यदेवी;त्ततोऽपश्यं वृजिनं भीमसेन   ॥03-035-003॥
अक्षान्हि दृष्ट्वा शकुनेर्यथाव;त्कामानुलोमानयुजो युजश्च। <br>शक्यं नियन्तुमभविष्यदात्मा; मन्युस्तु हन्ति पुरुषस्य धैर्यम्   ॥03-035-004॥
यन्तुं नात्मा शक्यते पौरुषेण; मानेन वीर्येण च तात नद्धः। <br>न ते वाचं भीमसेनाभ्यसूये; मन्ये तथा तद्भवितव्यमासीत्   ॥03-035-005॥
स नो राजा धृतराष्ट्रस्य पुत्रो; न्यपातयद्व्यसने राज्यमिच्छन्। <br>दास्यं च नोऽगमयद्भीमसेन; यत्राभवच्छरणं द्रौपदी नः   ॥03-035-006॥
त्वं चापि तद्वेत्थ धनंजयश्च; पुनर्द्यूतायागतानां सभां नः। <br>यन्माब्रवीद्धृतराष्ट्रस्य पुत्र; एकग्लहार्थं भरतानां समक्षम्   ॥03-035-007॥
वने समा द्वादश राजपुत्र; यथाकामं विदितमजातशत्रो। <br>अथापरं चाविदितं चरेथाः; सर्वैः सह भ्रातृभिश्छद्मगूढः   ॥03-035-008॥
त्वां चेच्छ्रुत्वा तात तथा चरन्त;मवभोत्स्यन्ते भारतानां चराः स्म। <br>अन्यांश्चरेथास्तावतोऽब्दांस्ततस्त्वं; निश्चित्य तत्प्रतिजानीहि पार्थ   ॥03-035-009॥
चरैश्चेन्नोऽविदितः कालमेतं; युक्तो राजन्मोहयित्वा मदीयान्। <br>ब्रवीमि सत्यं कुरुसंसदीह; तवैव ता भारत पञ्च नद्यः   ॥03-035-010॥
वयं चैवं भ्रातरः सर्व एव; त्वया जिताः कालमपास्य भोगान्। <br>वसेम इत्याह पुरा स राजा; मध्ये कुरूणां स मयोक्तस्तथेति   ॥03-035-011॥
तत्र द्यूतमभवन्नो जघन्यं; तस्मिञ्जिताः प्रव्रजिताश्च सर्वे। <br>इत्थं च देशाननुसंचरामो; वनानि कृच्छ्राणि च कृच्छ्ररूपाः   ॥03-035-012॥
सुयोधनश्चापि न शान्तिमिच्छ;न्भूयः स मन्योर्वशमन्वगच्छत्। <br>उद्योजयामास कुरूंश्च सर्वा;न्ये चास्य केचिद्वशमन्वगच्छन्   ॥03-035-013॥
तं संधिमास्थाय सतां सकाशे; को नाम जह्यादिह राज्यहेतोः। <br>आर्यस्य मन्ये मरणाद्गरीयो; यद्धर्ममुत्क्रम्य महीं प्रशिष्यात्   ॥03-035-014॥
तदैव चेद्वीरकर्माकरिष्यो; यदा द्यूते परिघं पर्यमृक्षः। <br>बाहू दिधक्षन्वारितः फल्गुनेन; किं दुष्कृतं भीम तदाभविष्यत्   ॥03-035-015॥
प्रागेव चैवं समयक्रियायाः; किं नाब्रवीः पौरुषमाविदानः। <br>प्राप्तं तु कालं त्वभिपद्य पश्चा;त्किं मामिदानीमतिवेलमात्थ   ॥03-035-016॥
भूयोऽपि दुःखं मम भीमसेन; दूये विषस्येव रसं विदित्वा। <br>यद्याज्ञसेनीं परिकृष्यमाणां; संदृश्य तत्क्षान्तमिति स्म भीम   ॥03-035-017॥
न त्वद्य शक्यं भरतप्रवीर; कृत्वा यदुक्तं कुरुवीरमध्ये। <br>कालं प्रतीक्षस्व सुखोदयस्य; पक्तिं फलानामिव बीजवापः   ॥03-035-018॥
यदा हि पूर्वं निकृतो निकृत्या; वैरं सपुष्पं सफलं विदित्वा। <br>महागुणं हरति हि पौरुषेण; तदा वीरो जीवति जीवलोके   ॥03-035-019॥
श्रियं च लोके लभते समग्रां; मन्ये चास्मै शत्रवः संनमन्ते। <br>मित्राणि चैनमतिरागाद्भजन्ते; देवा इवेन्द्रमनुजीवन्ति चैनम्   ॥03-035-020॥
मम प्रतिज्ञां च निबोध सत्यां; वृणे धर्मममृताज्जीविताच्च। <br>राज्यं च पुत्राश्च यशो धनं च; सर्वं न सत्यस्य कलामुपैति   ॥03-035-021॥
