Verse
 बृहदश्व उवाच। <br>सा तच्छ्रुत्वानवद्याङ्गी सार्थवाहवचस्तदा। <br>अगच्छत्तेन वै सार्धं भर्तृदर्शनलालसा   ॥03-062-001॥
अथ काले बहुतिथे वने महति दारुणे। <br>तडागं सर्वतोभद्रं पद्मसौगन्धिकं महत्   ॥03-062-002॥
ददृशुर्वणिजो रम्यं प्रभूतयवसेन्धनम्। <br>बहुमूलफलोपेतं नानापक्षिगणैर्वृतम्   ॥03-062-003॥
तं दृष्ट्वा मृष्टसलिलं मनोहरसुखावहम्। <br>सुपरिश्रान्तवाहास्ते निवेशाय मनो दधुः   ॥03-062-004॥
संमते सार्थवाहस्य विविशुर्वनमुत्तमम्। <br>उवास सार्थः सुमहान्वेलामासाद्य पश्चिमाम्   ॥03-062-005॥
अथार्धरात्रसमये निःशब्दस्तिमिते तदा। <br>सुप्ते सार्थे परिश्रान्ते हस्तियूथमुपागमत्। <br>पानीयार्थं गिरिनदीं मदप्रस्रवणाविलाम्   ॥03-062-006॥
मार्गं संरुध्य संसुप्तं पद्मिन्याः सार्थमुत्तमम्। <br>सुप्तं ममर्द सहसा चेष्टमानं महीतले   ॥03-062-007॥
हाहारवं प्रमुञ्चन्तः सार्थिकाः शरणार्थिनः। <br>वनगुल्मांश्च धावन्तो निद्रान्धा महतो भयात्। <br>केचिद्दन्तैः करैः केचित्केचित्पद्भ्यां हता नराः   ॥03-062-008॥
गोखरोष्ट्राश्वबहुलं पदातिजनसंकुलम्। <br>भयार्तं धावमानं तत्परस्परहतं तदा   ॥03-062-009॥
घोरान्नादान्विमुञ्चन्तो निपेतुर्धरणीतले। <br>वृक्षेष्वासज्य संभग्नाः पतिता विषमेषु च। <br>तथा तन्निहतं सर्वं समृद्धं सार्थमण्डलम्   ॥03-062-010॥
अथापरेद्युः संप्राप्ते हतशिष्टा जनास्तदा। <br>वनगुल्माद्विनिष्क्रम्य शोचन्तो वैशसं कृतम्। <br>भ्रातरं पितरं पुत्रं सखायं च जनाधिप   ॥03-062-011॥
अशोचत्तत्र वैदर्भी किं नु मे दुष्कृतं कृतम्। <br>योऽपि मे निर्जनेऽरण्ये संप्राप्तोऽयं जनार्णवः। <br>हतोऽयं हस्तियूथेन मन्दभाग्यान्ममैव तु   ॥03-062-012॥
प्राप्तव्यं सुचिरं दुःखं मया नूनमसंशयम्। <br>नाप्राप्तकालो म्रियते श्रुतं वृद्धानुशासनम्   ॥03-062-013॥
यन्नाहमद्य मृदिता हस्तियूथेन दुःखिता। <br>न ह्यदैवकृतं किंचिन्नराणामिह विद्यते   ॥03-062-014॥
न च मे बालभावेऽपि किंचिद्व्यपकृतं कृतम्। <br>कर्मणा मनसा वाचा यदिदं दुःखमागतम्   ॥03-062-015॥
मन्ये स्वयंवरकृते लोकपालाः समागताः। <br>प्रत्याख्याता मया तत्र नलस्यार्थाय देवताः। <br>नूनं तेषां प्रभावेन वियोगं प्राप्तवत्यहम्   ॥03-062-016॥
एवमादीनि दुःखानि सा विलप्य वराङ्गना। <br>हतशिष्टैः सह तदा ब्राह्मणैर्वेदपारगैः। <br>अगच्छद्राजशार्दूल दुःखशोकपरायणा   ॥03-062-017॥
गच्छन्ती सा चिरात्कालात्पुरमासादयन्महत्। <br>सायाह्ने चेदिराजस्य सुबाहोः सत्यवादिनः। <br>वस्त्रार्धकर्तसंवीता प्रविवेश पुरोत्तमम्   ॥03-062-018॥
तां विवर्णां कृशां दीनां मुक्तकेशीममार्जनाम्। <br>उन्मत्तामिव गच्छन्तीं ददृशुः पुरवासिनः   ॥03-062-019॥
प्रविशन्तीं तु तां दृष्ट्वा चेदिराजपुरीं तदा। <br>अनुजग्मुस्ततो बाला ग्रामिपुत्राः कुतूहलात्   ॥03-062-020॥
सा तैः परिवृतागच्छत्समीपं राजवेश्मनः। <br>तां प्रासादगतापश्यद्राजमाता जनैर्वृताम्   ॥03-062-021॥
सा जनं वारयित्वा तं प्रासादतलमुत्तमम्। <br>आरोप्य विस्मिता राजन्दमयन्तीमपृच्छत   ॥03-062-022॥
एवमप्यसुखाविष्टा बिभर्षि परमं वपुः। <br>भासि विद्युदिवाभ्रेषु शंस मे कासि कस्य वा   ॥03-062-023॥
न हि ते मानुषं रूपं भूषणैरपि वर्जितम्। <br>असहाया नरेभ्यश्च नोद्विजस्यमरप्रभे   ॥03-062-024॥
तच्छ्रुत्वा वचनं तस्या भैमी वचनमब्रवीत्। <br>मानुषीं मां विजानीहि भर्तारं समनुव्रताम्   ॥03-062-025॥
सैरन्ध्रीं जातिसंपन्नां भुजिष्यां कामवासिनीम्। <br>फलमूलाशनामेकां यत्रसायंप्रतिश्रयाम्   ॥03-062-026॥
असंख्येयगुणो भर्ता मां च नित्यमनुव्रतः। <br>भर्तारमपि तं वीरं छायेवानपगा सदा   ॥03-062-027॥
तस्य दैवात्प्रसङ्गोऽभूदतिमात्रं स्म देवने। <br>द्यूते स निर्जितश्चैव वनमेकोऽभ्युपेयिवान्   ॥03-062-028॥
तमेकवसनं वीरमुन्मत्तमिव विह्वलम्। <br>आश्वासयन्ती भर्तारमहमन्वगमं वनम्   ॥03-062-029॥
स कदाचिद्वने वीरः कस्मिंश्चित्कारणान्तरे। <br>क्षुत्परीतः सुविमनास्तदप्येकं व्यसर्जयत्   ॥03-062-030॥
तमेकवसनं नग्नमुन्मत्तं गतचेतसम्। <br>अनुव्रजन्ती बहुला न स्वपामि निशाः सदा   ॥03-062-031॥
ततो बहुतिथे काले सुप्तामुत्सृज्य मां क्वचित्। <br>वाससोऽर्धं परिच्छिद्य त्यक्तवान्मामनागसम्   ॥03-062-032॥
तं मार्गमाणा भर्तारं दह्यमाना दिनक्षपाः। <br>न विन्दाम्यमरप्रख्यं प्रियं प्राणधनेश्वरम्   ॥03-062-033॥
तामश्रुपरिपूर्णाक्षीं विलपन्तीं तथा बहु। <br>राजमाताब्रवीदार्तां भैमीमार्ततरा स्वयम्   ॥03-062-034॥
वसस्व मयि कल्याणि प्रीतिर्मे त्वयि वर्तते। <br>मृगयिष्यन्ति ते भद्रे भर्तारं पुरुषा मम   ॥03-062-035॥
अथ वा स्वयमागच्छेत्परिधावन्नितस्ततः। <br>इहैव वसती भद्रे भर्तारमुपलप्स्यसे   ॥03-062-036॥
राजमातुर्वचः श्रुत्वा दमयन्ती वचोऽब्रवीत्। <br>समयेनोत्सहे वस्तुं त्वयि वीरप्रजायिनि   ॥03-062-037॥
उच्छिष्टं नैव भुञ्जीयां न कुर्यां पादधावनम्। <br>न चाहं पुरुषानन्यान्संभाषेयं कथंचन   ॥03-062-038॥
प्रार्थयेद्यदि मां कश्चिद्दण्ड्यस्ते स पुमान्भवेत्। <br>भर्तुरन्वेषणार्थं तु पश्येयं ब्राह्मणानहम्   ॥03-062-039॥
यद्येवमिह कर्तव्यं वसाम्यहमसंशयम्। <br>अतोऽन्यथा न मे वासो वर्तते हृदये क्वचित्   ॥03-062-040॥
तां प्रहृष्टेन मनसा राजमातेदमब्रवीत्। <br>सर्वमेतत्करिष्यामि दिष्ट्या ते व्रतमीदृशम्   ॥03-062-041॥
एवमुक्त्वा ततो भैमीं राजमाता विशां पते। <br>उवाचेदं दुहितरं सुनन्दां नाम भारत   ॥03-062-042॥
सैरन्ध्रीमभिजानीष्व सुनन्दे देवरूपिणीम्। <br>एतया सह मोदस्व निरुद्विग्नमनाः स्वयम्   ॥03-062-043॥
