Verse
 लोमश उवाच। <br>ततो जगाम कौरव्य सोऽगस्त्यो भिक्षितुं वसु। <br>श्रुतर्वाणं महीपालं यं वेदाभ्यधिकं नृपैः   ॥03-096-001॥
स विदित्वा तु नृपतिः कुम्भयोनिमुपागमत्। <br>विषयान्ते सहामात्यः प्रत्यगृह्णात्सुसत्कृतम्   ॥03-096-002॥
तस्मै चार्घ्यं यथान्यायमानीय पृथिवीपतिः। <br>प्राञ्जलिः प्रयतो भूत्वा पप्रच्छागमनेऽर्थिताम्   ॥03-096-003॥
 अगस्त्य उवाच। <br>वित्तार्थिनमनुप्राप्तं विद्धि मां पृथिवीपते। <br>यथाशक्त्यविहिंस्यान्यान्संविभागं प्रयच्छ मे   ॥03-096-004॥
 लोमश उवाच। <br>तत आयव्ययौ पूर्णौ तस्मै राजा न्यवेदयत्। <br>अतो विद्वन्नुपादत्स्व यदत्र वसु मन्यसे   ॥03-096-005॥
तत आयव्ययौ दृष्ट्वा समौ सममतिर्द्विजः। <br>सर्वथा प्राणिनां पीडामुपादानादमन्यत   ॥03-096-006॥
स श्रुतर्वाणमादाय वध्र्यश्वमगमत्ततः। <br>स च तौ विषयस्यान्ते प्रत्यगृह्णाद्यथाविधि   ॥03-096-007॥
तयोरर्घ्यं च पाद्यं च वध्र्यश्वः प्रत्यवेदयत्। <br>अनुज्ञाप्य च पप्रच्छ प्रयोजनमुपक्रमे   ॥03-096-008॥
 अगस्त्य उवाच। <br>वित्तकामाविह प्राप्तौ विद्ध्यावां पृथिवीपते। <br>यथाशक्त्यविहिंस्यान्यान्संविभागं प्रयच्छ नौ   ॥03-096-009॥
 लोमश उवाच। <br>तत आयव्ययौ पूर्णौ ताभ्यां राजा न्यवेदयत्। <br>ततो ज्ञात्वा समादत्तां यदत्र व्यतिरिच्यते   ॥03-096-010॥
तत आयव्ययौ दृष्ट्वा समौ सममतिर्द्विजः। <br>सर्वथा प्राणिनां पीडामुपादानादमन्यत   ॥03-096-011॥
पौरुकुत्सं ततो जग्मुस्त्रसदस्युं महाधनम्। <br>अगस्त्यश्च श्रुतर्वा च वध्र्यश्वश्च महीपतिः   ॥03-096-012॥
त्रसदस्युश्च तान्सर्वान्प्रत्यगृह्णाद्यथाविधि। <br>अभिगम्य महाराज विषयान्ते सवाहनः   ॥03-096-013॥
अर्चयित्वा यथान्यायमिक्ष्वाकू राजसत्तमः। <br>समाश्वस्तांस्ततोऽपृच्छत्प्रयोजनमुपक्रमे   ॥03-096-014॥
 अगस्त्य उवाच। <br>वित्तकामानिह प्राप्तान्विद्धि नः पृथिवीपते। <br>यथाशक्त्यविहिंस्यान्यान्संविभागं प्रयच्छ नः   ॥03-096-015॥
 लोमश उवाच। <br>तत आयव्ययौ पूर्णौ तेषां राजा न्यवेदयत्। <br>अतो ज्ञात्वा समादद्ध्वं यदत्र व्यतिरिच्यते   ॥03-096-016॥
तत आयव्ययौ दृष्ट्वा समौ सममतिर्द्विजः। <br>सर्वथा प्राणिनां पीडामुपादानादमन्यत   ॥03-096-017॥
ततः सर्वे समेत्याथ ते नृपास्तं महामुनिम्। <br>इदमूचुर्महाराज समवेक्ष्य परस्परम्   ॥03-096-018॥
अयं वै दानवो ब्रह्मन्निल्वलो वसुमान्भुवि। <br>तमभिक्रम्य सर्वेऽद्य वयं याचामहे वसु   ॥03-096-019॥
तेषां तदासीद्रुचितमिल्वलस्योपभिक्षणम्। <br>ततस्ते सहिता राजन्निल्वलं समुपाद्रवन्   ॥03-096-020॥
