Verse
 ऋश्यशृङ्ग उवाच। <br>इहागतो जटिलो ब्रह्मचारी; न वै ह्रस्वो नातिदीर्घो मनस्वी। <br>सुवर्णवर्णः कमलायताक्षः; सुतः सुराणामिव शोभमानः   ॥03-112-001॥
समृद्धरूपः सवितेव दीप्तः; सुशुक्लकृष्णाक्षतरश्चकोरैः। <br>नीलाः प्रसन्नाश्च जटाः सुगन्धा; हिरण्यरज्जुग्रथिताः सुदीर्घाः   ॥03-112-002॥
आधाररूपा पुनरस्य कण्ठे; विभ्राजते विद्युदिवान्तरिक्षे। <br>द्वौ चास्य पिण्डावधरेण कण्ठ;मजातरोमौ सुमनोहरौ च   ॥03-112-003॥
विलग्नमध्यश्च स नाभिदेशे; कटिश्च तस्यातिकृतप्रमाणा। <br>तथास्य चीरान्तरिता प्रभाति; हिरण्मयी मेखला मे यथेयम्   ॥03-112-004॥
अन्यच्च तस्याद्भुतदर्शनीयं; विकूजितं पादयोः संप्रभाति। <br>पाण्योश्च तद्वत्स्वनवन्निबद्धौ; कलापकावक्षमाला यथेयम्   ॥03-112-005॥
विचेष्टमानस्य च तस्य तानि; कूजन्ति हंसा सरसीव मत्ताः। <br>चीराणि तस्याद्भुतदर्शनानि; नेमानि तद्वन्मम रूपवन्ति   ॥03-112-006॥
वक्त्रं च तस्याद्भुतदर्शनीयं; प्रव्याहृतं ह्लादयतीव चेतः। <br>पुंस्कोकिलस्येव च तस्य वाणी; तां शृण्वतो मे व्यथितोऽन्तरात्मा   ॥03-112-007॥
यथा वनं माधवमासि मध्ये; समीरितं श्वसनेनाभिवाति। <br>तथा स वात्युत्तमपुण्यगन्धी; निषेव्यमाणः पवनेन तात   ॥03-112-008॥
सुसंयताश्चापि जटा विभक्ता; द्वैधीकृता भान्ति समा ललाटे। <br>कर्णौ च चित्रैरिव चक्रवालैः; समावृतौ तस्य सुरूपवद्भिः   ॥03-112-009॥
तथा फलं वृत्तमथो विचित्रं; समाहनत्पाणिना दक्षिणेन। <br>तद्भूमिमासाद्य पुनः पुनश्च; समुत्पतत्यद्भुतरूपमुच्चैः   ॥03-112-010॥
तच्चापि हत्वा परिवर्ततेऽसौ; वातेरितो वृक्ष इवावघूर्णः। <br>तं प्रेक्ष्य मे पुत्रमिवामराणां; प्रीतिः परा तात रतिश्च जाता   ॥03-112-011॥
स मे समाश्लिष्य पुनः शरीरं; जटासु गृह्याभ्यवनाम्य वक्त्रम्। <br>वक्त्रेण वक्त्रं प्रणिधाय शब्दं; चकार तन्मेऽजनयत्प्रहर्षम्   ॥03-112-012॥
न चापि पाद्यं बहु मन्यतेऽसौ; फलानि चेमानि मयाहृतानि। <br>एवंव्रतोऽस्मीति च मामवोच;त्फलानि चान्यानि नवान्यदान्मे   ॥03-112-013॥
मयोपयुक्तानि फलानि तानि; नेमानि तुल्यानि रसेन तेषाम्। <br>न चापि तेषां त्वगियं यथैषां; साराणि नैषामिव सन्ति तेषाम्   ॥03-112-014॥
तोयानि चैवातिरसानि मह्यं; प्रादात्स वै पातुमुदाररूपः। <br>पीत्वैव यान्यभ्यधिकः प्रहर्षो; ममाभवद्भूश्चलितेव चासीत्   ॥03-112-015॥
इमानि चित्राणि च गन्धवन्ति; माल्यानि तस्योद्ग्रथितानि पट्टैः। <br>यानि प्रकीर्येह गतः स्वमेव; स आश्रमं तपसा द्योतमानः   ॥03-112-016॥
गतेन तेनास्मि कृतो विचेता; गात्रं च मे संपरितप्यतीव। <br>इच्छामि तस्यान्तिकमाशु गन्तुं; तं चेह नित्यं परिवर्तमानम्   ॥03-112-017॥
गच्छामि तस्यान्तिकमेव तात; का नाम सा व्रतचर्या च तस्य। <br>इच्छाम्यहं चरितुं तेन सार्धं; यथा तपः स चरत्युग्रकर्मा   ॥03-112-018॥
