Verse
 वैशंपायन उवाच। <br>ततस्तान्परिविश्वस्तान्वसतस्तत्र पाण्डवान्। <br>गतेषु तेषु रक्षःसु भीमसेनात्मजेऽपि च   ॥03-154-001॥
रहितान्भीमसेनेन कदाचित्तान्यदृच्छया। <br>जहार धर्मराजानं यमौ कृष्णां च राक्षसः   ॥03-154-002॥
ब्राह्मणो मन्त्रकुशलः सर्वास्त्रेष्वस्त्रवित्तमः। <br>इति ब्रुवन्पाण्डवेयान्पर्युपास्ते स्म नित्यदा   ॥03-154-003॥
परीक्षमाणः पार्थानां कलापानि धनूंषि च। <br>अन्तरं समभिप्रेप्सुर्नाम्ना ख्यातो जटासुरः   ॥03-154-004॥
स भीमसेने निष्क्रान्ते मृगयार्थमरिंदमे। <br>अन्यद्रूपं समास्थाय विकृतं भैरवं महत्   ॥03-154-005॥
गृहीत्वा सर्वशस्त्राणि द्रौपदीं परिगृह्य च। <br>प्रातिष्ठत स दुष्टात्मा त्रीन्गृहीत्वा च पाण्डवान्   ॥03-154-006॥
सहदेवस्तु यत्नेन ततोऽपक्रम्य पाण्डवः। <br>आक्रन्दद्भीमसेनं वै येन यातो महाबलः   ॥03-154-007॥
तमब्रवीद्धर्मराजो ह्रियमाणो युधिष्ठिरः। <br>धर्मस्ते हीयते मूढ न चैनं समवेक्षसे   ॥03-154-008॥
येऽन्ये केचिन्मनुष्येषु तिर्यग्योनिगता अपि। <br>गन्धर्वयक्षरक्षांसि वयांसि पशवस्तथा। <br>मनुष्यानुपजीवन्ति ततस्त्वमुपजीवसि   ॥03-154-009॥
समृद्ध्या ह्यस्य लोकस्य लोको युष्माकमृध्यते। <br>इमं च लोकं शोचन्तमनुशोचन्ति देवताः। <br>पूज्यमानाश्च वर्धन्ते हव्यकव्यैर्यथाविधि   ॥03-154-010॥
वयं राष्ट्रस्य गोप्तारो रक्षितारश्च राक्षस। <br>राष्ट्रस्यारक्ष्यमाणस्य कुतो भूतिः कुतः सुखम्   ॥03-154-011॥
न च राजावमन्तव्यो रक्षसा जात्वनागसि। <br>अणुरप्यपचारश्च नास्त्यस्माकं नराशन   ॥03-154-012॥
द्रोग्धव्यं न च मित्रेषु न विश्वस्तेषु कर्हिचित्। <br>येषां चान्नानि भुञ्जीत यत्र च स्यात्प्रतिश्रयः   ॥03-154-013॥
स त्वं प्रतिश्रयेऽस्माकं पूज्यमानः सुखोषितः। <br>भुक्त्वा चान्नानि दुष्प्रज्ञ कथमस्माञ्जिहीर्षसि   ॥03-154-014॥
एवमेव वृथाचारो वृथावृद्धो वृथामतिः। <br>वृथामरणमर्हस्त्वं वृथाद्य न भविष्यसि   ॥03-154-015॥
अथ चेद्दुष्टबुद्धिस्त्वं सर्वैर्धर्मैर्विवर्जितः। <br>प्रदाय शस्त्राण्यस्माकं युद्धेन द्रौपदीं हर   ॥03-154-016॥
अथ चेत्त्वमविज्ञाय इदं कर्म करिष्यसि। <br>अधर्मं चाप्यकीर्तिं च लोके प्राप्स्यसि केवलम्   ॥03-154-017॥
एतामद्य परामृश्य स्त्रियं राक्षस मानुषीम्। <br>विषमेतत्समालोड्य कुम्भेन प्राशितं त्वया   ॥03-154-018॥
ततो युधिष्ठिरस्तस्य भारिकः समपद्यत। <br>स तु भाराभिभूतात्मा न तथा शीघ्रगोऽभवत्   ॥03-154-019॥
अथाब्रवीद्द्रौपदीं च नकुलं च युधिष्ठिरः। <br>मा भैष्ट राक्षसान्मूढाद्गतिरस्य मया हृता   ॥03-154-020॥
नातिदूरे महाबाहुर्भविता पवनात्मजः। <br>अस्मिन्मुहूर्ते संप्राप्ते न भविष्यति राक्षसः   ॥03-154-021॥
सहदेवस्तु तं दृष्ट्वा राक्षसं मूढचेतसम्। <br>उवाच वचनं राजन्कुन्तीपुत्रं युधिष्ठिरम्   ॥03-154-022॥
राजन्किं नाम तत्कृत्यं क्षत्रियस्यास्त्यतोऽधिकम्। <br>यद्युद्धेऽभिमुखः प्राणांस्त्यजेच्छत्रूञ्जयेत वा   ॥03-154-023॥
एष चास्मान्वयं चैनं युध्यमानाः परंतप। <br>सूदयेम महाबाहो देशकालो ह्ययं नृप   ॥03-154-024॥
