Verse
 वैशंपायन उवाच। <br>श्रुत्वा बहुविधैः शब्दैर्नाद्यमाना गिरेर्गुहाः। <br>अजातशत्रुः कौन्तेयो माद्रीपुत्रावुभावपि   ॥03-158-001॥
धौम्यः कृष्णा च विप्राश्च सर्वे च सुहृदस्तथा। <br>भीमसेनमपश्यन्तः सर्वे विमनसोऽभवन्   ॥03-158-002॥
द्रौपदीमार्ष्टिषेणाय प्रदाय तु महारथाः। <br>सहिताः सायुधाः शूराः शैलमारुरुहुस्तदा   ॥03-158-003॥
ततः संप्राप्य शैलाग्रं वीक्षमाणा महारथाः। <br>ददृशुस्ते महेष्वासा भीमसेनमरिंदमम्   ॥03-158-004॥
स्फुरतश्च महाकायान्गतसत्त्वांश्च राक्षसान्। <br>महाबलान्महाघोरान्भीमसेनेन पातितान्   ॥03-158-005॥
शुशुभे स महाबाहुर्गदाखड्गधनुर्धरः। <br>निहत्य समरे सर्वान्दानवान्मघवानिव   ॥03-158-006॥
ततस्ते समतिक्रम्य परिष्वज्य वृकोदरम्। <br>तत्रोपविविशुः पार्थाः प्राप्ता गतिमनुत्तमाम्   ॥03-158-007॥
तैश्चतुर्भिर्महेष्वासैर्गिरिशृङ्गमशोभत। <br>लोकपालैर्महाभागैर्दिवं देववरैरिव   ॥03-158-008॥
कुबेरसदनं दृष्ट्वा राक्षसांश्च निपातितान्। <br>भ्राता भ्रातरमासीनमभ्यभाषत पाण्डवम्   ॥03-158-009॥
साहसाद्यदि वा मोहाद्भीम पापमिदं कृतम्। <br>नैतत्ते सदृशं वीर मुनेरिव मृषावचः   ॥03-158-010॥
राजद्विष्टं न कर्तव्यमिति धर्मविदो विदुः। <br>त्रिदशानामिदं द्विष्टं भीमसेन त्वया कृतम्   ॥03-158-011॥
अर्थधर्मावनादृत्य यः पापे कुरुते मनः। <br>कर्मणां पार्थ पापानां स फलं विन्दते ध्रुवम्। <br>पुनरेवं न कर्तव्यं मम चेदिच्छसि प्रियम्   ॥03-158-012॥
एवमुक्त्वा स धर्मात्मा भ्राता भ्रातरमच्युतम्। <br>अर्थतत्त्वविभागज्ञः कुन्तीपुत्रो युधिष्ठिरः। <br>विरराम महातेजास्तमेवार्थं विचिन्तयन्   ॥03-158-013॥
ततस्तु हतशिष्टा ये भीमसेनेन राक्षसाः। <br>सहिताः प्रत्यपद्यन्त कुबेरसदनं प्रति   ॥03-158-014॥
