Verse
 वैशंपायन उवाच। <br>नगोत्तमं प्रस्रवणैरुपेतं; दिशां गजैः किंनरपक्षिभिश्च। <br>सुखं निवासं जहतां हि तेषां; न प्रीतिरासीद्भरतर्षभाणाम्   ॥03-174-001॥
ततस्तु तेषां पुनरेव हर्षः; कैलासमालोक्य महान्बभूव। <br>कुबेरकान्तं भरतर्षभाणां; महीधरं वारिधरप्रकाशम्   ॥03-174-002॥
समुच्छ्रयान्पर्वतसंनिरोधा;न्गोष्ठान्गिरीणां गिरिसेतुमालाः। <br>बहून्प्रपातांश्च समीक्ष्य वीराः; स्थलानि निम्नानि च तत्र तत्र   ॥03-174-003॥
तथैव चान्यानि महावनानि; मृगद्विजानेकपसेवितानि। <br>आलोकयन्तोऽभिययुः प्रतीता;स्ते धन्विनः खड्गधरा नराग्र्याः   ॥03-174-004॥
वनानि रम्याणि सरांसि नद्यो; गुहा गिरीणां गिरिगह्वराणि। <br>एते निवासाः सततं बभूवु;र्निशानिशं प्राप्य नरर्षभाणाम्   ॥03-174-005॥
ते दुर्गवासं बहुधा निरुष्य; व्यतीत्य कैलासमचिन्त्यरूपम्। <br>आसेदुरत्यर्थमनोरमं वै; तमाश्रमाग्र्यं वृषपर्वणस्ते   ॥03-174-006॥
समेत्य राज्ञा वृषपर्वणस्ते; प्रत्यर्चितास्तेन च वीतमोहाः। <br>शशंसिरे विस्तरशः प्रवासं; शिवं यथावद्वृषपर्वणस्ते   ॥03-174-007॥
सुखोषितास्तत्र त एकरात्रं; पुण्याश्रमे देवमहर्षिजुष्टे। <br>अभ्याययुस्ते बदरीं विशालां; सुखेन वीराः पुनरेव वासम्   ॥03-174-008॥
ऊषुस्ततस्तत्र महानुभावा; नारायणस्थानगता नराग्र्याः। <br>कुबेरकान्तां नलिनीं विशोकाः; संपश्यमानाः सुरसिद्धजुष्टाम्   ॥03-174-009॥
तां चाथ दृष्ट्वा नलिनीं विशोकाः; पाण्डोः सुताः सर्वनरप्रवीराः। <br>ते रेमिरे नन्दनवासमेत्य; द्विजर्षयो वीतभया यथैव   ॥03-174-010॥
ततः क्रमेणोपययुर्नृवीरा; यथागतेनैव पथा समग्राः। <br>विहृत्य मासं सुखिनो बदर्यां; किरातराज्ञो विषयं सुबाहोः   ॥03-174-011॥
चीनांस्तुखारान्दरदान्सदार्वा;न्देशान्कुणिन्दस्य च भूरिरत्नान्। <br>अतीत्य दुर्गं हिमवत्प्रदेशं; पुरं सुबाहोर्ददृशुर्नृवीराः   ॥03-174-012॥
श्रुत्वा च तान्पार्थिवपुत्रपौत्रा;न्प्राप्तान्सुबाहुर्विषये समग्रान्। <br>प्रत्युद्ययौ प्रीतियुतः स राजा; तं चाभ्यनन्दन्वृषभाः कुरूणाम्   ॥03-174-013॥
समेत्य राज्ञा तु सुबाहुना ते; सूतैर्विशोकप्रमुखैश्च सर्वैः। <br>सहेन्द्रसेनैः परिचारकैश्च; पौरोगवैर्ये च महानसस्थाः   ॥03-174-014॥
सुखोषितास्तत्र त एकरात्रं; सूतानुपादाय रथांश्च सर्वान्। <br>घटोत्कचं सानुचरं विसृज्य; ततोऽभ्ययुर्यामुनमद्रिराजम्   ॥03-174-015॥
तस्मिन्गिरौ प्रस्रवणोपपन्ने; हिमोत्तरीयारुणपाण्डुसानौ। <br>विशाखयूपं समुपेत्य चक्रु;स्तदा निवासं पुरुषप्रवीराः   ॥03-174-016॥
वराहनानामृगपक्षिजुष्टं; महद्वनं चैत्ररथप्रकाशम्। <br>शिवेन यात्वा मृगयाप्रधानाः; संवत्सरं तत्र वने विजह्रुः   ॥03-174-017॥
तत्राससादातिबलं भुजंगं; क्षुधार्दितं मृत्युमिवोग्ररूपम्। <br>वृकोदरः पर्वतकन्दरायां; विषादमोहव्यथितान्तरात्मा   ॥03-174-018॥
द्वीपोऽभवद्यत्र वृकोदरस्य; युधिष्ठिरो धर्मभृतां वरिष्ठः। <br>अमोक्षयद्यस्तमनन्ततेजा; ग्राहेण संवेष्टितसर्वगात्रम्   ॥03-174-019॥
ते द्वादशं वर्षमथोपयान्तं; वने विहर्तुं कुरवः प्रतीताः। <br>तस्माद्वनाच्चैत्ररथप्रकाशा;च्छ्रिया ज्वलन्तस्तपसा च युक्ताः   ॥03-174-020॥
ततश्च यात्वा मरुधन्वपार्श्वं; सदा धनुर्वेदरतिप्रधानाः। <br>सरस्वतीमेत्य निवासकामाः; सरस्ततो द्वैतवनं प्रतीयुः   ॥03-174-021॥
समीक्ष्य तान्द्वैतवने निविष्टा;न्निवासिनस्तत्र ततोऽभिजग्मुः। <br>तपोदमाचारसमाधियुक्ता;स्तृणोदपात्राहरणाश्मकुट्टाः   ॥03-174-022॥
प्लक्षाक्षरौहीतकवेतसाश्च; स्नुहा बदर्यः खदिराः शिरीषाः। <br>बिल्वेङ्गुदाः पीलुशमीकरीराः; सरस्वतीतीररुहा बभूवुः   ॥03-174-023॥
तां यक्षगन्धर्वमहर्षिकान्ता;मायागभूतामिव देवतानाम्। <br>सरस्वतीं प्रीतियुताश्चरन्तः; सुखं विजह्रुर्नरदेवपुत्राः   ॥03-174-024॥
