Verse
 वैशंपायन उवाच। <br>युधिष्ठिरस्तमासाद्य सर्पभोगाभिवेष्टितम्। <br>दयितं भ्रातरं वीरमिदं वचनमब्रवीत्   ॥03-177-001॥
कुन्तीमातः कथमिमामापदं त्वमवाप्तवान्। <br>कश्चायं पर्वताभोगप्रतिमः पन्नगोत्तमः   ॥03-177-002॥
स धर्मराजमालक्ष्य भ्राता भ्रातरमग्रजम्। <br>कथयामास तत्सर्वं ग्रहणादि विचेष्टितम्   ॥03-177-003॥
 युधिष्ठिर उवाच। <br>देवो वा यदि वा दैत्य उरगो वा भवान्यदि। <br>सत्यं सर्प वचो ब्रूहि पृच्छति त्वां युधिष्ठिरः   ॥03-177-004॥
किमाहृत्य विदित्वा वा प्रीतिस्ते स्याद्भुजंगम। <br>किमाहारं प्रयच्छामि कथं मुञ्चेद्भवानिमम्   ॥03-177-005॥
 सर्प उवाच। <br>नहुषो नाम राजाहमासं पूर्वस्तवानघ। <br>प्रथितः पञ्चमः सोमादायोः पुत्रो नराधिप   ॥03-177-006॥
क्रतुभिस्तपसा चैव स्वाध्यायेन दमेन च। <br>त्रैलोक्यैश्वर्यमव्यग्रं प्राप्तो विक्रमणेन च   ॥03-177-007॥
तदैश्वर्यं समासाद्य दर्पो मामगमत्तदा। <br>सहस्रं हि द्विजातीनामुवाह शिबिकां मम   ॥03-177-008॥
ऐश्वर्यमदमत्तोऽहमवमन्य ततो द्विजान्। <br>इमामगस्त्येन दशामानीतः पृथिवीपते   ॥03-177-009॥
न तु मामजहात्प्रज्ञा यावदद्येति पाण्डव। <br>तस्यैवानुग्रहाद्राजन्नगस्त्यस्य महात्मनः   ॥03-177-010॥
षष्ठे काले ममाहारः प्राप्तोऽयमनुजस्तव। <br>नाहमेनं विमोक्ष्यामि न चान्यमभिकामये   ॥03-177-011॥
प्रश्नानुच्चारितांस्तु त्वं व्याहरिष्यसि चेन्मम। <br>अथ पश्चाद्विमोक्ष्यामि भ्रातरं ते वृकोदरम्   ॥03-177-012॥
 युधिष्ठिर उवाच। <br>ब्रूहि सर्प यथाकामं प्रतिवक्ष्यामि ते वचः। <br>अपि चेच्छक्नुयां प्रीतिमाहर्तुं ते भुजंगम   ॥03-177-013॥
वेद्यं यद्ब्राह्मणेनेह तद्भवान्वेत्ति केवलम्। <br>सर्पराज ततः श्रुत्वा प्रतिवक्ष्यामि ते वचः   ॥03-177-014॥
 सर्प उवाच। <br>ब्राह्मणः को भवेद्राजन्वेद्यं किं च युधिष्ठिर। <br>ब्रवीह्यतिमतिं त्वां हि वाक्यैरनुमिमीमहे   ॥03-177-015॥
 युधिष्ठिर उवाच। <br>सत्यं दानं क्षमा शीलमानृशंस्यं दमो घृणा। <br>दृश्यन्ते यत्र नागेन्द्र स ब्राह्मण इति स्मृतः   ॥03-177-016॥
वेद्यं सर्प परं ब्रह्म निर्दुःखमसुखं च यत्। <br>यत्र गत्वा न शोचन्ति भवतः किं विवक्षितम्   ॥03-177-017॥
 सर्प उवाच। <br>चातुर्वर्ण्यं प्रमाणं च सत्यं च ब्रह्म चैव ह। <br>शूद्रेष्वपि च सत्यं च दानमक्रोध एव च। <br>आनृशंस्यमहिंसा च घृणा चैव युधिष्ठिर   ॥03-177-018॥
वेद्यं यच्चात्थ निर्दुःखमसुखं च नराधिप। <br>ताभ्यां हीनं पदं चान्यन्न तदस्तीति लक्षये   ॥03-177-019॥
 युधिष्ठिर उवाच। <br>शूद्रे चैतद्भवेल्लक्ष्यं द्विजे तच्च न विद्यते। <br>न वै शूद्रो भवेच्छूद्रो ब्राह्मणो न च ब्राह्मणः   ॥03-177-020॥
यत्रैतल्लक्ष्यते सर्प वृत्तं स ब्राह्मणः स्मृतः। <br>यत्रैतन्न भवेत्सर्प तं शूद्रमिति निर्दिशेत्   ॥03-177-021॥
यत्पुनर्भवता प्रोक्तं न वेद्यं विद्यतेति ह। <br>ताभ्यां हीनमतीत्यात्र पदं नास्तीति चेदपि   ॥03-177-022॥
एवमेतन्मतं सर्प ताभ्यां हीनं न विद्यते। <br>यथा शीतोष्णयोर्मध्ये भवेन्नोष्णं न शीतता   ॥03-177-023॥
एवं वै सुखदुःखाभ्यां हीनमस्ति पदं क्वचित्। <br>एषा मम मतिः सर्प यथा वा मन्यते भवान्   ॥03-177-024॥
 सर्प उवाच। <br>यदि ते वृत्ततो राजन्ब्राह्मणः प्रसमीक्षितः। <br>व्यर्था जातिस्तदायुष्मन्कृतिर्यावन्न दृश्यते   ॥03-177-025॥
 युधिष्ठिर उवाच। <br>जातिरत्र महासर्प मनुष्यत्वे महामते। <br>संकरात्सर्ववर्णानां दुष्परीक्ष्येति मे मतिः   ॥03-177-026॥
सर्वे सर्वास्वपत्यानि जनयन्ति यदा नराः। <br>वाङ्मैथुनमथो जन्म मरणं च समं नृणाम्   ॥03-177-027॥
इदमार्षं प्रमाणं च ये यजामह इत्यपि। <br>तस्माच्छीलं प्रधानेष्टं विदुर्ये तत्त्वदर्शिनः   ॥03-177-028॥
