Verse
 वैशंपायन उवाच। <br>उपासीनेषु विप्रेषु पाण्डवेषु महात्मसु। <br>द्रौपदी सत्यभामा च विविशाते तदा समम्। <br>जाहस्यमाने सुप्रीते सुखं तत्र निषीदतुः   ॥03-222-001॥
चिरस्य दृष्ट्वा राजेन्द्र तेऽन्योन्यस्य प्रियंवदे। <br>कथयामासतुश्चित्राः कथाः कुरुयदुक्षिताम्   ॥03-222-002॥
अथाब्रवीत्सत्यभामा कृष्णस्य महिषी प्रिया। <br>सात्राजिती याज्ञसेनीं रहसीदं सुमध्यमा   ॥03-222-003॥
केन द्रौपदि वृत्तेन पाण्डवानुपतिष्ठसि। <br>लोकपालोपमान्वीरान्यूनः परमसंमतान्। <br>कथं च वशगास्तुभ्यं न कुप्यन्ति च ते शुभे   ॥03-222-004॥
तव वश्या हि सततं पाण्डवाः प्रियदर्शने। <br>मुखप्रेक्षाश्च ते सर्वे तत्त्वमेतद्ब्रवीहि मे   ॥03-222-005॥
व्रतचर्या तपो वापि स्नानमन्त्रौषधानि वा। <br>विद्यावीर्यं मूलवीर्यं जपहोमस्तथागदाः   ॥03-222-006॥
मम आचक्ष्व पाञ्चालि यशस्यं भगवेदनम्। <br>येन कृष्णे भवेन्नित्यं मम कृष्णो वशानुगः   ॥03-222-007॥
एवमुक्त्वा सत्यभामा विरराम यशस्विनी। <br>पतिव्रता महाभागा द्रौपदी प्रत्युवाच ताम्   ॥03-222-008॥
असत्स्त्रीणां समाचारं सत्ये मामनुपृच्छसि। <br>असदाचरिते मार्गे कथं स्यादनुकीर्तनम्   ॥03-222-009॥
अनुप्रश्नः संशयो वा नैतत्त्वय्युपपद्यते। <br>तथा ह्युपेता बुद्ध्या त्वं कृष्णस्य महिषी प्रिया   ॥03-222-010॥
यदैव भर्ता जानीयान्मन्त्रमूलपरां स्त्रियम्। <br>उद्विजेत तदैवास्याः सर्पाद्वेश्मगतादिव   ॥03-222-011॥
उद्विग्नस्य कुतः शान्तिरशान्तस्य कुतः सुखम्। <br>न जातु वशगो भर्ता स्त्रियाः स्यान्मन्त्रकारणात्   ॥03-222-012॥
अमित्रप्रहितांश्चापि गदान्परमदारुणान्। <br>मूलप्रवादैर्हि विषं प्रयच्छन्ति जिघांसवः   ॥03-222-013॥
जिह्वया यानि पुरुषस्त्वचा वाप्युपसेवते। <br>तत्र चूर्णानि दत्तानि हन्युः क्षिप्रमसंशयम्   ॥03-222-014॥
जलोदरसमायुक्ताः श्वित्रिणः पलितास्तथा। <br>अपुमांसः कृताः स्त्रीभिर्जडान्धबधिरास्तथा   ॥03-222-015॥
पापानुगास्तु पापास्ताः पतीनुपसृजन्त्युत। <br>न जातु विप्रियं भर्तुः स्त्रिया कार्यं कथंचन   ॥03-222-016॥
वर्ताम्यहं तु यां वृत्तिं पाण्डवेषु महात्मसु। <br>तां सर्वां शृणु मे सत्यां सत्यभामे यशस्विनि   ॥03-222-017॥
अहंकारं विहायाहं कामक्रोधौ च सर्वदा। <br>सदारान्पाण्डवान्नित्यं प्रयतोपचराम्यहम्   ॥03-222-018॥
प्रणयं प्रतिसंगृह्य निधायात्मानमात्मनि। <br>शुश्रूषुर्निरभीमाना पतीनां चित्तरक्षिणी   ॥03-222-019॥
दुर्व्याहृताच्छङ्कमाना दुःस्थिताद्दुरवेक्षितात्। <br>दुरासिताद्दुर्व्रजितादिङ्गिताध्यासितादपि   ॥03-222-020॥
