Verse
 जनमेजय उवाच। <br>दुर्योधनं मोचयित्वा पाण्डुपुत्रा महाबलाः। <br>किमकार्षुर्वने तस्मिंस्तन्ममाख्यातुमर्हसि   ॥03-244-001॥
 वैशंपायन उवाच। <br>ततः शयानं कौन्तेयं रात्रौ द्वैतवने मृगाः। <br>स्वप्नान्ते दर्शयामासुर्बाष्पकण्ठा युधिष्ठिरम्   ॥03-244-002॥
तानब्रवीत्स राजेन्द्रो वेपमानान्कृताञ्जलीन्। <br>ब्रूत यद्वक्तुकामाः स्थ के भवन्तः किमिष्यते   ॥03-244-003॥
एवमुक्ताः पाण्डवेन कौन्तेयेन यशस्विना। <br>प्रत्यब्रुवन्मृगास्तत्र हतशेषा युधिष्ठिरम्   ॥03-244-004॥
वयं मृगा द्वैतवने हतशिष्टाः स्म भारत। <br>नोत्सीदेम महाराज क्रियतां वासपर्ययः   ॥03-244-005॥
भवन्तो भ्रातरः शूराः सर्व एवास्त्रकोविदाः। <br>कुलान्यल्पावशिष्टानि कृतवन्तो वनौकसाम्   ॥03-244-006॥
बीजभूता वयं केचिदवशिष्टा महामते। <br>विवर्धेमहि राजेन्द्र प्रसादात्ते युधिष्ठिर   ॥03-244-007॥
तान्वेपमानान्वित्रस्तान्बीजमात्रावशेषितान्। <br>मृगान्दृष्ट्वा सुदुःखार्तो धर्मराजो युधिष्ठिरः   ॥03-244-008॥
तांस्तथेत्यब्रवीद्राजा सर्वभूतहिते रतः। <br>तथ्यं भवन्तो ब्रुवते करिष्यामि च तत्तथा   ॥03-244-009॥
इत्येवं प्रतिबुद्धः स रात्र्यन्ते राजसत्तमः। <br>अब्रवीत्सहितान्भ्रातॄन्दयापन्नो मृगान्प्रति   ॥03-244-010॥
उक्तो रात्रौ मृगैरस्मि स्वप्नान्ते हतशेषितैः। <br>तनुभूताः स्म भद्रं ते दया नः क्रियतामिति   ॥03-244-011॥
ते सत्यमाहुः कर्तव्या दयास्माभिर्वनौकसाम्। <br>साष्टमासं हि नो वर्षं यदेनानुपयुञ्ज्महे   ॥03-244-012॥
पुनर्बहुमृगं रम्यं काम्यकं काननोत्तमम्। <br>मरुभूमेः शिरः ख्यातं तृणबिन्दुसरः प्रति। <br>तत्रेमा वसतीः शिष्टा विहरन्तो रमेमहि   ॥03-244-013॥
ततस्ते पाण्डवाः शीघ्रं प्रययुर्धर्मकोविदाः। <br>ब्राह्मणैः सहिता राजन्ये च तत्र सहोषिताः। <br>इन्द्रसेनादिभिश्चैव प्रेष्यैरनुगतास्तदा   ॥03-244-014॥
ते यात्वानुसृतैर्मार्गैः स्वन्नैः शुचिजलान्वितैः। <br>ददृशुः काम्यकं पुण्यमाश्रमं तापसायुतम्   ॥03-244-015॥
विविशुस्ते स्म कौरव्या वृता विप्रर्षभैस्तदा। <br>तद्वनं भरतश्रेष्ठाः स्वर्गं सुकृतिनो यथा   ॥03-244-016॥
