Verse
 वैशंपायन उवाच। <br>ततो दिशः संप्रविहृत्य पार्था; मृगान्वराहान्महिषांश्च हत्वा। <br>धनुर्धराः श्रेष्ठतमाः पृथिव्यां; पृथक्चरन्तः सहिता बभूवुः   ॥03-253-001॥
ततो मृगव्यालगणानुकीर्णं; महावनं तद्विहगोपघुष्टम्। <br>भ्रातॄंश्च तानभ्यवदद्युधिष्ठिरः; श्रुत्वा गिरो व्याहरतां मृगाणाम्   ॥03-253-002॥
आदित्यदीप्तां दिशमभ्युपेत्य; मृगद्विजाः क्रूरमिमे वदन्ति। <br>आयासमुग्रं प्रतिवेदयन्तो; महाहवं शत्रुभिर्वावमानम्   ॥03-253-003॥
क्षिप्रं निवर्तध्वमलं मृगैर्नो; मनो हि मे दूयति दह्यते च। <br>बुद्धिं समाच्छाद्य च मे समन्यु;रुद्धूयते प्राणपतिः शरीरे   ॥03-253-004॥
सरः सुपर्णेन हृतोरगं यथा; राष्ट्रं यथाराजकमात्तलक्ष्मि। <br>एवंविधं मे प्रतिभाति काम्यकं; शौण्डैर्यथा पीतरसश्च कुम्भः   ॥03-253-005॥
ते सैन्धवैरत्यनिलौघवेगै;र्महाजवैर्वाजिभिरुह्यमानाः। <br>युक्तैर्बृहद्भिः सुरथैर्नृवीरा;स्तदाश्रमायाभिमुखा बभूवुः   ॥03-253-006॥
तेषां तु गोमायुरनल्पघोषो; निवर्ततां वाममुपेत्य पार्श्वम्। <br>प्रव्याहरत्तं प्रविमृश्य राजा; प्रोवाच भीमं च धनंजयं च   ॥03-253-007॥
यथा वदत्येष विहीनयोनिः; शालावृको वाममुपेत्य पार्श्वम्। <br>सुव्यक्तमस्मानवमन्य पापैः; कृतोऽभिमर्दः कुरुभिः प्रसह्य   ॥03-253-008॥
इत्येव ते तद्वनमाविशन्तो; महत्यरण्ये मृगयां चरित्वा। <br>बालामपश्यन्त तदा रुदन्तीं; धात्रेयिकां प्रेष्यवधूं प्रियायाः   ॥03-253-009॥
तामिन्द्रसेनस्त्वरितोऽभिसृत्य; रथादवप्लुत्य ततोऽभ्यधावत्। <br>प्रोवाच चैनां वचनं नरेन्द्र; धात्रेयिकामार्ततरस्तदानीम्   ॥03-253-010॥
किं रोदिषि त्वं पतिता धरण्यां; किं ते मुखं शुष्यति दीनवर्णम्। <br>कच्चिन्न पापैः सुनृशंसकृद्भिः; प्रमाथिता द्रौपदी राजपुत्री। <br>अनिन्द्यरूपा सुविशालनेत्रा; शरीरतुल्या कुरुपुंगवानाम्   ॥03-253-011॥
यद्येव देवी पृथिवीं प्रविष्टा; दिवं प्रपन्नाप्यथ वा समुद्रम्। <br>तस्या गमिष्यन्ति पदं हि पार्था;स्तथा हि संतप्यति धर्मराजः   ॥03-253-012॥
को हीदृशानामरिमर्दनानां; क्लेशक्षमाणामपराजितानाम्। <br>प्राणैः समामिष्टतमां जिहीर्षे;दनुत्तमं रत्नमिव प्रमूढः। <br>न बुध्यते नाथवतीमिहाद्य; बहिश्चरं हृदयं पाण्डवानाम्   ॥03-253-013॥
कस्याद्य कायं प्रतिभिद्य घोरा; महीं प्रवेक्ष्यन्ति शिताः शराग्र्याः। <br>मा त्वं शुचस्तां प्रति भीरु विद्धि; यथाद्य कृष्णा पुनरेष्यतीति। <br>निहत्य सर्वान्द्विषतः समग्रा;न्पार्थाः समेष्यन्त्यथ याज्ञसेन्या   ॥03-253-014॥
अथाब्रवीच्चारुमुखं प्रमृज्य; धात्रेयिका सारथिमिन्द्रसेनम्। <br>जयद्रथेनापहृता प्रमथ्य; पञ्चेन्द्रकल्पान्परिभूय कृष्णा   ॥03-253-015॥
तिष्ठन्ति वर्त्मानि नवान्यमूनि; वृक्षाश्च न म्लान्ति तथैव भग्नाः। <br>आवर्तयध्वं ह्यनुयात शीघ्रं; न दूरयातैव हि राजपुत्री   ॥03-253-016॥
संनह्यध्वं सर्व एवेन्द्रकल्पा; महान्ति चारूणि च दंशनानि। <br>गृह्णीत चापानि महाधनानि; शरांश्च शीघ्रं पदवीं व्रजध्वम्   ॥03-253-017॥
पुरा हि निर्भर्त्सनदण्डमोहिता; प्रमूढचित्ता वदनेन शुष्यता। <br>ददाति कस्मैचिदनर्हते तनुं; वराज्यपूर्णामिव भस्मनि स्रुचम्   ॥03-253-018॥
पुरा तुषाग्नाविव हूयते हविः; पुरा श्मशाने स्रगिवापविध्यते। <br>पुरा च सोमोऽध्वरगोऽवलिह्यते; शुना यथा विप्रजने प्रमोहिते। <br>महत्यरण्ये मृगयां चरित्वा; पुरा शृगालो नलिनीं विगाहते   ॥03-253-019॥
मा वः प्रियायाः सुनसं सुलोचनं; चन्द्रप्रभाच्छं वदनं प्रसन्नम्। <br>स्पृश्याच्छुभं कश्चिदकृत्यकारी; श्वा वै पुरोडाशमिवोपयुङ्क्षीत्। <br>एतानि वर्त्मान्यनुयात शीघ्रं; मा वः कालः क्षिप्रमिहात्यगाद्वै   ॥03-253-020॥
 युधिष्ठिर उवाच। <br>भद्रे तूष्णीमास्स्व नियच्छ वाचं; मास्मत्सकाशे परुषाण्यवोचः। <br>राजानो वा यदि वा राजपुत्रा; बलेन मत्ता वञ्चनां प्राप्नुवन्ति   ॥03-253-021॥
 वैशंपायन उवाच। <br>एतावदुक्त्वा प्रययुर्हि शीघ्रं; तान्येव वर्त्मान्यनुवर्तमानाः। <br>मुहुर्मुहुर्व्यालवदुच्छ्वसन्तो; ज्यां विक्षिपन्तश्च महाधनुर्भ्यः   ॥03-253-022॥
ततोऽपश्यंस्तस्य सैन्यस्य रेणु;मुद्धूतं वै वाजिखुरप्रणुन्नम्। <br>पदातीनां मध्यगतं च धौम्यं; विक्रोशन्तं भीममभिद्रवेति   ॥03-253-023॥
ते सान्त्व्य धौम्यं परिदीनसत्त्वाः; सुखं भवानेत्विति राजपुत्राः। <br>श्येना यथैवामिषसंप्रयुक्ता; जवेन तत्सैन्यमथाभ्यधावन्   ॥03-253-024॥
तेषां महेन्द्रोपमविक्रमाणां; संरब्धानां धर्षणाद्याज्ञसेन्याः। <br>क्रोधः प्रजज्वाल जयद्रथं च; दृष्ट्वा प्रियां तस्य रथे स्थितां च   ॥03-253-025॥
प्रचुक्रुशुश्चाप्यथ सिन्धुराजं; वृकोदरश्चैव धनंजयश्च। <br>यमौ च राजा च महाधनुर्धरा;स्ततो दिशः संमुमुहुः परेषाम्   ॥03-253-026॥
