Verse
 वैशंपायन उवाच। <br>जयद्रथस्तु संप्रेक्ष्य भ्रातरावुद्यतायुधौ। <br>प्राद्रवत्तूर्णमव्यग्रो जीवितेप्सुः सुदुःखितः   ॥03-256-001॥
तं भीमसेनो धावन्तमवतीर्य रथाद्बली। <br>अभिद्रुत्य निजग्राह केशपक्षेऽत्यमर्षणः   ॥03-256-002॥
समुद्यम्य च तं रोषान्निष्पिपेष महीतले। <br>गले गृहीत्वा राजानं ताडयामास चैव ह   ॥03-256-003॥
पुनः संजीवमानस्य तस्योत्पतितुमिच्छतः। <br>पदा मूर्ध्नि महाबाहुः प्राहरद्विलपिष्यतः   ॥03-256-004॥
तस्य जानुं ददौ भीमो जघ्ने चैनमरत्निना। <br>स मोहमगमद्राजा प्रहारवरपीडितः   ॥03-256-005॥
विरोषं भीमसेनं तु वारयामास फल्गुनः। <br>दुःशलायाः कृते राजा यत्तदाहेति कौरव   ॥03-256-006॥
 भीमसेन उवाच। <br>नायं पापसमाचारो मत्तो जीवितुमर्हति। <br>द्रौपद्यास्तदनर्हायाः परिक्लेष्टा नराधमः   ॥03-256-007॥
किं नु शक्यं मया कर्तुं यद्राजा सततं घृणी। <br>त्वं च बालिशया बुद्ध्या सदैवास्मान्प्रबाधसे   ॥03-256-008॥
एवमुक्त्वा सटास्तस्य पञ्च चक्रे वृकोदरः। <br>अर्धचन्द्रेण बाणेन किंचिदब्रुवतस्तदा   ॥03-256-009॥
विकल्पयित्वा राजानं ततः प्राह वृकोदरः। <br>जीवितुं चेच्छसे मूढ हेतुं मे गदतः शृणु   ॥03-256-010॥
दासोऽस्मीति त्वया वाच्यं संसत्सु च सभासु च। <br>एवं ते जीवितं दद्यामेष युद्धजितो विधिः   ॥03-256-011॥
एवमस्त्विति तं राजा कृच्छ्रप्राणो जयद्रथः। <br>प्रोवाच पुरुषव्याघ्रं भीममाहवशोभिनम्   ॥03-256-012॥
तत एनं विचेष्टन्तं बद्ध्वा पार्थो वृकोदरः। <br>रथमारोपयामास विसंज्ञं पांसुगुण्ठितम्   ॥03-256-013॥
ततस्तं रथमास्थाय भीमः पार्थानुगस्तदा। <br>अभ्येत्याश्रममध्यस्थमभ्यगच्छद्युधिष्ठिरम्   ॥03-256-014॥
दर्शयामास भीमस्तु तदवस्थं जयद्रथम्। <br>तं राजा प्राहसद्दृष्ट्वा मुच्यतामिति चाब्रवीत्   ॥03-256-015॥
राजानं चाब्रवीद्भीमो द्रौपद्यै कथयेति वै। <br>दासभावं गतो ह्येष पाण्डूनां पापचेतनः   ॥03-256-016॥
तमुवाच ततो ज्येष्ठो भ्राता सप्रणयं वचः। <br>मुञ्चैनमधमाचारं प्रमाणं यदि ते वयम्   ॥03-256-017॥
द्रौपदी चाब्रवीद्भीममभिप्रेक्ष्य युधिष्ठिरम्। <br>दासोऽयं मुच्यतां राज्ञस्त्वया पञ्चसटः कृतः   ॥03-256-018॥
स मुक्तोऽभ्येत्य राजानमभिवाद्य युधिष्ठिरम्। <br>ववन्दे विह्वलो राजा तांश्च सर्वान्मुनींस्तदा   ॥03-256-019॥
तमुवाच घृणी राजा धर्मपुत्रो युधिष्ठिरः। <br>तथा जयद्रथं दृष्ट्वा गृहीतं सव्यसाचिना   ॥03-256-020॥
अदासो गच्छ मुक्तोऽसि मैवं कार्षीः पुनः क्वचित्। <br>स्त्रीकामुक धिगस्तु त्वां क्षुद्रः क्षुद्रसहायवान्। <br>एवंविधं हि कः कुर्यात्त्वदन्यः पुरुषाधमः   ॥03-256-021॥
गतसत्त्वमिव ज्ञात्वा कर्तारमशुभस्य तम्। <br>संप्रेक्ष्य भरतश्रेष्ठः कृपां चक्रे नराधिपः   ॥03-256-022॥
धर्मे ते वर्धतां बुद्धिर्मा चाधर्मे मनः कृथाः। <br>साश्वः सरथपादातः स्वस्ति गच्छ जयद्रथ   ॥03-256-023॥
एवमुक्तस्तु सव्रीडं तूष्णीं किंचिदवाङ्मुखः। <br>जगाम राजा दुःखार्तो गङ्गाद्वाराय भारत   ॥03-256-024॥
स देवं शरणं गत्वा विरूपाक्षमुमापतिम्। <br>तपश्चचार विपुलं तस्य प्रीतो वृषध्वजः   ॥03-256-025॥
बलिं स्वयं प्रत्यगृह्णात्प्रीयमाणस्त्रिलोचनः। <br>वरं चास्मै ददौ देवः स च जग्राह तच्छृणु   ॥03-256-026॥
समस्तान्सरथान्पञ्च जयेयं युधि पाण्डवान्। <br>इति राजाब्रवीद्देवं नेति देवस्तमब्रवीत्   ॥03-256-027॥
अजय्यांश्चाप्यवध्यांश्च वारयिष्यसि तान्युधि। <br>ऋतेऽर्जुनं महाबाहुं देवैरपि दुरासदम्   ॥03-256-028॥
यमाहुरजितं देवं शङ्खचक्रगदाधरम्। <br>प्रधानः सोऽस्त्रविदुषां तेन कृष्णेन रक्ष्यते   ॥03-256-029॥
एवमुक्तस्तु नृपतिः स्वमेव भवनं ययौ। <br>पाण्डवाश्च वने तस्मिन्न्यवसन्काम्यके तदा   ॥03-256-030॥
