Verse
 सूर्य उवाच। <br>माहितं कर्ण कार्षीस्त्वमात्मनः सुहृदां तथा। <br>पुत्राणामथ भार्याणामथो मातुरथो पितुः   ॥03-285-001॥
शरीरस्याविरोधेन प्राणिनां प्राणभृद्वर। <br>इष्यते यशसः प्राप्तिः कीर्तिश्च त्रिदिवे स्थिरा   ॥03-285-002॥
यस्त्वं प्राणविरोधेन कीर्तिमिच्छसि शाश्वतीम्। <br>सा ते प्राणान्समादाय गमिष्यति न संशयः   ॥03-285-003॥
जीवतां कुरुते कार्यं पिता माता सुतास्तथा। <br>ये चान्ये बान्धवाः केचिल्लोकेऽस्मिन्पुरुषर्षभ। <br>राजानश्च नरव्याघ्र पौरुषेण निबोध तत्   ॥03-285-004॥
कीर्तिश्च जीवतः साध्वी पुरुषस्य महाद्युते। <br>मृतस्य कीर्त्या किं कार्यं भस्मीभूतस्य देहिनः। <br>मृतः कीर्तिं न जानाति जीवन्कीर्तिं समश्नुते   ॥03-285-005॥
मृतस्य कीर्तिर्मर्त्यस्य यथा माला गतायुषः। <br>अहं तु त्वां ब्रवीम्येतद्भक्तोऽसीति हितेप्सया   ॥03-285-006॥
भक्तिमन्तो हि मे रक्ष्या इत्येतेनापि हेतुना। <br>भक्तोऽयं परया भक्त्या मामित्येव महाभुज। <br>ममापि भक्तिरुत्पन्ना स त्वं कुरु वचो मम   ॥03-285-007॥
अस्ति चात्र परं किंचिदध्यात्मं देवनिर्मितम्। <br>अतश्च त्वां ब्रवीम्येतत्क्रियतामविशङ्कया   ॥03-285-008॥
देवगुह्यं त्वया ज्ञातुं न शक्यं पुरुषर्षभ। <br>तस्मान्नाख्यामि ते गुह्यं काले वेत्स्यति तद्भवान्   ॥03-285-009॥
पुनरुक्तं च वक्ष्यामि त्वं राधेय निबोध तत्। <br>मास्मै ते कुण्डले दद्या भिक्षवे वज्रपाणये   ॥03-285-010॥
शोभसे कुण्डलाभ्यां हि रुचिराभ्यां महाद्युते। <br>विशाखयोर्मध्यगतः शशीव विमलो दिवि   ॥03-285-011॥
कीर्तिश्च जीवतः साध्वी पुरुषस्येति विद्धि तत्। <br>प्रत्याख्येयस्त्वया तात कुण्डलार्थे पुरंदरः   ॥03-285-012॥
शक्या बहुविधैर्वाक्यैः कुण्डलेप्सा त्वयानघ। <br>विहन्तुं देवराजस्य हेतुयुक्तैः पुनः पुनः   ॥03-285-013॥
उपपत्त्युपपन्नार्थैर्माधुर्यकृतभूषणैः। <br>पुरंदरस्य कर्ण त्वं बुद्धिमेतामपानुद   ॥03-285-014॥
त्वं हि नित्यं नरव्याघ्र स्पर्धसे सव्यसाचिना। <br>सव्यसाची त्वया चैव युधि शूरः समेष्यति   ॥03-285-015॥
न तु त्वामर्जुनः शक्तः कुण्डलाभ्यां समन्वितम्। <br>विजेतुं युधि यद्यस्य स्वयमिन्द्रः शरो भवेत्   ॥03-285-016॥
तस्मान्न देये शक्राय त्वयैते कुण्डले शुभे। <br>संग्रामे यदि निर्जेतुं कर्ण कामयसेऽर्जुनम्   ॥03-285-017॥
