Verse
 जनमेजय उवाच। <br>एवं हृतायां कृष्णायां प्राप्य क्लेशमनुत्तमम्। <br>प्रतिलभ्य ततः कृष्णां किमकुर्वत पाण्डवाः   ॥03-295-001॥
 वैशंपायन उवाच। <br>एवं हृतायां कृष्णायां प्राप्य क्लेशमनुत्तमम्। <br>विहाय काम्यकं राजा सह भ्रातृभिरच्युतः   ॥03-295-002॥
पुनर्द्वैतवनं रम्यमाजगाम युधिष्ठिरः। <br>स्वादुमूलफलं रम्यं मार्कण्डेयाश्रमं प्रति   ॥03-295-003॥
अनुगुप्तफलाहाराः सर्व एव मिताशनाः। <br>न्यवसन्पाण्डवास्तत्र कृष्णया सह भारत   ॥03-295-004॥
वसन्द्वैतवने राजा कुन्तीपुत्रो युधिष्ठिरः। <br>भीमसेनोऽर्जुनश्चैव माद्रीपुत्रौ च पाण्डवौ   ॥03-295-005॥
ब्राह्मणार्थे पराक्रान्ता धर्मात्मानो यतव्रताः। <br>क्लेशमार्छन्त विपुलं सुखोदर्कं परंतपाः   ॥03-295-006॥
अजातशत्रुमासीनं भ्रातृभिः सहितं वने। <br>आगम्य ब्राह्मणस्तूर्णं संतप्त इदमब्रवीत्   ॥03-295-007॥
अरणीसहितं मह्यं समासक्तं वनस्पतौ। <br>मृगस्य घर्षमाणस्य विषाणे समसज्जत   ॥03-295-008॥
तदादाय गतो राजंस्त्वरमाणो महामृगः। <br>आश्रमात्त्वरितः शीघ्रं प्लवमानो महाजवः   ॥03-295-009॥
तस्य गत्वा पदं शीघ्रमासाद्य च महामृगम्। <br>अग्निहोत्रं न लुप्येत तदानयत पाण्डवाः   ॥03-295-010॥
ब्राह्मणस्य वचः श्रुत्वा संतप्तोऽथ युधिष्ठिरः। <br>धनुरादाय कौन्तेयः प्राद्रवद्भ्रातृभिः सह   ॥03-295-011॥
सन्नद्धा धन्विनः सर्वे प्राद्रवन्नरपुंगवाः। <br>ब्राह्मणार्थे यतन्तस्ते शीघ्रमन्वगमन्मृगम्   ॥03-295-012॥
कर्णिनालीकनाराचानुत्सृजन्तो महारथाः। <br>नाविध्यन्पाण्डवास्तत्र पश्यन्तो मृगमन्तिकात्   ॥03-295-013॥
तेषां प्रयतमानानां नादृश्यत महामृगः। <br>अपश्यन्तो मृगं श्रान्ता दुःखं प्राप्ता मनस्विनः   ॥03-295-014॥
शीतलच्छायमासाद्य न्यग्रोधं गहने वने। <br>क्षुत्पिपासापरीताङ्गाः पाण्डवाः समुपाविशन्   ॥03-295-015॥
तेषां समुपविष्टानां नकुलो दुःखितस्तदा। <br>अब्रवीद्भ्रातरं ज्येष्ठममर्षात्कुरुसत्तम   ॥03-295-016॥
नास्मिन्कुले जातु ममज्ज धर्मो; न चालस्यादर्थलोपो बभूव। <br>अनुत्तराः सर्वभूतेषु भूयः; संप्राप्ताः स्मः संशयं केन राजन्   ॥03-295-017॥
